query_id,split,source_doc_id,primary,miss_side,gold_rank,hit@5,in_top50,n_q,n_orig,n_md,n_overlap_md,n_overlap_orig_latin,n_content_q,n_content_overlap_md,n_function_overlap_md,n_q_zero_md,n_content_zero_md,n_eng_q,n_eng_match_md,n_eng_match_orig_latin,n_skel_overlap,n_content_skel_overlap,n_content_skel_ge3,content_skel_ge3,frac_dict_tokens,frac_fallback_tokens,frac_latin_tokens,cand_cat,competitors_top3,q_tokens,md_headline,overlap_md,content_overlap_md,content_skel_overlap,content_missing_md
KN001,train,92506,ROOM,MISS,,0,0,10,91,91,0,0,8,0,0,10,8,6,0,0,3,2,1,shr,0.2088,0.7582,0.033,1,18668 60908 87995,malaysia air race world championship third round kab shuru hua,koalalmpor aiir ris orld chmpin shp ka tisra mrhlh,,,r shr,air championship malaysia race round shuru third world
KN002,train,90691,ENT,MISS,,0,0,11,138,138,3,0,5,0,3,8,5,3,0,0,4,0,0,,0.3406,0.6014,0.058,1,8268 10004 106644,zim t20 mein hosts ko chase ke liye kitna target mila,dosra ti tointi zmbaboe ka pakistan ko jeet kilie 176 rnz ka hdf,ke ko mein,,,chase hosts mila target zim
KN004,train,14991,SUCCESS,SUCCESS,1,1,1,11,1039,1039,4,0,7,2,2,7,5,0,0,0,8,6,3,mnd nqsn sht,0.3657,0.6295,0.0048,0,,desi ghee sehat ke liye faida mand hai ya nuqsan deh,ghee dost ia dushman,ghee hai ke sehat,ghee sehat,ds fd gh mnd nqsn sht,deh desi faida mand nuqsan
KN005,train,64084,NEIGH,MISS,,0,0,12,98,98,1,0,7,0,1,11,7,5,0,0,3,1,0,,0.4388,0.4796,0.0816,1,92356 78784 36187,iran amreeka tension ke baad local equities opening par kyun rebound hua,pakistan astak aikschinj mein business ka msbt aghaz,ke,,rn,amreeka equities iran local opening rebound tension
KN006,train,29860,ROOM,MISS,,0,0,11,337,337,4,0,6,0,4,7,6,2,0,0,5,0,0,,0.3501,0.6142,0.0356,1,19319 6056 107803,kolkata ne delhi ko ipl thriller mein kis margin se haraaya,aii pi ail snsni khiz mqable mein kolkth ki fth,ko mein ne se,,,delhi haraaya ipl kolkata margin thriller
KN008,train,47197,ROOM,MISS,,0,0,9,206,206,1,0,8,0,1,8,8,5,0,0,4,3,1,ttl,0.335,0.6602,0.0049,1,32691 33051 73132,teen tennis sensation ne kaunsa canadian hardcourt title jeeta,rajrz kp kam amr blnda bin chch ne taitl jeet kr khtre ki ghnti bja di mrdon mein aindi mre fath,ne,,jt tn ttl,canadian hardcourt jeeta kaunsa sensation teen tennis title
KN010,train,1674,ROOM,MISS,,0,0,12,703,703,3,0,8,0,3,9,8,3,0,0,6,3,2,brd khlf,0.2788,0.7098,0.0114,1,101774 64408 108943,benami accounts walo ke khilaf revenue board ne kya saza tajweez ki,aif bi ar ne be nami jaiidad rkhne oalon ko skht szaiin tiar krli,ke ki ne,,brd khlf sz,accounts benami board khilaf revenue saza tajweez walo
KN011,train,60226,ROOM,MISS,,0,0,11,166,166,2,0,7,0,2,9,7,5,0,0,5,3,1,slr,0.2952,0.6928,0.012,1,37986 53639 73504,france ki hydrogen solar wind powered boat ka naam kya hai,duniya ki phli haiidrojn shmsi toanaii aur ond trbaiin se chle oali bot mtaarf,hai ki,,bt nm slr,boat france hydrogen naam powered solar wind
KN012,train,13580,SUCCESS,SUCCESS,5,1,1,10,319,319,2,0,7,1,1,8,6,0,0,0,3,2,0,,0.3041,0.6928,0.0031,0,,comedy nights wali dadi wapas kyun nahi ban na chahte,ab kbhi dadi nahi bnon ga,dadi nahi,dadi,dd n,ban chahte comedy na nights wapas
KN013,train,82652,ROOM,MISS,,0,0,13,281,281,3,0,9,1,2,9,8,5,0,0,4,2,1,pkstn,0.395,0.5836,0.0214,3,50660 95904 105489,world cup mein pakistan india fixture ke tickets black mein kyun bik rahe,pak bhart match ke tkt blik mein mnh mangay damon bkne lge,ke mein pakistan,pakistan,pkstn rh,bik black cup fixture india rahe tickets world
