query_id,split,script,source_doc_id,query_text,bm25_rank,dense_rank,hybrid_rank,ng3_rank,bm25_hit@1,bm25_hit@5,bm25_hit@10,bm25_hit@50,dense_hit@1,dense_hit@5,dense_hit@10,dense_hit@50,hybrid_hit@1,hybrid_hit@5,hybrid_hit@10,hybrid_hit@50,ng3_hit@1,ng3_hit@5,ng3_hit@10,ng3_hit@50,bm25_rr,dense_rr,hybrid_rr,ng3_rr,dual_miss_bm25_dense,ng3_recovered_dual_miss,ng3_only_vs_bm25_dense,n_bm25_hits,n_ng3_hits,n_bm25_ng3_union,n_bm25_ng3_overlap,ng3_q_features,ng3_overlap_gold,shared_trigrams_sample,room_cat1,vocab_control
KN001,train,ROMAN,92506,malaysia air race world championship third round kab shuru hua,,16,32,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0.0625,0.03125,0.0,0,0,0,50,50,100,0,33,7,ala hir kab mal mpi orl rld,1,0
KN002,train,ROMAN,90691,zim t20 mein hosts ko chase ke liye kitna target mila,,13094,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,50,50,98,2,23,5,ein has ke ko mei,0,0
KN004,train,ROMAN,14991,desi ghee sehat ke liye faida mand hai ya nuqsan deh,1,107,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1.0,0.0,1.0,1.0,0,0,0,50,50,81,19,22,13,aid eha fai ghe hai hat hee ida ke man qsa san seh,0,0
KN005,train,ROMAN,64084,iran amreeka tension ke baad local equities opening par kyun rebound hua,,20301,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,50,50,100,0,38,5,amr baa ira ke ran,0,0
KN006,train,ROMAN,29860,kolkata ne delhi ko ipl thriller mein kis margin se haraaya,,13002,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,50,50,100,0,30,13,ara aya ein gin har hri ko kol mei ne olk ril se,1,0
KN008,train,ROMAN,47197,teen tennis sensation ne kaunsa canadian hardcourt title jeeta,,2036,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,50,50,100,0,37,10,ana ati eet har ion itl jee ne nis sat,1,0
KN010,train,ROMAN,1674,benami accounts walo ke khilaf revenue board ne kya saza tajweez ki,,466,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,50,50,83,17,35,10,alo ami aza ke khi ki laf nam ne nts,1,0
KN011,train,ROMAN,60226,france ki hydrogen solar wind powered boat ka naam kya hai,,1,2,,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0.0,1.0,0.5,0.0,0,0,0,50,50,99,1,28,8,anc dro fra hai ki ola ran sol,1,0
KN012,train,ROMAN,13580,comedy nights wali dadi wapas kyun nahi ban na chahte,5,59,10,,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0.2,0.0,0.1,0.0,0,0,0,50,50,100,0,25,8,adi ahi ali ban cha dad hte nah,0,0
KN013,train,ROMAN,82652,world cup mein pakistan india fixture ke tickets black mein kyun bik rahe,,4,8,,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0.0,0.25,0.125,0.0,0,0,0,50,50,98,2,36,16,aki cke ein ick ind ist ke ket kis mei orl pak rah rld sta tan,0,0
KN014,train,ROMAN,79754,mobile slow charge hone ki user side ghalti kya ho sakti hai,44,16,3,,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0.022727,0.0625,0.333333,0.0,0,0,0,50,50,84,16,27,13,bil cha hai hal har ho hon ile ki kti mob obi one,0,0
KN015,train,ROMAN,22450,viral maths puzzle ne internet users ko kyun confuse kiya,,9,18,,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0.0,0.111111,0.055556,0.0,0,0,0,50,50,69,31,30,10,ern int iya kiy ko ne net nte rne ter,0,0
KN016,train,ROMAN,100673,priyanka ke african kids se hair compliment exchange kis tour par hua,,1,1,,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0.0,1.0,1.0,0.0,0,0,0,50,50,100,0,36,10,afr air ank fri hai ke nka par pri se,0,0
KN017,train,ROMAN,19341,boom supersonic passenger prototype kab unveil hua,,1,2,5,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0.0,1.0,0.5,0.2,0,0,0,1,50,51,0,30,6,oto pro rot rso son tot,0,1
KN018,train,ROMAN,17943,aladdin kahani kisi haqeeqi shakhs par mabni hai ya sirf fable hai,,11213,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,50,50,100,0,32,15,abl add aha akh ala ani bni din hai han isi khs lad par sha,1,0
KN019,train,ROMAN,5092,jlo ne 50 saal ki umar mein fitness kaise maintain ki,,5,9,,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0.0,0.2,0.111111,0.0,0,0,0,50,50,98,2,25,14,50 aal ain ais ein ess ise ki mai mar mei ne nes tai,0,0
