candidate_problem,exact_problem_statement,closest_prior_work,year,venue,prior_method,Roman_Urdu_involved,Urdu_script_involved,entity_or_name_involved,candidate_generation_involved,overlap_level,what_is_already_solved,remaining_gap,novelty_strength,IEEE_journal_relevance,verdict,evidence_source
unified_RU_entity_name_CG,"Roman Urdu query entity mentions fail to retrieve Urdu-script news ExactSource docs because Latin entity surfaces do not enter BM25/NG3/Dense Top-50",JRC-Names-Retrieval Blair Bar,2024,LREC-COLING,ByT5/name-search baselines + JRC-Names resource,No,Partial (Arab script split),Yes,Yes (name search as retrieval),HIGH,"Cross-script person/org name retrieval formulated; Latn+Arab splits; neural name retrievers","Apply same class to RU news known-item; not a new mechanism",WEAK,LOW as method (HIGH as application),DOMAIN TRANSFER ONLY,https://aclanthology.org/2024.lrec-main.838/
WP_Wikidata_alias_injection,"Inject Wikipedia/Wikidata aliases of detected query entities into first-stage lexical/dense search",Phase9-WPTITLES ULTRA v2; GENRE; BLINK alias/dense EL,2024-2025 / 2020,ULTRA Phase9; ACL/EMNLP entity retrieval,Wikipedia title/redirect expansion; dense entity retrieval,Yes (Phase9),Yes,Yes,Yes,HIGH,"Phase9 already ran WP title CG on same setting; only 1/18 B-class recovered at Hit@50 (KN051); BLINK/GENRE/MuVER solve entity candidate generation generally","Larger KB or better matcher is resource/engineering scale-up",WEAK,LOW,ALREADY ADDRESSED,experiments/ultra_v2/phase9_entity_resource/PHASE9_CONTROLLED_EXPERIMENT.md; https://ar5iv.labs.arxiv.org/html/1911.03814
person_name_only_CG,"Subset of CG misses driven by person names (Umar Akmal; Kangana; Shahid/Mira; Salman)",JRC-Names; Steinberger et al. JRC-Names resource; Blair Bar 2024,2011-2024,JRC / LREC-COLING,Multilingual name variant lists + name IR,No,Yes (Arab),Yes,Yes,HIGH,"Person name variant retrieval across scripts is a mature dedicated problem",n≈3–5 person-primary cases among 18 too small; mechanism not RU-specific,WEAK,LOW,INSUFFICIENT NOVELTY,C2A B labels + subtype audit; https://joint-research-centre.ec.europa.eu/language-technology-resources/jrc-names_en
product_brand_English_loanword_CG,"Facebook/Gmail/Samsung/Twitter-style English brand queries miss Urdu news docs",Multilingual EL (BLINK/mGENRE); brand alias tables; dense multilingual IR,2019-2025,EMNLP/ACL/industry IR,Entity linking + alias expansion + dense retrieval,No,Partial,Yes (product),Yes,HIGH,"Brand/product alias and EL pipelines are standard; English tokens often identical across scripts","RU news specific evaluation only",WEAK,LOW,DOMAIN TRANSFER ONLY,C2A B PRODUCT_PLATFORM=6/18; BLINK/MuVER literature
sports_team_event_CG,"Cricket/IPL/T20 team-event Roman queries miss ExactSource Urdu sports wires",Domain IR / event retrieval / entity linking for sports; mixed-script IR FIRE,2013-2025,FIRE / general IR,Entity/event linking; phonetic/mixed-script QE,No,Partial,Yes,Yes,MEDIUM-HIGH,"Event/team matching and Indic mixed-script IR already studied (FIRE MSIR)",Sports subdomain application; not a distinct RU mechanism,WEAK,LOW,DOMAIN TRANSFER ONLY,FIRE-2015 MSIR overview; Gupta SIGIR 2014
script_gap_transliterate_train,"Fine-tune multilingual dense retriever with romanized queries vs native Urdu docs",Chari et al. Lost in Transliteration,2025,SIGIR,transliterate-train on mMARCO Zh/Ru,No (Zh/Ru),No Urdu,Indirect,Yes (neural first-stage),HIGH,"Script-gap neural IR + transliterate-train paradigm published at SIGIR 2025","Apply to Urdu/Roman Urdu = domain transfer / combination with existing dense",WEAK,MEDIUM as replication study only,DOMAIN TRANSFER ONLY,https://doi.org/10.1145/3726302.3730226
RU_IR_dataset_dense_baseline,"Build/train RU retrieval models on translated MS MARCO-style data",Butt et al. Roman Urdu first IR dataset and baseline,2025,LowResNLP workshop,MS MARCO multi-hop translate+transliterate; multilingual retriever,Yes,Indirect,No (general IR),Yes,HIGH,"Dedicated RU IR dataset+baseline already exists 2025","News ExactSource CG mechanism not their contribution; applying their baseline is transfer",WEAK,LOW as new method,ALREADY ADDRESSED / DOMAIN TRANSFER ONLY,https://aclanthology.org/2025.lowresnlp-1.9/
mixed_script_QE_phonetic,"Phonetic/mixed-script query expansion for Roman query → native docs",Gupta et al. mixed-script IR; Prabhakar et al. transliterated text QE,2014; 2021,SIGIR; ACM TALLIP,Deep joint script embedding QE; phonetic Hindex QE,No (Indic focus),Native Indic scripts,Indirect,Yes,HIGH,"Mixed-script and transliterated QE are classic and journal-published",RU orthography application of known QE,WEAK,LOW,ALREADY ADDRESSED,https://dl.acm.org/doi/10.1145/2600428.2609622; https://dl.acm.org/doi/10.1145/3447649
dense_entity_first_stage_EL,"Use dense entity retrievers (BLINK/MuVER/GENRE) to expand candidates then search docs",BLINK; MuVER; GENRE; Gillick DEER,2019-2021,EMNLP/ACL,Dual-encoder entity candidate generation,No,Multilingual capable,Yes,Yes (entity CG),HIGH,"First-stage entity candidate generation is a solved research class with SOTA systems","Wire EL outputs into Urdu news BM25 = pipeline engineering",WEAK,LOW,COMBINATION ONLY,https://arxiv.org/abs/2109.05716; https://ar5iv.labs.arxiv.org/html/1911.03814
institutional_alias_CG_revive,"Latin acronym/EN institution phrase ↔ Urdu descriptive institutional alias",C2a closed; Jacquet acronym resources; Phase7/9/11,2016-2025,LREC / ULTRA gates,Alias tables; letter-name; WP titles,Yes,Yes,Yes (org),Yes,TOTAL,"Prevalence 6/31 < 8 threshold; method directions closed",None for this gate,NONE,NONE,ALREADY ADDRESSED (CLOSED C2a),experiments/ieee_adaptive/C2A_FEASIBILITY_PROBE.md
adaptive_expert_routing_revive,"Route among BM25/NG3/Dense using query features",C1 closed; Arabzadeh; MoR,2021-2025,CIKM/EMNLP/ULTRA C1,Query-only classifiers / routers,Yes,Yes,Indirect,Indirect,TOTAL,"Detectability failed; routed < fixed Dense",None,NONE,NONE,ALREADY ADDRESSED (CLOSED C1),experiments/ieee_adaptive/C1_DETECTABILITY_DIAGNOSTIC.md
heterogeneous_multi_mechanism_CG_controller,"Detect entity vs ortho vs paraphrase and dispatch specialized CG modules",RAG/IR error taxonomies + Adaptive-RAG style controllers,2024-2025,various,Taxonomy-triggered tool/retrieval routers,No,No,Partial,Yes,MEDIUM,"Controller+specialists is combination of known components; C1 showed query-side detectability weak",No single novel mechanism; n=18 split across subtypes,WEAK,LOW,COMBINATION ONLY,FAILURE_MECHANISM_SUMMARY.csv; Adaptive-RAG literature
underspecified_query_semantic_gap,"Queries like teen tennis sensation / nayi photo app lack linkable entity strings",Query understanding / known-item ambiguity literature; CLIR semantic mismatch,ongoing,IR surveys,Semantic retrieval; query rewriting,Partial,Yes,Partial,Maybe,MEDIUM,"Semantic/underspecification failures are known IR limitations not RU-specific methods",May explain some of 18 but is D semantic/benchmark not novel CG mechanism,WEAK,LOW,INSUFFICIENT NOVELTY,subtype audit of KN008 KN037
RU_low_resource_as_novelty,"Claim novelty because Roman Urdu / Urdu is under-resourced",Forbidden by gate §12; resource scarcity ≠ method,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,NONE,NONE,INSUFFICIENT NOVELTY,gate instructions §12
rerank_or_hybrid_only,"Improve Hit@5 by reranking Hybrid/BND pools",Phase12 skip; Failure Decomposition ceiling 49/80,2026,ULTRA Program B,Rerankers / RRF,Yes,Yes,No,No (ranking),HIGH,"Ranking cannot fix 31 CG absences; Phase12 correctly skipped",Does not address primary question,NONE,NONE,INSUFFICIENT NOVELTY,FAILURE_DECOMPOSITION_REPORT.md
