query_id,split,query_type,query,source_doc_id,script_aware_rank,headline_rank,raw_bm25_rank,roman_bm25_rank_if_applicable
QTRN_003,dev,urdu,بالی ووڈ اداکارہ ارمیلا مٹونڈکر کی 40 ویں سالگرہ کیوں ہوا,106021,1,1,1,
QTRN_010,internal_val,urdu,جنوبی افریقہ کی نیوزی لینڈ کو سیریز میں,30141,9,1,9,
QTRN_012,internal_val,urdu,نیپرا نے کراچی کے صارفین پر پھر بجلی گرادی کیوں ہوا,63190,1,1,1,
QTRN_014,dev,urdu,یہ بھی پڑھیں حکومتی دبا پر بھارتی ٹی وی نے متنازع ڈرامہ بند کردیامزید,10488,1,2,1,
QTRN_016,internal_val,roman_urdu,nishnl ds aibld ti20 pntgolr kp cricket tornamnt sndh ne jeet liya,93737,1,27,999,1
QTRN_024,dev,urdu,میرے کردار اور ساکھ پر سوالات اٹھانا حد سے باہر کیسے ہوا,6732,1,1,1,
QTRN_026,internal_val,urdu,حقیقت سے قریب تر تھری ڈی چہروں کی کے اثرات کیا ہیں,79325,1,999,1,
QTRN_028,internal_val,urdu,جے 20 اسٹیلتھ لڑاکا طیارہ پریشنل کردیا گیا,21852,1,1,1,
QTRN_031,internal_val,roman_urdu,pakistan orld asnokr chimpin shp ke fainl mein phnch gaya,93764,9,999,999,9
QTRN_033,dev,urdu,کوپا امریکہ فٹ بال ٹورنامنٹ چلی نے بولیویا کو05 سے کیسے ہوا,47463,1,1,1,
QTRN_034,dev,roman_urdu,rthr ko osim aur miandad se astfadh krne ka mshorh,31976,1,999,999,1
QTRN_037,internal_val,urdu,میلبورن پہلے ٹی ٹوئنٹی میں سری لنکا نے,56572,1,1,1,
QTRN_038,dev,roman_urdu,astrilin aopn aasam aur rajrz dosre mrhle mein,37088,1,999,999,1
QTRN_039,dev,urdu,کاجول کیلئے رنبیر نمبر ون ہیرو کیوں ہوا,16464,1,1,1,
QTRN_044,dev,urdu,ایکس سی ایم جی گروپ کا پاکستانی ہاسنگ کے اثرات کیا ہیں,38843,1,999,1,
QTRN_046,internal_val,urdu,وزارت خزانہ کی پاکستان میں غیر ملکی بینکوں,76791,1,1,1,
QTRN_051,internal_val,urdu,ہمایوں سعید ٹریفک حادثے میں زخمی کیسے ہوا,15797,1,1,1,
QTRN_054,dev,mixed,سندھ کے بجٹ کیلئےتجاویز Pakistan news update,73502,1,25,1,999
QTRN_056,dev,roman_urdu,askaip ka prane fonz par sport khtm krne ka aalan,23505,1,999,999,1
QTRN_059,internal_val,urdu,نیو یارک 92 نیوز امریکہ سے تعلق رکھنے والی خاتون ایتھلیٹ دنیا کی معمر,49045,1,1,1,
QTRN_067,internal_val,roman_urdu,hfiz strilia ke khlaf aik rozh team mein shaml,30586,1,999,999,1
QTRN_070,internal_val,roman_urdu,snje dt film ki shotng ke doran zkhmi,11616,1,999,999,1
QTRN_086,internal_val,urdu,نئی دہلی 18جنوری2018بھارتی سپریم کورٹ نےسنجے لیلا بھنسالی کی فلم پدماوت پر 4ریاستوں میں,67997,1,999,1,
QTRN_088,internal_val,roman_urdu,mobi lnk ne flig shp karporit rspansbiliti ke tor par mik ior,41124,1,999,999,1
QTRN_089,internal_val,urdu,مورٹل کومبیٹ ایکس ویڈیو گیم کا نیا ٹریلر کے اثرات کیا ہیں,105342,1,1,1,
QTRN_091,internal_val,urdu,ورلڈ کپ عماد نے بازی پلٹ دی افغانستان,26205,5,1,5,
QTRN_094,internal_val,roman_urdu,shbr zidi aazazi chiirmin aif bi tainat noti fkishn jari,1547,2,999,999,2
QTRN_099,internal_val,mixed,ویمن کرکٹ میچ پاکستان Pakistan news update,42982,9,999,9,999
QTRN_100,dev,urdu,پی ٹی ائی حکومت کے ڈیڑھ سال میں,70677,1,999,1,
QTRN_102,internal_val,urdu,رابی پیرزادہ کا مذہبی تعلیمات کے مطابق زندگی گزارنے کا کیوں ہوا,5494,2,1,2,
QTRN_105,dev,urdu,کورونا کیسز میں اضافہ اور لاک ڈان کا خدشہ پاکستان کیسے ہوا,95,2,1,2,
QTRN_106,dev,roman_urdu,askr aioard iafth holi od actor jif lion brjz kinsr ka shkar,3917,1,999,999,1
QTRN_107,internal_val,urdu,باسط علی کے جھگڑےکی تحقیقات کریں گے شہریار کے اثرات کیا ہیں,87080,1,1,1,
QTRN_108,internal_val,mixed,عالمی نمبر ایک ٹیم Pakistan news update,87824,999,999,999,999
QTRN_117,internal_val,mixed,زمبابوے کو وائٹ واش Pakistan news update,47026,4,4,4,999
QTRN_123,dev,urdu,ائرلینڈاور انگلینڈ کےخلاف ون ڈے سیریز کیلئے قومی ٹیم کا کیسے ہوا,45783,1,2,1,
QTRN_125,internal_val,urdu,ریو اولمپکس کانٹ ڈان شروع یونان میں اولمپکس کے اثرات کیا ہیں,46118,1,1,1,
QTRN_128,internal_val,roman_urdu,sjad ali ke nie gane mein an ke bite glokar ki joani,5277,1,999,999,1
QTRN_133,dev,roman_urdu,pakistan airan mnsobon ko tizi se mkml krne ka fislh krlia nor,74418,1,999,999,1
QTRN_139,dev,roman_urdu,aif bi ar internet srosz par aaid tiks ki osoli kilie rolz,111194,1,999,999,1
QTRN_140,dev,urdu,عالمی بازار میں سونا ڈالر مہنگا ہوکر 1467 ڈالر فی اونس کا ہوگیا فوٹوفائل,109534,1,999,1,
QTRN_143,internal_val,urdu,اب فیس بک میں فوٹو فریم خود بنائیں کے اثرات کیا ہیں,23162,1,3,1,
QTRN_147,internal_val,urdu,بولڈ گلوکاری کے بعد وینا ملک کے وطن کی محبت کیوں ہوا,6149,1,42,1,
QTRN_150,dev,urdu,کمشنر کراچی کا دودھ کی قیمتیں برقرار رکھنے کا فیصلہ کیسے ہوا,64562,1,1,1,
QTRN_153,dev,mixed,ہواوے 2018 میں ریکارڈ Pakistan news update,21069,2,999,2,999
QTRN_155,internal_val,roman_urdu,gptl ki jarhanh batting pakistan ko dosre on de mein loss,28551,3,1,999,3
QTRN_163,dev,urdu,یو یو ہنی سنگھ کی دل چوری ساڈا,9911,1,8,1,
QTRN_168,dev,urdu,کاروباری ہفتے کا تیسرا روز پاکستان اسٹاک مارکیٹ پوائنٹس کی کیسے ہوا,63522,7,1,7,
QTRN_170,dev,urdu,پاکستان نے ویسٹ انڈیز کو دوسرے ٹی ٹوئنٹی کے اثرات کیا ہیں,84418,37,4,37,
QTRN_174,dev,urdu,ایف بی کا ڈاکٹرز کے بعد فیشن ڈیزائنرز کے گرد کیوں ہوا,109004,1,1,1,
QTRN_175,internal_val,roman_urdu,babraazm tist mein bhtrin karkrdgi kilie praatmad,31152,1,999,999,1
QTRN_189,dev,mixed,ئی سی سی کا Pakistan news update,26594,999,999,999,999
QTRN_191,dev,roman_urdu,aipl aur koalkom ke drmian qanoni jng shroa,23059,1,999,999,1
QTRN_195,internal_val,urdu,ڈیزل کی قیمت میں 4روپے ضافہ نئی قیمت 10543 روپے کیسے ہوا,38380,1,1,1,
QTRN_196,dev,roman_urdu,dfaai chimpin peshawar zlmi ke kamran akml team ko tap for mein,84574,1,999,999,1
QTRN_205,internal_val,roman_urdu,orld joniir skoash mein pakistan ka nam roshn krnioali team otn oaps,45751,1,999,999,1
QTRN_207,dev,mixed,فیس بک سگریٹ نوشی Pakistan news update,80209,1,28,1,999
QTRN_211,dev,roman_urdu,haroi oainstn ne rip kisz khtm kroane kilie asraiil ki khfih aijnsi,5337,1,999,999,1
QTRN_212,internal_val,urdu,صدیوں سے یہی سنتے ائے تھے کہ جو سوتا ہے وہ کھوتا ہے لیکن,79928,1,2,1,
QTRN_214,dev,roman_urdu,shin hiz qomi cricket team ke fzio thrapst mqrr,31956,3,999,999,3
QTRN_215,dev,urdu,نئی حکومت کے نے سے مہنگائی میں فیصد کے اثرات کیا ہیں,110788,1,5,1,
QTRN_216,internal_val,mixed,ایس ای سی پی Pakistan news update,2824,999,999,999,999
QTRN_220,dev,roman_urdu,tisra on dezmbaboe ka tas jeet kr phle fielding ka fislh,93962,1,999,999,1
QTRN_221,internal_val,urdu,اسلام اباد کھیل کو کھیل سمجھو اسے سیاست کا کھیل نہ بناوپاک بھارت ورلڈ,88802,1,999,1,
QTRN_225,dev,mixed,سائنس فکشن ایکشن فلم Pakistan news update,104334,999,999,999,999
QTRN_229,dev,roman_urdu,pakistan mein dollar mzid mhnga hogia,70430,2,999,999,2
QTRN_232,dev,roman_urdu,bridpt ki nii film alaiid 23 nombr ko sinma ghron mein thlkh,50290,1,999,999,1
QTRN_233,dev,urdu,اسرائیلی پولیس کا میچ کےدوران فلسطینی پرچم لہرانے کے اثرات کیا ہیں,31433,1,1,1,
QTRN_235,internal_val,urdu,سٹریلیا نے افغانستان کو ورلڈکپ کی تاریخ کا,55299,1,999,1,
QTRN_237,dev,urdu,سونالی میری ہیرو ہیں کیوں ہوا,8544,2,1,2,
QTRN_239,dev,urdu,سام سنگ کے نئے فلیگ شپ اسمارٹ فون گلیکسی ایس کو 29 مارچ کو,22845,2,999,2,
QTRN_244,internal_val,urdu,پابندیوں کے باوجود کوالکوم کو جی چپس ہواوے,19220,1,999,1,
QTRN_248,internal_val,urdu,انڈیا کرکٹ ٹیم کےایک سابق مینیجر نے دعوی کیا ہے کہ 2014 میں انڈیا,32688,1,999,1,
QTRN_253,dev,urdu,والد نے کم عمری سے جنسی طور پر,7060,1,2,1,
QTRN_255,internal_val,urdu,پاکستان سے متاثر ہو کر بنائی جانے والی بالی وڈ کیوں ہوا,98560,1,1,1,
QTRN_257,internal_val,urdu,برے دوستوں سے ناطہ ختم کرلیا ہے لنڈسے لوہن اے ایف پی فائل فوٹولاس,17459,1,1,1,
QTRN_258,internal_val,urdu,سندھ بھر میں سی این جی اسٹیشنز صبح بجے کھل کیسے ہوا,75838,23,7,23,
QTRN_260,dev,urdu,انگلش پریمیر لیگ چیلسی نے ساتھمپٹن کو ہرا کے اثرات کیا ہیں,45512,1,1,1,
