query_id,query,word_count,script,bucket,set_type,rule_type,gold_label,rationale,ambiguous,topic_domain,constructed_date,source_provenance
P3_001,ٹیم اسکواڈ,2,urdu,2-4w,primary,n/a,SHORT,Single numeric fact,False,cricket,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_002,ڈالر ریٹ,2,urdu,2-4w,primary,n/a,SHORT,Single numeric fact,False,economy,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_003,سونے کی قیمت,3,urdu,2-4w,primary,n/a,SHORT,Single current price,False,economy,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_004,کل دھوپ ہوگی,3,urdu,2-4w,primary,n/a,SHORT,Simple forecast fact,False,weather,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_005,وزیراعظم کا نیا بیان,4,urdu,2-4w,primary,n/a,SHORT,Single headline statement,False,politics,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_006,ٹیم کیوں ہاری,3,urdu,2-4w,primary,n/a,LONG,Causal why - needs explanation despite brevity,False,cricket,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_007,cricket score,2,roman,2-4w,primary,n/a,SHORT,Single numeric fact,False,cricket,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_008,atta price,2,roman,2-4w,primary,n/a,SHORT,Single numeric fact,False,economy,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_009,loan interest rate,3,roman,2-4w,primary,n/a,SHORT,Single current price,False,economy,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_010,voting date kab,3,roman,2-4w,primary,n/a,SHORT,Single date fact,False,politics,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
