query_id,doc_id,relevance_label,annotator,annotation_date,label_source
R051,28930,C,thesis_author_single,2026-09-05,new_m3e
R051,45571,C,thesis_author_single,2026-09-05,new_m3e
R051,54598,A,thesis_author_single,2026-09-05,new_m3e
R051,58393,A,thesis_author_single,2026-09-01,carried_m0
R051,79509,D,thesis_author_single,2026-09-05,new_m3e
R051,82498,D,thesis_author_single,2026-09-01,carried_m0
R051,82525,C,thesis_author_single,2026-09-05,new_m3e
R051,87370,D,thesis_author_single,2026-09-01,carried_m0
R051,87382,C,thesis_author_single,2026-09-05,new_m3e
R051,87425,D,thesis_author_single,2026-09-01,carried_m0
R051,88241,D,thesis_author_single,2026-09-05,new_m3e
R051,88349,D,thesis_author_single,2026-09-01,carried_m0
R052,75,C,thesis_author_single,2026-09-05,new_m3e
R052,38964,A,thesis_author_single,2026-09-05,new_m3e
R052,61511,A,thesis_author_single,2026-09-01,carried_m0
R052,62458,A,thesis_author_single,2026-09-05,new_m3e
R052,64775,A,thesis_author_single,2026-09-01,carried_m0
R052,65778,A,thesis_author_single,2026-09-01,carried_m0
R052,65861,A,thesis_author_single,2026-09-05,new_m3e
R052,65867,A,thesis_author_single,2026-09-01,carried_m0
R052,71077,A,thesis_author_single,2026-09-05,new_m3e
R052,71095,A,thesis_author_single,2026-09-01,carried_m0
R053,38475,D,thesis_author_single,2026-09-01,carried_m0
R053,41109,C,thesis_author_single,2026-09-05,new_m3e
R053,63468,C,thesis_author_single,2026-09-05,new_m3e
R053,75050,C,thesis_author_single,2026-09-05,new_m3e
R053,75058,C,thesis_author_single,2026-09-05,new_m3e
R053,75103,B,thesis_author_single,2026-09-01,carried_m0
R053,75208,D,thesis_author_single,2026-09-01,carried_m0
R053,75533,C,thesis_author_single,2026-09-05,new_m3e
R053,76343,C,thesis_author_single,2026-09-05,new_m3e
R053,77577,D,thesis_author_single,2026-09-01,carried_m0
R053,78276,C,thesis_author_single,2026-09-01,carried_m0
R054,48092,D,thesis_author_single,2026-09-05,new_m3e
R054,60587,C,thesis_author_single,2026-09-01,carried_m0
R054,72079,B,thesis_author_single,2026-09-01,carried_m0
R054,72719,B,thesis_author_single,2026-09-01,carried_m0
R054,73822,A,thesis_author_single,2026-09-01,carried_m0
R054,74027,A,thesis_author_single,2026-09-05,new_m3e
R054,74564,B,thesis_author_single,2026-09-01,carried_m0
R054,74658,C,thesis_author_single,2026-09-05,new_m3e
R054,76189,B,thesis_author_single,2026-09-05,new_m3e
R054,101547,D,thesis_author_single,2026-09-05,new_m3e
R054,109441,B,thesis_author_single,2026-09-05,new_m3e
R054,111342,C,thesis_author_single,2026-09-05,new_m3e
R055,18668,D,thesis_author_single,2026-09-01,carried_m0
