query_id,query,script,word_count,trap_type,retrieval_mode,rank,doc_id,doc_headline,doc_category,score,relevance
H001,پیٹرول کیوں مہنگا,urdu,3,SHORT_WORDS_LONG_NEED,HEADLINE,1,2612,پیٹرول ڈیزل روپے فی لیٹر مہنگا کردیا گیا,Business & Economics,0.874934,Partially relevant
H001,پیٹرول کیوں مہنگا,urdu,3,SHORT_WORDS_LONG_NEED,HEADLINE,2,72469,پٹرول اور ڈیزل سوا2روپے لیٹر مہنگا,Business & Economics,0.850445,Partially relevant
H001,پیٹرول کیوں مہنگا,urdu,3,SHORT_WORDS_LONG_NEED,HEADLINE,3,65820,پیٹرول مزید مہنگا ہونے کا امکان اوگرا نے سمری بھجوادی,Business & Economics,0.847595,Partially relevant
H001,پیٹرول کیوں مہنگا,urdu,3,SHORT_WORDS_LONG_NEED,HEADLINE,4,71713,نئے سال کی امد پیٹرول روپے پیسے مہنگا,Business & Economics,0.844601,Partially relevant
H001,پیٹرول کیوں مہنگا,urdu,3,SHORT_WORDS_LONG_NEED,HEADLINE,5,110207,پیٹرول روپے 15 پیسے اور ڈیزل روپے 65 پیسے فی لیٹر مہنگا,Business & Economics,0.843497,Partially relevant
H001,پیٹرول کیوں مہنگا,urdu,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,1,60810,حکومت نے نئے سال کی خوشیوں سے پہلے عوام پر پیٹرول بم گرا دیا,Business & Economics,0.793156,Partially relevant
H001,پیٹرول کیوں مہنگا,urdu,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,2,109642,حکومت نے پیٹرول کی قیمت میں اضافہ کردیا,Business & Economics,0.784747,Partially relevant
H001,پیٹرول کیوں مہنگا,urdu,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,3,62572,یکم نومبر سے پیٹرولیم مصنوعات میں اضافے کا اعلان,Business & Economics,0.782322,Partially relevant
H001,پیٹرول کیوں مہنگا,urdu,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,4,70510,حکومت کا پیٹرول کی درمدات پر عائد پابندی ہٹانے کا فیصلہ,Business & Economics,0.776687,Not relevant
H001,پیٹرول کیوں مہنگا,urdu,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,5,17605,پیٹرول اور سی این جی قیمتیں کم ہونے کا امکان,Entertainment,0.773247,Not relevant
H002,شکست کی وجہ,urdu,3,SHORT_WORDS_LONG_NEED,HEADLINE,1,36001,ناکامیاں اور امید,Sports,0.842208,Partially relevant
H002,شکست کی وجہ,urdu,3,SHORT_WORDS_LONG_NEED,HEADLINE,2,35833,شکست کے ذمہ دار بالرز,Sports,0.811330,Relevant
H002,شکست کی وجہ,urdu,3,SHORT_WORDS_LONG_NEED,HEADLINE,3,35783,منفی سوچ شکست کی وجہ بنی فریدی,Sports,0.805069,Relevant
H002,شکست کی وجہ,urdu,3,SHORT_WORDS_LONG_NEED,HEADLINE,4,96309,شکست کی بڑی وجہ ناقص فیلڈنگ ہے مصباح الحق کا اعتراف,Sports,0.778654,Relevant
H002,شکست کی وجہ,urdu,3,SHORT_WORDS_LONG_NEED,HEADLINE,5,35018,ایک اور شکست,Sports,0.774084,Partially relevant
H002,شکست کی وجہ,urdu,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,1,18068,زندگی میں کامیاب اور ناکام افراد کے فرق,Entertainment,0.650186,Not relevant
H002,شکست کی وجہ,urdu,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,2,87371,عمر اکمل نے انتقال کی خبر پر بہت اچھا کا کمنٹس لکھ دیا,Sports,0.624365,Not relevant
H002,شکست کی وجہ,urdu,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,3,15563,کامیابی کی راہ میں رکاوٹ بننے والی 11 شخصی عادات,Entertainment,0.624157,Not relevant
H002,شکست کی وجہ,urdu,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,4,24700,ناکامی کے باوجود عروج پانے والی 12 شخصیات,Science & Technology,0.623498,Not relevant
H002,شکست کی وجہ,urdu,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,5,24682,زندگی میں کامیابی کے لیے ان 22 چیزوں کو چھوڑ دیں,Science & Technology,0.621570,Not relevant
H003,فلم کیسے ڈوبی,urdu,3,SHORT_WORDS_LONG_NEED,HEADLINE,1,6433,فلم انسیپشن کی اینڈنگ کا راز خرکار سامنے گیا,Entertainment,0.741745,Not relevant
H003,فلم کیسے ڈوبی,urdu,3,SHORT_WORDS_LONG_NEED,HEADLINE,2,69645,فلم اظہر کی پہلی جھلک جاری,Entertainment,0.738257,Not relevant
H003,فلم کیسے ڈوبی,urdu,3,SHORT_WORDS_LONG_NEED,HEADLINE,3,66857,فلم گلی بوائے شائقین کو متاثر کرنے میں کامیاب,Entertainment,0.731844,Not relevant
H003,فلم کیسے ڈوبی,urdu,3,SHORT_WORDS_LONG_NEED,HEADLINE,4,8389,ریڑھ کی ہڈی میں سنسناہٹ دوڑا دینے والی ہارر فلم,Entertainment,0.727337,Not relevant
H003,فلم کیسے ڈوبی,urdu,3,SHORT_WORDS_LONG_NEED,HEADLINE,5,99076,فلم طیفا ان ٹربل کا جادو چل گیا,Entertainment,0.725945,Not relevant
H003,فلم کیسے ڈوبی,urdu,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,1,100581,فلم بلیک بٹر فلائی کل نمائش کیلئے پیش ہو گی,Entertainment,0.683771,Not relevant
H003,فلم کیسے ڈوبی,urdu,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,2,17725,نصیرالدین کا انتظار,Entertainment,0.662782,Not relevant
H003,فلم کیسے ڈوبی,urdu,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,3,105910,تھرلنگ ہالی وڈ فلم جن کا پہلاٹریلر جاری,Entertainment,0.658517,Not relevant
H003,فلم کیسے ڈوبی,urdu,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,4,99418,فلم ٹک ٹاک ریویو کہانی کو سمجھنا مشکل ہی نہیں نا ممکن ہے,Entertainment,0.657357,Partially relevant
H003,فلم کیسے ڈوبی,urdu,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,5,100437,فلم 47میٹرز ڈاون کل سینما گھروں کی زینت بنے گی,Entertainment,0.657071,Not relevant
H004,سیلاب کا نقصان,urdu,3,SHORT_WORDS_LONG_NEED,HEADLINE,1,10960,بھارتی ریاست اسام میں سیلابپریانکا چوپڑا پرالزام,Entertainment,0.856172,Partially relevant
H004,سیلاب کا نقصان,urdu,3,SHORT_WORDS_LONG_NEED,HEADLINE,2,59899,دریائی نظام میں الودگی اور سیلاب سے خبردار کرنے والا الہ,Science & Technology,0.814665,Partially relevant
H004,سیلاب کا نقصان,urdu,3,SHORT_WORDS_LONG_NEED,HEADLINE,3,9378,سنجے کی سوانح حیات میں سونم کا اہم کردار,Entertainment,0.799873,Not relevant
H004,سیلاب کا نقصان,urdu,3,SHORT_WORDS_LONG_NEED,HEADLINE,4,18791,سیلاب طوفانی بارشیں,Entertainment,0.794791,Partially relevant
