# PROVENANCE: DERIVED / CURRENT-STATE.
"# Source: validate/stage_c_rows.json (85 rows, unmodified, byte-for-byte as found in repo)."
# It could NOT be proven that validate/stage_c_rows.json is byte-for-byte equivalent to
# a historical 'Stage-C original frozen' artifact -- no such artifact exists anywhere in
# repo history. Therefore this file is explicitly NOT named/labeled as a frozen original.
# 'v2_current_live_pred' and 'v2_pre_gapfix_live_pred' columns were computed FRESH in this
# audit session by running the actual deployed model files against these 85 queries
"# (8-feature schema, matching models/training_info.json). This confirms empirically that"
# the pre-existing 'old' column in validate/stage_c_rows.json == PRE_GAPFIX model predictions
# (85/85 match) and 'new' column == current deployed model predictions (85/85 match).

query,true_label,word_count,script,old_col_(=pre_gapfix_model_pred),new_col_(=current_model_pred),unseen_vocab,v2_current_live_pred,v2_pre_gapfix_live_pred
ٹریفک جام,short,2,urdu,short,short,False,short,short
زرعی قرض,short,2,urdu,short,short,False,short,short
سمندری آلودگی,short,2,urdu,short,short,False,short,short
چوری واردات,short,2,urdu,short,short,False,short,short
خلائی مشن,short,2,urdu,short,short,False,short,short
سیاحتی مقام,short,2,urdu,short,short,False,short,short
بینک قرض,short,2,urdu,short,short,False,short,short
ٹینس ٹورنامنٹ,short,2,urdu,short,short,False,short,short
traffic jam,short,2,roman,short,short,False,short,short
agriculture loan,short,2,roman,short,short,False,short,short
deforestation crisis,short,2,roman,short,short,False,short,short
theft incident,short,2,roman,short,short,False,short,short
space mission,short,2,roman,short,short,False,short,short
tourist spot,short,2,roman,short,short,False,short,short
bank loan,short,2,roman,short,short,False,short,short
football match,short,2,roman,short,short,False,short,short
ملتان میں ٹریفک حادثہ ہوا,long,5,urdu,short,short,False,short,short
کسانوں کو نیا قرض ملے گا,long,6,urdu,short,short,False,short,short
پشاور میں چوری کی واردات,long,5,urdu,short,short,False,short,short
نیا اسٹارٹ اپ فنڈنگ حاصل کرے,long,6,urdu,short,long,False,long,short
فیصل آباد میں پانی صاف نہیں,long,6,urdu,short,long,False,long,short
multan mein traffic accident hua,long,5,roman,short,long,False,long,short
kisano ko naya loan milega,long,5,roman,short,long,False,long,short
peshawar mein chori ki waardaat,long,5,roman,short,short,False,short,short
naya startup funding hasil karega,long,5,roman,short,long,False,long,short
faisalabad mein pani saaf nahi,long,5,roman,short,short,False,short,short
رمضان میں اشیائے خوردونوش کی قیمتیں بڑھیں,long,7,urdu,long,long,False,long,long
نئے بینک اکاؤنٹ کھولنے کا طریقہ,long,6,urdu,short,long,False,long,short
عید سے پہلے بازاروں میں رش,long,6,urdu,short,long,False,long,short
خلائی سائنسدانوں نے نیا سیارہ دریافت کیا,long,7,urdu,short,long,False,long,short
فٹبال ٹیم نے فائنل میچ جیت لیا,long,7,urdu,short,long,False,long,short
ramzan mein cheezon ki qeemat barh gayi,long,7,roman,long,long,False,long,long
naya bank account kholne ka tareeqa,long,6,roman,short,long,False,long,short
eid se pehle bazaron mein rush hai,long,7,roman,short,long,False,long,short
scientists ne naya sitara dhoond liya,long,6,roman,short,long,False,long,short
football team ne final match jeet liya,long,7,roman,short,long,False,long,short
محکمہ ماحولیات نے جنگلات کی کٹائی روکنے کا فیصلہ کیا,long,10,urdu,long,long,False,long,long
