failure_type,count,dev,internal_val,ids
QUERY_AMBIGUITY,4,2,2,"QTRN_099,QTRN_108,QTRN_189,QTRN_225"
WRONG_ROOM,3,2,1,"QTRN_168,QTRN_170,QTRN_010"
ENTITY_COLLISION,1,0,1,QTRN_216
TOPICAL_NEIGHBOUR,1,0,1,QTRN_031
KNOWN_ITEM_AMBIGUITY,1,0,1,QTRN_258
RANKING_FAILURE_as_primary,0,0,0,
LEXICAL_MISMATCH_as_primary,0,0,0,
SEMANTIC_MISMATCH_as_primary,0,0,0,
TEMPORAL_CONFUSION_as_primary,0,0,0,
ALL,10,4,6,
headline_recovers_script_aware_miss,3,2,1,"QTRN_168,QTRN_170,QTRN_010"
script_aware_rank_6_10,4,1,3,"QTRN_168,QTRN_010,QTRN_031,QTRN_099"
script_aware_rank_11_20,0,0,0,
script_aware_rank_21_50,2,1,1,"QTRN_170,QTRN_258"
script_aware_miss_top50,4,2,2,"QTRN_108,QTRN_189,QTRN_216,QTRN_225"
both_rooms_miss_top5,7,2,5,"QTRN_031,QTRN_099,QTRN_108,QTRN_189,QTRN_216,QTRN_225,QTRN_258"
topical_neighbour_in_top5,10,4,6,all_ten_misses_return_same-topic_non-source_articles
