experiment_id,query_id,query_text,track,source_doc_id,detector_label,retrieval_path,rank,doc_id,bm25_score,headline,news_text_or_snippet,n_hits_returned,top_k_tier
post_phase12_r_dev,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,1,62331,25.27944564819336,عالمی منڈی میں خام تیل کی قیمتیں مستحکم عالمی اسٹاک مارکیٹ میں تیزی,عالمی منڈی میں خام تیل کی قیمتیں مستحکم ہونے پرامریکی اور یورپی مارکیٹوں تیزی گئی جبکہ ایشیائی منڈی میں بھی تیزی کا رجحان دیکھا گیا خام تیل کی قیمتوں میں اضافہ کے باعث امریکی اور یورپی مارکیٹوں میں ایک بار پھر مثبت رجحان دیکھا گیا اس کے علاوہ چین کے معاشی بحران میں کمی کی وجہ سے یورپی اورایشیائی اسٹاک مارکیٹوں میں تیزی کا رجحان دیکھا گیا لندن کے ایف ٹی ایس سی انڈیکس میں ایک سوسولہ پوائنٹس امریکا کے نیسڈیک انڈیکس میں ستاون پوائنٹس جبکہ شنگھائی کمپوزٹ انڈیکس میں نوے پوائنٹس کا اضافہ ریکارڈ کیا گی…,50,top50
post_phase12_r_dev,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,2,62439,23.00950050354004,پاکستان اسٹاک ایکسچینج میں ایک بارپھرشدید مندی,ایشیائی اسٹاک مارکیٹوں کی مندی نے پاکستان اسٹاک ایکسچینج کو بھی اپنی لییٹ میں لے لیا کاروبار کے اغاز پر ہی ہنڈریڈ انڈیکس دوران ٹریڈنگ سات سو چالیس پوائنٹس نیچے چلا گیا پاکستان اسٹاک ایکسچینج میں صبح سے ہی ایشیائی مارکیٹوں کی مندی کے اثرات دیکھے گئے کاروباری روز کے چوتھے دن انڈیکس کا غاز بھی منفی انداز سے ہوا جس کے بعد مارکیٹ بتیس ہزار کے لیول کو برقرار نہ رکھ سکی اور دوران ٹریڈنگ ہنڈریڈ انڈیکس سات سو نوے پوائنٹس کی کمی کے ساتھ اکتیس ہزار تین سو چونسٹھ کے لیول پر بھی دیکھا گیا ماہرین کے مطابق عا…,50,top50
post_phase12_r_dev,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,3,62405,22.857900619506836,خام تیل کی قیمتوں میں اضافہ ایشیائی اسٹاک مارکیٹوں میں تیزی,خام تیل کی فی بیرل قیمت چارفیصد بڑھتے ہی ایشیائی اسٹاک مارکیٹ میں مندی کے بادل چھٹ گئے فی بیرل خام تیل بتیس ڈالر کی سطح پر جا پہنچا خام تیل کی قیمت اٹھائیس سے بتیس ڈالر کی سطح پر پہنچ جانے کے بعد یورپ کے ساتھ ایشیائی اسٹاک منڈیوں میں بھی تیزی دیکھی گئی شنگھائی کمپوزٹ انڈیکس اکیس پوائنٹس کے اضافے سے دو ہزار نو سو اڑتیس جبکہ ہینگ سینگ انڈیکس دوسوانسٹھ پوائنٹس بڑھ گئی جاپان کی نکئی انڈیکس میں ایک سو باون پوائنٹس بھارت کی بی ایس ای تھرٹی انڈیکس میں پچاس پوائنٹس اور جکارتہ کمپوزٹ میں بھی اننچاس پوائ…,50,top50
post_phase12_r_dev,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,4,40694,22.505783081054688,عالمی اسٹاک مارکیٹوں پر چھائے مندی کے بادل پاکستان پر بھی منڈلانے لگے,کراچی 92نیوز ایشیائی مارکیٹوں میں مندی کے بادل گرجتے برستے نظر رہے ہیں جس کا اثر پاکستان اسٹاک مارکیٹ پر بھی پڑ رہا ہے جس کے بعد پی ایس ای ہنڈریڈ انڈیکس ساڑھے سات سو سے زائد پوانٹس گھٹ گیا تفصیلات کے مطابق وال اسٹریٹ کی جانب سے بین الاقوامی مارکیٹ میں تیزی سے گرتی ہوئی تیل کی قیمت اور عالمی معیشت میں سست روی کی پیشگوئی کے بعد ایشیائی اسٹاک مارکیٹوں پر مندی کے سائے چھائے ہوئے ہیں جس کے بعد جاپان کی مارکیٹ 392 فیصد چینی مارکیٹ 109 فیصد ہانگ کانگ 163 فیصد بھارت کی مارکیٹ 094 فیصد جبکہ پاکستان اسٹا…,50,top50
post_phase12_r_dev,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,5,62180,22.139995574951172,یورپی اور ایشیائی مارکیٹوں میں مندی کے بادل,اوپیک اجلاس اور چین کی شعبہ توانائی کی ترقی سات سال کی کم ترین سطح پر پہنچنے کی خبر نے بیشتر ایشیائی اور یورپی مارکیٹوں کو مندی کی لپیٹ میں لے لیا گزشتہ ہفتے مسلسل تیزی دکھانے والی ایشیا کی اسٹاک مارکیٹیں چین کے شعبہ برائے توانائی کے منفی اعداد شمار پر مندی کا شکار ہوگئیں یورپی اسٹاک مارکیٹوں پر مندی کے بادل چھائے رہے اوپیک ممالک کی جانب سے خام تیل کی پیداوار کو منجمد کرنے جیسی خبروں نے بھی سرمایہ کاروں کو محتاط رویہ اپنانے پر مجبور کیا جاپان کی نکئی انڈیکس ہانگ کانگ کی ہینگ سینگ اور لندن کی ای…,50,top50
post_phase12_r_dev,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,6,63250,21.92937469482422,رواں سال پاکستان کی معاشی شرح نمو منفی 04 فیصد رہنے کا امکان,اسلام باد15 ستمبر 2020ایشیائی ترقیاتی بینک نے پاکستان کی معیشت پر رپورٹ جاری کردی ہے جس کے مطابق رواں سال پاکستان کی معاشی شرح نمو منفی 04 فیصد رہنے کا امکان ہے اے ڈی بی کے مطابق کورونا وائرس کی وجہ سے پاکستان کی معیشت بری طرح متاثرہوئی ہے کورونا میں کمی کے بعد پاکستان میں معاشی بحالی کا امکان اور معاشی اصلاحات کی بحالی پرپاکستان میں اقتصادی سرگرمیاں بڑھنےکی توقع ہے اگلے سال پاکستان کی معاشی ترقی ایک فیصد رہنے کا امکان ہے ایشیائی ترقیاتی بینک کے اندازے کے مطابق دوہزار بیس میں پاکستان میں مہنگائ…,50,top50
post_phase12_r_dev,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,7,86,21.65886878967285,عالمی مارکیٹوں میں بہتری کے بعد اسٹاک ایکسچینج میں زبردست تیزی,خام تیل کی قیمتوں میں اضافہ عالمی مارکیٹوں میں بہتری کے رجحان اور اکتوبر میں مہنگائی کی شرح توقعات سے کم ہونے کے باعث پاکستان اسٹاک ایکسچینج پی ایس ایکس میں تیزی کا رجحان رہا اور بینچ مارک کے ایس ای 100 انڈیکس 1369 پوائنٹس کے اضافے کے بعد 40 ہزار 481 پوائنٹس کی سطح پر بند ہوامنگل کے روز کاروبار کے غاز سے ہی مثبت رجحان دیکھا گیا اور ہنڈریڈ انڈیکس کی بلند ترین سطح 40 ہزار 500 اور کم ترین سطح 39 ہزار 112 پوائنٹس رہیٹاپ لائن سیکیورٹیز کے چیف اکنامسٹ سید عاطف ظفر نے ڈان سے بات کرتے ہوئے کہا کہ گزشتہ…,50,top50
post_phase12_r_dev,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,8,673,21.196958541870117,وال اسٹریٹ کا دہائیوں میں بدترین دن ایشیائی مارکیٹوں میں بھی مندی,وال اسٹریٹ میں 1987 کے بعد سب سے شدید مندی کے بعد ایشیائی مارکیٹ میں بھی کمی دیکھی گئی جہاں جاپان تھائی لینڈ اور بھارت کے بینچ مارک میں 10 فیصد تک کمی دیکھی گئیغیر ملکی خبر رساں ادارے ایسوسی ایٹڈ پریس اے پی کی رپورٹ کے مطابق کورونا وائرس پر تشویش بڑھنے اور دنیا کی سب سے بڑی معیشت امریکا کی مارکیٹ گرنے کے بعد دنیا بھر میں اعتماد میں کمی ئی جس کی وجہ سے مارکیٹوں میں یہ رد عمل سامنے یابنکاک اور ممبئی کی مارکیٹوں میں 10 فیصد تک کمی نے کے بعد عارضی طور روک دیا گیا تھا تجارت کے بحال ہونے کے بعد تھائی…,50,top50
post_phase12_r_dev,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,9,523,20.69091033935547,کورونا وائرس سے متاثرہ ایشیائی اسٹاک مارکیٹ ہفتوں کی بلند ترین سطح پر پہنچ گئی,کورونا وائرس کے باعث مختلف معاشی خدشات اور عالمی سطح پر کاروباری سرگرمیاں متاثر ہونے کے بعد ایشیائی مارکیٹ ہفتے کی بلند ترین سطح پر پہنچ گئی جبکہ وال اسٹریٹ میں ٹیکنالوجی فرمز کے انڈیکس میں کمی دیکھی گئیبرطانوی خبر رساں ادارے رائٹرز کی رپورٹ کے مطابق یورو اسٹاکس 50 فیوچرز میں 04 فیصد جبکہ جرمنی کے ڈاکس انڈیکس اور لندن کے ایف ٹی ایس ای میں 07 07 فیصد اضافہ ہوا کورونا وائرس کے عالمی وبا سے پہنچنے والے معاشی دھچکے میں کمی سے متعلق دنیا بھر میں مالیاتی پالیسی کے محرکات کے باعث رواں ماہ یہ اضافہ دیک…,50,top50
post_phase12_r_dev,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,10,40167,20.58762550354004,ایشیائی مارکیٹوں میں شیئرز کی قیمتیں گر گئیں,ٹوکیو ویب ڈیسک وال سٹریٹ کے شیئرز میں کمی کے بعد ایشیائی مارکیٹوں میں مندی کا رجحان نوٹ کیا جا رہا ہے ماہرین معاشیات کے مطابق سرمایہ کاروں کی تمام تر نظریں فی الحال امریکی صدارتی امیدواروں کے مباحثے پر اٹکی ہوئی ہیں جاپانی مارکیٹوں میں بڑی کمپنیوں کے شیئرز کی قیمتوں میں صفر اعشاریہ سات فیصد کمی واقع ہوئی ہے اگرچہ وال سٹریٹ نے دن کا غاز اچھے کاروبار سے کیا مگر مارکیٹ کے اختتام تک وہ خسارے کا شکار ہو چکی تھی ماہرین معاشیات کا کہنا ہے کہ ٹھ نومبر کو ہونے والے امریکی صدارتی انتخابات میں چھ ہفتے پڑے…,50,top50
