query_id,split,query_script,gold_doc_id,baseline_rank,baseline_hit1,baseline_hit5,baseline_hit10,baseline_hit50,ng3_rank,ng3_hit1,ng3_hit5,ng3_hit10,ng3_hit50,baseline_status,treatment_status,recovered,regressed,rank_delta,primary_slice,negative_control,failure_category_if_known,ng3_q_features,ng3_overlap_gold,shared_trigrams_sample
KN001,train,ROMAN,92506,,0,0,0,0,,0,0,0,0,MISS,MISS,0,0,,1,,ROOM,33,7,ala hir kab mal mpi orl rld
KN002,train,ROMAN,90691,,0,0,0,0,,0,0,0,0,MISS,MISS,0,0,,0,,ENT,23,5,ein has ke ko mei
KN004,train,ROMAN,14991,1,1,1,1,1,1,1,1,1,1,HIT,HIT,0,0,0,0,,SUCCESS,22,13,aid eha fai ghe hai hat hee ida ke man qsa san seh
KN005,train,ROMAN,64084,,0,0,0,0,,0,0,0,0,MISS,MISS,0,0,,0,,NEIGH,38,5,amr baa ira ke ran
KN006,train,ROMAN,29860,,0,0,0,0,,0,0,0,0,MISS,MISS,0,0,,1,split_acronym,ROOM,30,13,ara aya ein gin har hri ko kol mei ne olk ril se
KN008,train,ROMAN,47197,,0,0,0,0,,0,0,0,0,MISS,MISS,0,0,,1,,ROOM,37,10,ana ati eet har ion itl jee ne nis sat
KN010,train,ROMAN,1674,,0,0,0,0,,0,0,0,0,MISS,MISS,0,0,,1,,ROOM,35,10,alo ami aza ke khi ki laf nam ne nts
KN011,train,ROMAN,60226,,0,0,0,0,,0,0,0,0,MISS,MISS,0,0,,1,,ROOM,28,8,anc dro fra hai ki ola ran sol
KN012,train,ROMAN,13580,5,0,1,1,1,,0,0,0,0,HIT,MISS,0,1,994,0,,SUCCESS,25,8,adi ahi ali ban cha dad hte nah
KN013,train,ROMAN,82652,,0,0,0,0,,0,0,0,0,MISS,MISS,0,0,,0,,ROOM,36,16,aki cke ein ick ind ist ke ket kis mei orl pak rah rld sta tan
KN014,train,ROMAN,79754,44,0,0,0,1,,0,0,0,0,RANK,MISS,0,1,955,0,,RANK,27,13,bil cha hai hal har ho hon ile ki kti mob obi one
KN015,train,ROMAN,22450,,0,0,0,0,,0,0,0,0,MISS,MISS,0,0,,0,,VOCAB,30,10,ern int iya kiy ko ne net nte rne ter
KN016,train,ROMAN,100673,,0,0,0,0,,0,0,0,0,MISS,MISS,0,0,,0,,ENT,36,10,afr air ank fri hai ke nka par pri se
KN017,train,ROMAN,19341,,0,0,0,0,5,0,1,1,1,MISS,HIT,1,0,-994,0,vocab,VOCAB,30,6,oto pro rot rso son tot
KN018,train,ROMAN,17943,,0,0,0,0,,0,0,0,0,MISS,MISS,0,0,,1,,ROOM,32,15,abl add aha akh ala ani bni din hai han isi khs lad par sha
KN019,train,ROMAN,5092,,0,0,0,0,,0,0,0,0,MISS,MISS,0,0,,0,,ENT,25,14,50 aal ain ais ein ess ise ki mai mar mei ne nes tai
KN020,train,ROMAN,60895,,0,0,0,0,,0,0,0,0,MISS,MISS,0,0,,0,vocab,VOCAB,39,10,aha ein har ka kis mei mit oin rah tha
KN021,train,ROMAN,13065,,0,0,0,0,,0,0,0,0,MISS,MISS,0,0,,0,,ROOM,31,6,dia ind ndi ne ngl par
