query_id,split,query_type,is_script_aware_miss,query_n_tokens,headline_jaccard,body_jaccard,headline_coverage,body_coverage,content_headline_jaccard,content_body_jaccard,content_headline_coverage,content_body_coverage,content_overlap_headline
QTRN_003,dev,urdu,0,11,0.8182,0.0918,0.8182,0.8182,0.875,0.0959,0.875,0.875,اداکارہ ارمیلا بالی سالگرہ مٹونڈکر ووڈ ویں
QTRN_010,internal_val,urdu,1,8,0.8889,0.039,1.0,1.0,0.8333,0.0301,1.0,1.0,افریقہ جنوبی سیریز لینڈ نیوزی
QTRN_012,internal_val,urdu,0,11,0.8182,0.1607,0.8182,0.8182,0.8571,0.1538,0.8571,0.8571,بجلی صارفین نیپرا پھر کراچی گرادی
QTRN_014,dev,urdu,0,14,0.2778,0.07,0.3571,1.0,0.2727,0.0513,0.375,1.0,بھارتی متنازع ڈرامہ
QTRN_016,internal_val,roman_urdu,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
QTRN_024,dev,urdu,0,12,0.7143,0.0397,0.8333,0.9167,0.75,0.0258,0.8571,0.8571,اٹھانا باہر ساکھ سوالات میرے کردار
QTRN_026,internal_val,urdu,0,12,0.5,0.055,0.6667,0.9167,0.4444,0.0267,0.8,0.8,تھری حقیقت قریب چہروں
QTRN_028,internal_val,urdu,0,8,1.0,0.0533,1.0,1.0,1.0,0.0435,1.0,1.0,اسٹیلتھ طیارہ لڑاکا پریشنل کردیا
QTRN_031,internal_val,roman_urdu,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
QTRN_033,dev,urdu,0,13,0.6875,0.1325,0.8462,0.8462,0.75,0.0984,0.8571,0.8571,امریکہ بال بولیویا ٹورنامنٹ چلی کوپا
QTRN_034,dev,roman_urdu,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
QTRN_037,internal_val,urdu,0,8,0.6667,0.0714,1.0,1.0,0.625,0.061,1.0,1.0,سری لنکا میلبورن ٹوئنٹی پہلے
QTRN_038,dev,roman_urdu,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
QTRN_039,dev,urdu,0,8,0.75,0.0343,0.75,0.75,0.8333,0.0382,0.8333,0.8333,رنبیر نمبر کاجول کیلئے ہیرو
QTRN_044,dev,urdu,0,12,0.4211,0.1053,0.6667,0.8333,0.4167,0.0685,0.8333,0.8333,ایم ایکس پاکستانی گروپ ہاسنگ
QTRN_046,internal_val,urdu,0,8,0.6667,0.0899,1.0,1.0,0.75,0.0923,1.0,1.0,بینکوں خزانہ غیر ملکی وزارت پاکستان
QTRN_051,internal_val,urdu,0,8,0.75,0.0522,0.75,0.75,0.8333,0.0588,0.8333,0.8333,حادثے زخمی سعید ٹریفک ہمایوں
QTRN_054,dev,mixed,0,7,0.3077,0.0348,0.5714,0.5714,0.6,0.0395,1.0,1.0,بجٹ سندھ کیلئےتجاویز
QTRN_056,dev,roman_urdu,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
QTRN_059,internal_val,urdu,0,14,0.2941,0.1944,0.3571,1.0,0.3077,0.2041,0.4,1.0,ایتھلیٹ خاتون دنیا معمر
QTRN_067,internal_val,roman_urdu,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
QTRN_070,internal_val,roman_urdu,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
QTRN_086,internal_val,urdu,0,18,0.2593,0.1091,0.3889,1.0,0.1905,0.0992,0.3077,1.0,ریاستوں فلم پدماوت کورٹ
QTRN_088,internal_val,roman_urdu,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
QTRN_089,internal_val,urdu,0,12,0.6154,0.1515,0.6667,0.8333,0.7778,0.1489,0.875,0.875,ایکس مورٹل نیا ویڈیو ٹریلر کومبیٹ گیم
QTRN_091,internal_val,urdu,0,8,0.8,0.0245,1.0,1.0,0.8333,0.0187,1.0,1.0,افغانستان بازی عماد ورلڈ پلٹ
QTRN_094,internal_val,roman_urdu,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
QTRN_099,internal_val,mixed,1,7,0.3077,0.0471,0.5714,0.5714,0.5,0.0714,1.0,1.0,میچ ویمن پاکستان کرکٹ
QTRN_100,dev,urdu,0,8,0.4706,0.086,1.0,1.0,0.3636,0.0563,1.0,1.0,ائی حکومت سال ڈیڑھ
QTRN_102,internal_val,urdu,0,12,0.75,0.0503,0.8333,0.8333,0.7778,0.0486,0.875,0.875,تعلیمات رابی زندگی مذہبی مطابق پیرزادہ گزارنے
QTRN_105,dev,urdu,0,12,0.5882,0.0502,0.8333,0.9167,0.5833,0.0391,0.875,0.875,اضافہ خدشہ لاک پاکستان ڈان کورونا کیسز
QTRN_106,dev,roman_urdu,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
QTRN_107,internal_val,urdu,0,12,0.6667,0.1364,0.75,0.8333,0.75,0.1304,0.8571,0.8571,باسط تحقیقات جھگڑےکی شہریار علی کریں
QTRN_108,internal_val,mixed,1,7,0.2667,0.0171,0.5714,0.5714,0.375,0.0165,1.0,1.0,عالمی نمبر ٹیم
QTRN_117,internal_val,mixed,0,7,0.3077,0.0284,0.5714,0.5714,0.4286,0.027,1.0,1.0,زمبابوے وائٹ واش
QTRN_123,dev,urdu,0,12,0.7692,0.08,0.8333,0.8333,0.7778,0.0745,0.875,0.875,ائرلینڈاور انگلینڈ سیریز قومی ٹیم کیلئے کےخلاف
QTRN_125,internal_val,urdu,0,12,0.3889,0.0792,0.6667,0.75,0.6,0.0789,0.875,0.875,اولمپکس ریو شروع ڈان کانٹ یونان
QTRN_128,internal_val,roman_urdu,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
QTRN_133,dev,roman_urdu,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
QTRN_139,dev,roman_urdu,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
QTRN_140,dev,urdu,0,14,0.0909,0.2131,0.1429,1.0,0.0625,0.2128,0.0909,1.0,عالمی
QTRN_143,internal_val,urdu,0,12,0.6667,0.061,0.6667,0.8333,0.8333,0.0394,0.8333,0.8333,بنائیں خود فریم فوٹو فیس
QTRN_147,internal_val,urdu,0,12,0.75,0.0585,0.8333,0.9167,0.7778,0.0543,0.875,0.875,بعد بولڈ محبت ملک وطن وینا گلوکاری
QTRN_150,dev,urdu,0,12,0.8182,0.0559,0.8333,0.8333,0.875,0.0565,0.875,0.875,برقرار دودھ رکھنے فیصلہ قیمتیں کراچی کمشنر
QTRN_153,dev,mixed,0,7,0.3636,0.0195,0.5714,0.5714,0.4286,0.0185,1.0,1.0,2018 ریکارڈ ہواوے
QTRN_155,internal_val,roman_urdu,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
QTRN_163,dev,urdu,0,8,0.6364,0.0378,1.0,1.0,0.5714,0.0278,1.0,1.0,ساڈا سنگھ چوری ہنی
QTRN_168,dev,urdu,1,12,0.625,0.1209,0.8333,0.9167,0.6667,0.1231,0.8889,0.8889,اسٹاک تیسرا روز مارکیٹ پاکستان پوائنٹس کاروباری ہفتے
QTRN_170,dev,urdu,1,12,0.4211,0.0429,0.6667,0.8333,0.5,0.0272,0.8333,0.8333,انڈیز دوسرے ویسٹ ٹوئنٹی پاکستان
QTRN_174,dev,urdu,0,12,0.6923,0.099,0.8333,0.9167,0.6667,0.0811,0.8571,0.8571,ایف بعد فیشن ڈاکٹرز ڈیزائنرز گرد
QTRN_175,internal_val,roman_urdu,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
QTRN_189,dev,mixed,1,7,0.1765,0.0175,0.5714,0.5714,0.0,0.0,0.0,0.0,
QTRN_191,dev,roman_urdu,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
QTRN_195,internal_val,urdu,0,13,0.6,0.1343,0.8462,0.8462,0.75,0.1333,0.8889,0.8889,10543 روپے ضافہ قیمت نئی ڈیزل
QTRN_196,dev,roman_urdu,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
QTRN_205,internal_val,roman_urdu,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
QTRN_207,dev,mixed,0,7,0.3077,0.0221,0.5714,0.5714,0.4286,0.0229,1.0,1.0,سگریٹ فیس نوشی
QTRN_211,dev,roman_urdu,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
