query_id,split,script,source_doc_id,query_text,query_tokens,expanded_tokens,n_tokens_expanded,bm25_rank,dense_rank,ng3_rank,hybrid_rank,p7_rank,bm25_hit@1,bm25_hit@5,bm25_hit@10,bm25_hit@50,dense_hit@50,ng3_hit@50,hybrid_hit@50,p7_hit@1,p7_hit@5,p7_hit@10,p7_hit@50,bm25_rr,p7_rr,quad23,p7_recovered_quad23,room_cat1
KN001,train,ROMAN,92506,malaysia air race world championship third round kab shuru hua,malaysia air race world championship third round kab shuru hua,malaysia ae aaii aar aar ae si ai world championship third round ke ae bi shuru aich io ae,4,,16,,32,,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0,1
KN002,train,ROMAN,90691,zim t20 mein hosts ko chase ke liye kitna target mila,zim t20 mein hosts ko chase ke liye kitna target mila,zid aaii aim t20 mein hosts ko chase ke ail aaii oaii ai kitna target aim aaii ail ae,3,,13094,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0
KN004,train,ROMAN,14991,desi ghee sehat ke liye faida mand hai ya nuqsan deh,desi ghee sehat ke liye faida mand hai ya nuqsan deh,di ai ais aaii ghee sehat ke ail aaii oaii ai faida aim ae ain di hai oaii ae nuqsan di ai aich,5,1,107,1,1,29,1,1,1,1,0,1,1,0,0,0,1,1.0,0.034483,0,0,0
KN005,train,ROMAN,64084,iran amreeka tension ke baad local equities opening par kyun rebound hua,iran amreeka tension ke baad local equities opening par kyun rebound hua,aaii aar ae ain amreeka tension ke bi ae ae di local equities opening par ke oaii io ain rebound aich io ae,4,,20301,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0
KN006,train,ROMAN,29860,kolkata ne delhi ko ipl thriller mein kis margin se haraaya,kolkata ne delhi ko ipl thriller mein kis margin se haraaya,kolkata ne delhi ko aaii pi ail thriller mein ke aaii ais margin se haraaya,2,,13002,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,1
KN008,train,ROMAN,47197,teen tennis sensation ne kaunsa canadian hardcourt title jeeta,teen tennis sensation ne kaunsa canadian hardcourt title jeeta,ti ai ai ain tennis sensation ne kaunsa canadian hardcourt title jeeta,1,,2036,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,1
KN010,train,ROMAN,1674,benami accounts walo ke khilaf revenue board ne kya saza tajweez ki,benami accounts walo ke khilaf revenue board ne kya saza tajweez ki,benami accounts dblio ae ail ao ke khilaf revenue board ne kya ais ae zid ae tajweez ki,2,,466,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,1
KN011,train,ROMAN,60226,france ki hydrogen solar wind powered boat ka naam kya hai,france ki hydrogen solar wind powered boat ka naam kya hai,france ki hydrogen solar dblio aaii ain di powered bi ao ae ti ka ain ae ae aim kya hai,3,,1,,2,,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0,1
KN012,train,ROMAN,13580,comedy nights wali dadi wapas kyun nahi ban na chahte,comedy nights wali dadi wapas kyun nahi ban na chahte,comedy nights dblio ae ail aaii di ae di aaii wapas ke oaii io ain nahi bi ae ain na chahte,4,5,59,,10,,0,1,1,1,0,0,1,0,0,0,0,0.2,0.0,0,0,0
KN013,train,ROMAN,82652,world cup mein pakistan india fixture ke tickets black mein kyun bik rahe,world cup mein pakistan india fixture ke tickets black mein kyun bik rahe,world si io pi mein pakistan india fixture ke tickets black mein ke oaii io ain bi aaii ke aar ae aich ai,4,,4,,8,,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0,0
