query_id,split,query_text,language_type,query_category,source,creation_method,source_doc_id,article_category,word_count,char_len,protocol_label,protocol_route,wordcount_route,headline_p5,headline_ndcg5,headline_hit5,headline_rank,full_p5,full_ndcg5,full_hit5,full_rank,oracle_route,oracle_margin,oracle_primary_metric
QTRN_001,train,ئی سی سی ٹی20 رینکنگ پاکستان کی ٹاپ,urdu,short,corpus_derived,title_short,52318,Sports,8,35,SHORT,HEADLINE,FULL,0.2,1.0,1,1,0.0,0.0,0,6,HEADLINE,1.0,ndcg@5_known_item
QTRN_002,train,sonakshi aur sif kolkth mein blt raja ki sho tng mein msrof,roman_urdu,short,corpus_derived,title_roman,107604,Entertainment,12,59,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_003,dev,بالی ووڈ اداکارہ ارمیلا مٹونڈکر کی 40 ویں سالگرہ کیوں ہوا,urdu,contextual,corpus_derived,why,106021,Entertainment,11,57,LONG,FULL,FULL,0.2,1.0,1,1,0.0,0.0,0,999,HEADLINE,1.0,ndcg@5_known_item
QTRN_004,train,shhrh afaq film shale ki riliz ke 43 sal bad important raz,roman_urdu,short,corpus_derived,title_roman,99654,Entertainment,12,58,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_005,train,پاکستان سپر لیگ کا فائنل لاہور میں ہوگا یا نہیں ابھی تک فائنل فیصلہ,urdu,detailed,corpus_derived,lead,56541,Sports,14,67,LONG,FULL,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_006,train,جیمز بانڈنے ایک بار پھر سلور اسکرین پر تہلکہ مچادیا کیسے ہوا,urdu,contextual,corpus_derived,how,103445,Entertainment,12,60,LONG,FULL,FULL,0.2,1.0,1,1,0.2,0.6309,1,2,HEADLINE,0.3691,ndcg@5_known_item
QTRN_007,train,shadi ke bad krinh ki trjihat bdl giin,roman_urdu,short,corpus_derived,title_roman,16211,Entertainment,8,38,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_008,train,یاسر شاہ کی تباہ کن بالنگ جاری 2گیندوں کے اثرات کیا ہیں,urdu,contextual,corpus_derived,effects,47412,Sports,12,55,LONG,FULL,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_009,train,ستاروں سے بھرا ہونے Pakistan news update,mixed,ambiguous,corpus_derived,mixed_short,21630,Science & Technology,7,40,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_010,internal_val,جنوبی افریقہ کی نیوزی لینڈ کو سیریز میں,urdu,short,corpus_derived,title_short,30141,Sports,8,39,SHORT,HEADLINE,FULL,0.2,1.0,1,1,0.0,0.0,0,999,HEADLINE,1.0,ndcg@5_known_item
QTRN_011,train,donki kng joani phir nahi ni se bhi ge,roman_urdu,short,corpus_derived,title_roman,98847,Entertainment,9,38,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_012,internal_val,نیپرا نے کراچی کے صارفین پر پھر بجلی گرادی کیوں ہوا,urdu,contextual,corpus_derived,why,63190,Business & Economics,11,51,LONG,FULL,FULL,0.2,1.0,1,1,0.0,0.0,0,999,HEADLINE,1.0,ndcg@5_known_item
QTRN_013,train,antr bank mein dollar 94 rope 98 pise ki blnd trin sth,roman_urdu,short,corpus_derived,title_roman,78179,Business & Economics,12,54,SHORT,HEADLINE,FULL,0.0,0.0,0,10,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_014,dev,یہ بھی پڑھیں حکومتی دبا پر بھارتی ٹی وی نے متنازع ڈرامہ بند کردیامزید,urdu,detailed,corpus_derived,lead,10488,Entertainment,14,69,LONG,FULL,FULL,0.2,0.6309,1,2,0.0,0.0,0,999,HEADLINE,0.6309,ndcg@5_known_item
QTRN_015,train,سر پر گیند لگنے سے پاکستانی کلب کرکٹر ہلاک کیسے ہوا,urdu,contextual,corpus_derived,how,29239,Sports,11,51,LONG,FULL,FULL,0.2,1.0,1,1,0.0,0.0,0,999,HEADLINE,1.0,ndcg@5_known_item
QTRN_016,internal_val,nishnl ds aibld ti20 pntgolr kp cricket tornamnt sndh ne jeet liya,roman_urdu,short,corpus_derived,title_roman,93737,Sports,12,66,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_017,train,پاکستان میں کئی شعبوں میں سرمایہ کاری کے کے اثرات کیا ہیں,urdu,contextual,corpus_derived,effects,75876,Business & Economics,12,57,LONG,FULL,FULL,0.2,0.6309,1,2,0.0,0.0,0,999,HEADLINE,0.6309,ndcg@5_known_item
QTRN_018,train,عروہ فرحان کی شادی Pakistan news update,mixed,ambiguous,corpus_derived,mixed_short,12041,Entertainment,7,39,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.2,1.0,1,1,FULL,1.0,ndcg@5_known_item
QTRN_019,train,دبنگ خان کی نئی فلم سلطان نے بنا,urdu,short,corpus_derived,title_short,69213,Entertainment,8,32,SHORT,HEADLINE,FULL,0.2,1.0,1,1,0.0,0.0,0,999,HEADLINE,1.0,ndcg@5_known_item
QTRN_020,train,fridi ke khlaf koii karroaii nahi horhi shhriar,roman_urdu,short,corpus_derived,title_roman,32473,Sports,8,47,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_021,train,سندھ میں سرکاری ملازمین کیلیے جی پی فنڈ سینٹر کا کیوں ہوا,urdu,contextual,corpus_derived,why,110368,Business & Economics,12,57,LONG,FULL,FULL,0.2,1.0,1,1,0.2,1.0,1,1,MIXED,0.0,ndcg@5_known_item
QTRN_022,train,sains fkshn hali ood mooi saiiko gormin,roman_urdu,short,corpus_derived,title_roman,66217,Entertainment,7,39,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_023,train,لاہور 92 نیوز پاکستان اور سری لنکا کے مابین کھیلا جانیوالا پہلا ٹی 20,urdu,detailed,corpus_derived,lead,42404,Sports,14,69,LONG,FULL,FULL,0.2,0.6309,1,2,0.2,0.5,1,3,HEADLINE,0.1309,ndcg@5_known_item
