experiment_id,query_id,split,script,source_doc_id,query_tokens,gold_rank,in_top50,hit@5,category
R2-B0,KN001,train,ROMAN,92506,malaysia air race world championship third round kab shuru hua,,0,0,VOCAB/MISS
R2-B0,KN002,train,ROMAN,90691,zim t20 mein hosts ko chase ke liye kitna target mila,,0,0,VOCAB/MISS
R2-B0,KN004,train,ROMAN,14991,desi ghee sehat ke liye faida mand hai ya nuqsan deh,1,1,1,SUCCESS
R2-B0,KN005,train,ROMAN,64084,iran amreeka tension ke baad local equities opening par kyun rebound hua,,0,0,VOCAB/MISS
R2-B0,KN006,train,ROMAN,29860,kolkata ne delhi ko ipl thriller mein kis margin se haraaya,,0,0,VOCAB/MISS
R2-B0,KN008,train,ROMAN,47197,teen tennis sensation ne kaunsa canadian hardcourt title jeeta,,0,0,VOCAB/MISS
R2-B0,KN010,train,ROMAN,1674,benami accounts walo ke khilaf revenue board ne kya saza tajweez ki,,0,0,VOCAB/MISS
R2-B0,KN011,train,ROMAN,60226,france ki hydrogen solar wind powered boat ka naam kya hai,,0,0,VOCAB/MISS
R2-B0,KN012,train,ROMAN,13580,comedy nights wali dadi wapas kyun nahi ban na chahte,5,1,1,SUCCESS
R2-B0,KN013,train,ROMAN,82652,world cup mein pakistan india fixture ke tickets black mein kyun bik rahe,,0,0,VOCAB/MISS
R2-B0,KN014,train,ROMAN,79754,mobile slow charge hone ki user side ghalti kya ho sakti hai,44,1,0,RANK
R2-B0,KN015,train,ROMAN,22450,viral maths puzzle ne internet users ko kyun confuse kiya,,0,0,VOCAB/MISS
R2-B0,KN016,train,ROMAN,100673,priyanka ke african kids se hair compliment exchange kis tour par hua,,0,0,VOCAB/MISS
R2-B0,KN017,train,ROMAN,19341,boom supersonic passenger prototype kab unveil hua,,0,0,VOCAB/MISS
R2-B0,KN018,train,ROMAN,17943,aladdin kahani kisi haqeeqi shakhs par mabni hai ya sirf fable hai,,0,0,VOCAB/MISS
