annotation_row_id,query_id,query_text,doc_id,headline,snippet,shuffle_position
R051_54598,R051,aaj Pakistan ka cricket match kahan khela ja raha hai,54598,اج پاکستان اور بھارت کی کرکٹ ٹیمیں دبئی میں مدمقابل ہوں گی,دبئی 19 ستمبر 2018 اج دبئی میں ایشیا کی دو طاقتور ٹیمیں ٹکرائیں گی کرکٹ کی دنیا کے وہ مقابلے جن کو شائقین تو شائقین کھلاڑی خود دیکھنا چاہتے ہیں اج ایشیا کپ کے میچ میں پاکستان اور بھارت کی ٹیمیں دبئی میں مدمقابل ہوں گی ایشین سپرپاور ٹکرائیں گی ایشیا کپ کرکٹ میں ہائی وولٹیج ٹاکرے کا دن گیا شاہین بھارت کے خلاف ایک بار پھر,1
R051_82525,R051,aaj Pakistan ka cricket match kahan khela ja raha hai,82525,سیاسی کشیدگی نے پاکستان اور افغانستان کرکٹ میچ کی رقابت میں بھی اضافہ کردیا,لیڈز سیاسی کشیدگی نے پاکستان اور افغانستان کرکٹ میچ کی رقابت میں بھی اضافہ کردیا ہےبنگلہ دیش کی طرح افغانستان کرکٹ کے بھی قدم جمانے میں پاکستان کرکٹ بورڈ کی کوششیں شامل رہی ہیںپاکستان کرکٹ بورڈ متعدد بار افغان ٹیم کو پاکستان کے دورے کی دعوت دیتا رہا ہے لیکن جس طرح بنگلہ دیش سیکیورٹی کو جواز بنا کر پاکستان اپنی ٹیم بھیج,2
R051_88241,R051,aaj Pakistan ka cricket match kahan khela ja raha hai,88241,کپتان مصباح کی زندگی کابڑا امتحان اج سے شروع,کپتان مصباح الحق کی زندگی کا سب سے بڑا امتحان اج سے شروع ہو رہا ہےلندن میں لارڈز کے میدان کا لارڈ کون بنے گامحمد عامر نے سائیڈ میچوں میں طوفانی بولنگ سے خطرے کی گھنٹی بجا دی ہے جبکہ پاکستانی بلے باز بھی کچھ کر دکھانے کو بے قرار ہیںپاکستانی شائقین بھی یہ زبردست مقابلے دیکھنے کے لیے بے تاب ہیںایک بڑا معرکہ شروع ہونے کو ہ,3
R051_87370,R051,aaj Pakistan ka cricket match kahan khela ja raha hai,87370,دورہ نیوزی لینڈ کیلئے پاکستان ٹیم کی تیاریاں متاثر,پہلے ٹیسٹ سے قبل پاکستان کرکٹ ٹیم کی تیاریاں بری طرح متاثر ہوئی ہیں ٹیم مینجمنٹ 3روزہ میچ بارش کی نظر ہونے پر مایوس ہے پاکستان کرکٹ ٹیم کا دورہ نیوزی لینڈ کا واحد 3روزہ پریکٹس میچ بارش کی نظر ہو گیا ہے نیلسن میں میچ کے تینوں روز بارش کا سلسلہ جاری رہا اور نیوزی لیڈ اے کے خلاف پریکٹس میچ میں ایک بھی گیند نہ پھینکی جا سک,4
R051_88349,R051,aaj Pakistan ka cricket match kahan khela ja raha hai,88349,ساوتھمپٹن میں پاکستان کاپریکٹس میچ بارش سے شدید متاثر,ساوتھمپٹن میں پاکستان کرکٹ ٹیم کے کیمپ میں جاری تین روزہ پریکٹس میچ بارش سے شدید متاثر ہو رہا ہےدوسرے دن ایک بھی گیند نہ پھینکی جا سکیانگلینڈ سے مقابلے کےلیے ٹیم پاکستان ساوتھمپٹن میں تیاریاں کر رہی ہے لیکن تین روزہ میچ کے پہلے دن بارش کے باعث صرف تین گھنٹے کا کھیل ہو سکا جبکہ دوسرے دن ایک بھی گیند نہ کرائی جا سکی البت,5
R051_28930,R051,aaj Pakistan ka cricket match kahan khela ja raha hai,28930,کپتان کے انکار کے باوجود سری لنکا کا لاہور میں ٹی20 میچ کھیلنے کا اعلان,کپتان اپل تھارنگا کے انکار کے باوجود سری لنکن کرکٹ بورڈ نے وعدے کے مطابق پاکستان میں تیسرا ٹی20 میچ کھیلنے کا اعلان کردیا ہےمتحدہ عرب امارات میں پاکستان اور سری لنکا کے درمیان جاری ون ڈے سیریز کے بعد ٹی20 سیریز کھیلی جائے گی جس کا اخری ٹی20 میچ لاہور میں کھیلا جائے گا اور سری لنکن کرکٹ نے اج اس کی مںظوری دے دی ہےلاہور ,6
R051_58393,R051,aaj Pakistan ka cricket match kahan khela ja raha hai,58393,ابوظہبیپاکستان اور انگلینڈ کے درمیان پہلا ون ڈے اج ہو گا,پاکستان اورانگلینڈ کے درمیان ون ڈے سیریز کا پہلامیچ ابوظہبی میں کھیلا جائے گا پاکستان کی قیادت اظہرعلی اورانگلش ٹیم کی قیادت اوئن مورگن کریں گے میچ ابوظہبی میں ہے اور یہ میدان پاکستان کے لیے اب تک کچھ اچھا ثابت نہیں ہوا ٹیسٹ کرکٹ میں کامیابی کے بعد اب پاکستانی شاہین انگلش شیروں کو دبوچنے کے لئے ااج ابو ظہبی کے میدان می,7
R051_82498,R051,aaj Pakistan ka cricket match kahan khela ja raha hai,82498,بنگلا دیش کے خلاف اہم میچ کیلئے قومی ٹیم میں بڑی تبدیلیوں کا امکان,لندن کرکٹ ورلڈکپ 2019 میں بنگلا دیش کے خلاف اہم میچ کے لیے پاکستانی ٹیم میں بڑی تبدیلیوں کا امکان ظاہر کیا جا رہا ہےپاکستان کرکٹ ٹیم نے لارڈز کرکٹ گرانڈ میں بھرپور ٹریننگ سیشن کیا فاسٹ بولر وہاب ریاض نے بھی ٹریننگ سیشن میں حصہ لیا انہوں نے ایک بینڈیج کے ساتھ بولنگ کیتاریخی لارڈز کرکٹ گرانڈ میں ٹیم پاکستان نے فزیکل ٹرین,8
R051_87382,R051,aaj Pakistan ka cricket match kahan khela ja raha hai,87382,پاکستان اور نیوزی لینڈ کا ٹور میچ بارش کی نذر,ٹیسٹ سیریز سے قبل پاکستان کرکٹ ٹیم کی تیاریاں بری طرح متاثر ہو رہی ہیں روزہ پریکٹس میچ کے پہلے روز بارش کے باعث کھیل ہی شروع نہ ہو سکا ٹریننگ سیشن تو خراب موسم کے باعث متاثر ہو ئے اب موسم 3روزہ میچ کی راہ میں بھی رکاوٹ بن گیا ہے پاکستان اور نیوزی لینڈ اے کرکٹ ٹیموں کے درمیان واحد ٹور میچ کا پہلا روز شدید بارش کی نذرہو ,9
R051_45571,R051,aaj Pakistan ka cricket match kahan khela ja raha hai,45571,ایشیا کی تاریخ کا پہلا ڈے اینڈ نائٹ ٹیسٹ میچ کھیلا جا رہا ہے,لاہور 92نیوز گلابی گیند مصنوعی روشنیاں پاکستان اور ویسٹ انڈیز کے درمیان ایشیا کی تاریخ کا پہلا ڈے اینڈ نائٹ ٹیسٹ میچ دبئی میں شروع ہو گا ٹرافی کی تقریب رونمائی کر دی گئی تفصیلات کے مطابق دبئی کے میدان میں روایتی نہیں بلکہ تاریخی ٹیسٹ میچ کھیلا جا رہا ہے پاکستان اور ویسٹ انڈیز کی ٹیمیں پہلی بار مصنوعی روشنیوںمیں گلابی گ,10
