query_id,split,script,source_doc_id,query_text,bm25_rank,dense_rank,ng3_rank,hybrid2_rank,p8_rank,bm25_hit@5,dense_hit@5,ng3_hit@5,hybrid2_hit@5,p8_hit@5,bm25_hit@50,dense_hit@50,ng3_hit@50,hybrid2_hit@50,p8_hit@50,p8_rr,p8_rrf_score,n_union3,n_triple_overlap,quad23,p8_recovered_quad23,room_cat1,union3_only_phase6
KN001,train,ROMAN,92506,malaysia air race world championship third round kab shuru hua,,16,,32,48,0,0,0,0,0,0,1,0,1,1,0.020833,0.01315789,150,0,0,0,1,0
KN002,train,ROMAN,90691,zim t20 mein hosts ko chase ke liye kitna target mila,,13094,,,,0,0,0,0,0,0,0,0,0,0,0.0,,148,0,1,0,0,0
KN004,train,ROMAN,14991,desi ghee sehat ke liye faida mand hai ya nuqsan deh,1,107,1,1,1,1,0,1,1,1,1,0,1,1,1,1.0,0.03278689,131,0,0,0,0,0
KN005,train,ROMAN,64084,iran amreeka tension ke baad local equities opening par kyun rebound hua,,20301,,,,0,0,0,0,0,0,0,0,0,0,0.0,,150,0,1,0,0,0
KN006,train,ROMAN,29860,kolkata ne delhi ko ipl thriller mein kis margin se haraaya,,13002,,,,0,0,0,0,0,0,0,0,0,0,0.0,,149,0,1,0,1,0
KN008,train,ROMAN,47197,teen tennis sensation ne kaunsa canadian hardcourt title jeeta,,2036,,,,0,0,0,0,0,0,0,0,0,0,0.0,,150,0,1,0,1,0
KN010,train,ROMAN,1674,benami accounts walo ke khilaf revenue board ne kya saza tajweez ki,,466,,,,0,0,0,0,0,0,0,0,0,0,0.0,,131,2,1,0,1,0
KN011,train,ROMAN,60226,france ki hydrogen solar wind powered boat ka naam kya hai,,1,,2,4,0,1,0,1,1,0,1,0,1,1,0.25,0.01639344,148,0,0,0,1,0
KN012,train,ROMAN,13580,comedy nights wali dadi wapas kyun nahi ban na chahte,5,59,,10,14,1,0,0,0,0,1,0,0,1,1,0.071429,0.01538462,150,0,0,0,0,0
KN013,train,ROMAN,82652,world cup mein pakistan india fixture ke tickets black mein kyun bik rahe,,4,,8,13,0,1,0,0,0,0,1,0,1,1,0.076923,0.015625,148,0,0,0,0,0
KN014,train,ROMAN,79754,mobile slow charge hone ki user side ghalti kya ho sakti hai,44,16,,3,13,0,0,0,1,0,1,1,0,1,1,0.076923,0.02277328,130,0,0,0,0,0
KN015,train,ROMAN,22450,viral maths puzzle ne internet users ko kyun confuse kiya,,9,,18,46,0,0,0,0,0,0,1,0,1,1,0.021739,0.01449275,119,0,0,0,0,0
KN016,train,ROMAN,100673,priyanka ke african kids se hair compliment exchange kis tour par hua,,1,,1,2,0,1,0,1,1,0,1,0,1,1,0.5,0.01639344,150,0,0,0,0,0
KN017,train,ROMAN,19341,boom supersonic passenger prototype kab unveil hua,,1,5,2,1,0,1,1,1,1,0,1,1,1,1,1.0,0.03177806,99,0,0,0,0,0
KN018,train,ROMAN,17943,aladdin kahani kisi haqeeqi shakhs par mabni hai ya sirf fable hai,,11213,,,,0,0,0,0,0,0,0,0,0,0,0.0,,149,0,1,0,1,0
KN019,train,ROMAN,5092,jlo ne 50 saal ki umar mein fitness kaise maintain ki,,5,,9,15,0,1,0,0,0,0,1,0,1,1,0.066667,0.01538462,148,0,0,0,0,0
KN020,train,ROMAN,60895,cpec joint cooperation committee ka session kis shehar mein chal raha tha,,110,,,,0,0,0,0,0,0,0,0,0,0,0.0,,150,0,1,0,0,0
