query_id,query,word_count,script,rule_type,tag,category,pre_registered_hypothesis,retrieval_mode,rank,doc_id,doc_headline,doc_category,score,invalid_no_corpus_match,tied_or_zero_similarity_flag,relevance
P25_01,اسٹاک مارکیٹ میں تیزی آئی,5,urdu,§4_bare_event,5w,Business & Economics,LONG,HEADLINE,1,64778,اسٹاک مارکیٹ میں زبردست تیزی,Business & Economics,0.961288,False,False,UNJUDGED
P25_01,اسٹاک مارکیٹ میں تیزی آئی,5,urdu,§4_bare_event,5w,Business & Economics,LONG,HEADLINE,2,2701,اسٹاک مارکیٹ میں تیزی کا رجحان برقرار,Business & Economics,0.943789,False,False,UNJUDGED
P25_01,اسٹاک مارکیٹ میں تیزی آئی,5,urdu,§4_bare_event,5w,Business & Economics,LONG,HEADLINE,3,969,اسٹاک مارکیٹ میں تیزی کا رجحان جاری,Business & Economics,0.930143,False,False,UNJUDGED
P25_01,اسٹاک مارکیٹ میں تیزی آئی,5,urdu,§4_bare_event,5w,Business & Economics,LONG,HEADLINE,4,39721,سٹاک مارکیٹ میں زبردست تیزی کا رجحان غالب رہا,Business & Economics,0.908331,False,False,UNJUDGED
P25_01,اسٹاک مارکیٹ میں تیزی آئی,5,urdu,§4_bare_event,5w,Business & Economics,LONG,HEADLINE,5,111444,اسٹاک مارکیٹ میں تیزی کے بعد مندی چھا گئی,Business & Economics,0.886898,False,False,UNJUDGED
P25_01,اسٹاک مارکیٹ میں تیزی آئی,5,urdu,§4_bare_event,5w,Business & Economics,LONG,HEADLINE,6,2446,اسٹاک مارکیٹ میں مسلسل دوسرے روز بھی تیزی کا رجحان,Business & Economics,0.87974,False,False,UNJUDGED
P25_01,اسٹاک مارکیٹ میں تیزی آئی,5,urdu,§4_bare_event,5w,Business & Economics,LONG,HEADLINE,7,39614,سٹاک مارکیٹ میں دن بھر تیزی کا رجحان غالب رہا,Business & Economics,0.876895,False,False,UNJUDGED
P25_01,اسٹاک مارکیٹ میں تیزی آئی,5,urdu,§4_bare_event,5w,Business & Economics,LONG,HEADLINE,8,2269,اسٹاک مارکیٹ میں مندی کا رجحان برقرار,Business & Economics,0.872461,False,False,UNJUDGED
P25_01,اسٹاک مارکیٹ میں تیزی آئی,5,urdu,§4_bare_event,5w,Business & Economics,LONG,HEADLINE,9,2669,اسٹاک مارکیٹ میں مندی کا رجحان برقرار,Business & Economics,0.872461,False,False,UNJUDGED
P25_01,اسٹاک مارکیٹ میں تیزی آئی,5,urdu,§4_bare_event,5w,Business & Economics,LONG,HEADLINE,10,2936,اسٹاک مارکیٹ میں مسلسل دوسرے روز زبردست تیزی,Business & Economics,0.872367,False,False,UNJUDGED
P25_01,اسٹاک مارکیٹ میں تیزی آئی,5,urdu,§4_bare_event,5w,Business & Economics,LONG,HEADLINE,11,2891,اسٹاک مارکیٹ میں تیزیانڈیکس تاریخ کی بلند ترین سطح پر,Business & Economics,0.871287,False,False,UNJUDGED
P25_01,اسٹاک مارکیٹ میں تیزی آئی,5,urdu,§4_bare_event,5w,Business & Economics,LONG,HEADLINE,12,2582,اسٹاک مارکیٹ میں کاروبار کا ملا جلا رجحان,Business & Economics,0.869211,False,False,UNJUDGED
P25_01,اسٹاک مارکیٹ میں تیزی آئی,5,urdu,§4_bare_event,5w,Business & Economics,LONG,HEADLINE,13,38911,امریکی اسٹاک مارکیٹ میں کاروبار کے دوران تیزی کا رجحان,Business & Economics,0.866478,False,False,UNJUDGED
P25_01,اسٹاک مارکیٹ میں تیزی آئی,5,urdu,§4_bare_event,5w,Business & Economics,LONG,HEADLINE,14,38922,امریکی اسٹاک مارکیٹ میں کاروبار کے دوران تیزی کا رجحان,Business & Economics,0.866478,False,False,UNJUDGED
