query_id,query_text,need_type,length_bin,script,path,category,temporal,r1,r2,r3,r4,r5,success@5,first_AB_rank,n_A,p5_cons,ndcg@5,rr
U001,آج قومی اسمبلی کا اجلاس ہے کیا,factoid,medium,URDU,urdu_bm25,general,1,A,B,B,B,C,1,1,1,0.2,1.0,1.0
U002,aaj pakistan ka cricket match kis se hai,factoid,medium,ROMAN,roman_bm25_method_D,sports,1,A,D,D,D,D,1,1,1,0.2,1.0,1.0
U003,موجودہ وزیراعظم پاکستان کون ہیں,factoid,short,URDU,urdu_bm25,general,1,A,A,A,C,B,1,1,3,0.6,0.9942646540427001,1.0
U004,mojooda dollar rate pakistan mein kya hai,factoid,medium,ROMAN,roman_bm25_method_D,business,1,D,D,D,D,D,0,,0,0.0,0.0,0.0
U005,سونے کی قیمت کتنی ہے,factoid,short,URDU,urdu_bm25,business,0,A,A,A,A,A,1,1,5,1.0,1.0,1.0
U006,psl points table,factoid,short,ROMAN,roman_bm25_method_D,sports,0,D,D,D,D,D,0,,0,0.0,0.0,0.0
U007,کراچی میں رات بجلی کٹے گی,factoid,medium,URDU,urdu_bm25,business,0,D,B,C,C,C,1,2,0,0.0,0.7242206596550013,0.5
U008,lahore se islamabad train ticket price,factoid,medium,ROMAN,roman_bm25_method_D,general,0,D,D,D,D,D,0,,0,0.0,0.0,0.0
U009,عالمی کپ کرکٹ شیڈول پاکستان,factoid,short,URDU,urdu_bm25,sports,0,C,B,C,C,B,1,2,0,0.0,0.8661072012350618,0.5
U010,netflix pakistan subscription charges,factoid,short,ROMAN,roman_bm25_method_D,entertainment,0,D,D,D,D,D,0,,0,0.0,0.0,0.0
U011,وفاقی بجٹ کب پیش ہوگا,factoid,short,URDU,urdu_bm25,business,0,A,A,A,A,A,1,1,5,1.0,1.0,1.0
U012,karachi stock market closing,factoid,short,ROMAN,roman_bm25_method_D,business,0,A,D,D,C,A,1,1,2,0.4,0.8513655471804633,1.0
U013,چاند گرہن کب لگے گا,factoid,short,URDU,urdu_bm25,science/tech,0,A,A,A,A,A,1,1,5,1.0,1.0,1.0
U014,5G kab aye ga pakistan,factoid,short,ROMAN,roman_bm25_method_D,science/tech,0,D,D,D,D,D,0,,0,0.0,0.0,0.0
U015,پاکستان میں مہنگائی کیوں بڑھ رہی ہے,explanatory,medium,URDU,urdu_bm25,business,0,C,C,B,D,B,1,3,0,0.0,0.8120706214759499,0.3333333333333333
U016,pakistan mein berozgari kyun barh rahi hai,explanatory,medium,ROMAN,roman_bm25_method_D,business,0,D,D,D,D,D,0,,0,0.0,0.0,0.0
U017,پاکستان کی کرکٹ ٹیم عالمی مقابلوں میں بار بار خراب کارکردگی کیوں دکھاتی ہے,explanatory,long,URDU,urdu_bm25,sports,0,B,C,B,C,D,1,1,0,0.0,0.9687707507974168,1.0
U018,pakistan mein har saal flood ke baad faslon ka nuqsan itna zyada kyun hota hai,explanatory,long,ROMAN,roman_bm25_method_D,general,0,C,C,C,D,D,0,,0,0.0,1.0,0.0
U019,سوشل میڈیا کے غلط استعمال سے نوجوانوں کی ذہنی صحت پر کیا فرق پڑتا ہے,explanatory,long,URDU,urdu_bm25,general,0,B,A,A,B,A,1,1,3,0.6,0.923622470999995,1.0
U020,mobile apps phone ki battery kyun jaldi khatam karti hain aur iska hall kya hai,explanatory,long,ROMAN,roman_bm25_method_D,science/tech,0,D,D,D,D,D,0,,0,0.0,0.0,0.0
U021,پاکستان کی یونیورسٹیوں میں سائنس کی تحقیق دوسرے ممالک سے کیوں پیچھے رہ گئی ہے,explanatory,long,URDU,urdu_bm25,science/tech,0,C,C,C,B,C,1,4,0,0.0,0.8558112355261802,0.25
U022,internet speed pakistan mein slow kyun rehti hai aur isko kaise behtar kiya ja sakta hai,explanatory,long,ROMAN,roman_bm25_method_D,science/tech,0,D,C,C,B,B,1,4,0,0.0,0.6597411307050066,0.25
U023,فلم انڈسٹری پاکستان میں کیوں ترقی نہیں کر پا رہی اور اس کی کیا وجہ ہے,explanatory,long,URDU,urdu_bm25,entertainment,0,B,D,B,D,D,1,1,0,0.0,0.9197207891481876,1.0
U024,drama industry mein original stories kam kyun banti hain aur audience kya chahti hai,explanatory,long,ROMAN,roman_bm25_method_D,entertainment,0,D,B,C,C,C,1,2,0,0.0,0.7242206596550013,0.5
U025,کراچی میں روزانہ ٹریفک جام کم کرنے کے لیے کیا اقدامات کیے جا سکتے ہیں,explanatory,long,URDU,urdu_bm25,general,0,C,C,B,C,C,1,3,0,0.0,0.8733683229467235,0.3333333333333333
U026,larkion ki higher education ke liye ghar walon ka support kyun zaroori hota hai,explanatory,long,ROMAN,roman_bm25_method_D,general,0,D,D,D,D,D,0,,0,0.0,0.0,0.0
U027,بجلی کے بحران کی وجہ سے چھوٹی صنعتوں کو کیا نقصان ہو رہا ہے,explanatory,long,URDU,urdu_bm25,business,0,B,B,B,B,C,1,1,0,0.0,1.0,1.0
U028,foreign students pakistan ke universities mein admission kyun kam lete hain aur iski wajah kya hai,explanatory,long,ROMAN,roman_bm25_method_D,science/tech,0,D,D,D,D,D,0,,0,0.0,0.0,0.0
