query_id,doc_id,systems,in_M0_top5,in_M2A_top5,in_M2B_top5,label_source_planned,carried_label
R051,54598,M2-A,False,True,False,needs_new,
R051,82525,M2-A,False,True,False,needs_new,
R051,88241,M2-A,False,True,False,needs_new,
R051,87370,M0,True,False,False,carried_m0,D
R051,88349,M0|M2-B,True,False,True,carried_m0,D
R051,28930,M2-A,False,True,False,needs_new,
R051,58393,M0|M2-B,True,False,True,carried_m0,A
R051,82498,M0,True,False,False,carried_m0,D
R051,87382,M2-A,False,True,False,needs_new,
R051,45571,M2-B,False,False,True,needs_new,
R051,79509,M2-B,False,False,True,needs_new,
R051,87425,M0|M2-B,True,False,True,carried_m0,D
R052,65867,M0|M2-A,True,True,False,carried_m0,A
R052,64775,M0|M2-B,True,False,True,carried_m0,A
R052,71095,M0|M2-A,True,True,False,carried_m0,A
R052,38964,M2-B,False,False,True,needs_new,
R052,65861,M2-B,False,False,True,needs_new,
R052,65778,M0|M2-A,True,True,False,carried_m0,A
R052,71077,M2-B,False,False,True,needs_new,
R052,62458,M2-A,False,True,False,needs_new,
R052,75,M2-A,False,True,False,needs_new,
R052,61511,M0|M2-B,True,False,True,carried_m0,A
R053,77577,M0,True,False,False,carried_m0,D
R053,75533,M2-B,False,False,True,needs_new,
R053,75058,M2-A,False,True,False,needs_new,
R053,63468,M2-A,False,True,False,needs_new,
R053,76343,M2-B,False,False,True,needs_new,
R053,78276,M0|M2-A,True,True,False,carried_m0,C
R053,75208,M0|M2-B,True,False,True,carried_m0,D
R053,41109,M2-B,False,False,True,needs_new,
R053,38475,M0|M2-A,True,True,False,carried_m0,D
R053,75103,M0|M2-A,True,True,False,carried_m0,B
R053,75050,M2-B,False,False,True,needs_new,
R054,60587,M0,True,False,False,carried_m0,C
R054,72079,M0|M2-A,True,True,False,carried_m0,B
R054,74027,M2-A,False,True,False,needs_new,
R054,74564,M0,True,False,False,carried_m0,B
R054,74658,M2-B,False,False,True,needs_new,
R054,72719,M0,True,False,False,carried_m0,B
R054,73822,M0|M2-A|M2-B,True,True,True,carried_m0,A
R054,76189,M2-A,False,True,False,needs_new,
R054,109441,M2-A,False,True,False,needs_new,
R054,111342,M2-B,False,False,True,needs_new,
R054,48092,M2-B,False,False,True,needs_new,
R054,101547,M2-B,False,False,True,needs_new,
R055,30560,M0|M2-A|M2-B,True,True,True,carried_m0,D
R055,55132,M0|M2-A|M2-B,True,True,True,carried_m0,D
R055,26590,M2-B,False,False,True,needs_new,
R055,27102,M2-A,False,True,False,needs_new,
R055,18668,M0|M2-B,True,False,True,carried_m0,D
R055,84126,M0|M2-A|M2-B,True,True,True,carried_m0,D
R055,31206,M0|M2-A,True,True,False,carried_m0,D
R056,84542,M0|M2-A,True,True,False,carried_m0,D
R056,80972,M2-A,False,True,False,needs_new,
R056,81227,M2-B,False,False,True,needs_new,
R056,43214,M0|M2-B,True,False,True,carried_m0,C
R056,43935,M2-A,False,True,False,needs_new,
R056,84596,M2-A|M2-B,False,True,True,needs_new,
R056,24851,M0|M2-B,True,False,True,carried_m0,C
R056,42656,M0|M2-A|M2-B,True,True,True,carried_m0,B
R056,98120,M0,True,False,False,carried_m0,D
R057,65656,M0|M2-A,True,True,False,carried_m0,C
R057,50863,M0|M2-B,True,False,True,carried_m0,D
R057,60204,M2-A,False,True,False,needs_new,
R057,44405,M0,True,False,False,carried_m0,D
R057,58670,M2-B,False,False,True,needs_new,
R057,87804,M0|M2-A,True,True,False,carried_m0,D
R057,96989,M0|M2-A|M2-B,True,True,True,carried_m0,D
R057,46461,M2-A|M2-B,False,True,True,needs_new,
R057,42348,M2-B,False,False,True,needs_new,
R058,19895,M0,True,False,False,carried_m0,D
R058,20356,M2-A|M2-B,False,True,True,needs_new,
R058,59513,M0|M2-A|M2-B,True,True,True,carried_m0,B
R058,80347,M0|M2-A|M2-B,True,True,True,carried_m0,C
R058,19998,M0|M2-A|M2-B,True,True,True,carried_m0,C
R058,20831,M0|M2-A|M2-B,True,True,True,carried_m0,C
R059,61386,M0|M2-B,True,False,True,carried_m0,D
R059,20637,M2-A,False,True,False,needs_new,
R059,76761,M2-A,False,True,False,needs_new,
R059,63046,M0,True,False,False,carried_m0,D
R059,71940,M0|M2-B,True,False,True,carried_m0,D
R059,60741,M2-A,False,True,False,needs_new,
R059,64789,M2-A,False,True,False,needs_new,
R059,109592,M0,True,False,False,carried_m0,D
R059,109494,M2-B,False,False,True,needs_new,
R059,246,M2-B,False,False,True,needs_new,
R059,199,M2-B,False,False,True,needs_new,
R059,110731,M2-A,False,True,False,needs_new,
R059,64016,M0,True,False,False,carried_m0,D
R060,30424,M2-B,False,False,True,needs_new,
R060,65584,M0,True,False,False,carried_m0,D
R060,111021,M0|M2-A|M2-B,True,True,True,carried_m0,D
R060,18837,M2-B,False,False,True,needs_new,
R060,88959,M2-A,False,True,False,needs_new,
R060,76727,M2-B,False,False,True,needs_new,
R060,57899,M0|M2-A|M2-B,True,True,True,carried_m0,D
R060,62963,M0|M2-A,True,True,False,carried_m0,D
R060,86673,M0|M2-A,True,True,False,carried_m0,D
R061,61788,M2-B,False,False,True,needs_new,
R061,71342,M0|M2-A,True,True,False,carried_m0,B
R061,71362,M0|M2-A,True,True,False,carried_m0,C
R061,64991,M2-B,False,False,True,needs_new,
R061,66649,M2-A,False,True,False,needs_new,
R061,65597,M0,True,False,False,carried_m0,B
R061,65604,M2-A,False,True,False,needs_new,
R061,2065,M2-B,False,False,True,needs_new,
R061,71352,M0|M2-A,True,True,False,carried_m0,B
R061,61606,M2-B,False,False,True,needs_new,
R061,76714,M0,True,False,False,carried_m0,B
R061,63958,M2-B,False,False,True,needs_new,
R062,72455,M2-A,False,True,False,needs_new,
R062,74852,M2-A,False,True,False,needs_new,
R062,95368,M0,True,False,False,carried_m0,D
R062,86853,M2-B,False,False,True,needs_new,
R062,57000,M2-A,False,True,False,needs_new,
R062,18668,M0|M2-B,True,False,True,carried_m0,D
R062,87540,M0|M2-B,True,False,True,carried_m0,D
R062,73768,M2-A,False,True,False,needs_new,
R062,73476,M0,True,False,False,carried_m0,D
R062,87034,M0,True,False,False,carried_m0,D
R062,91237,M2-B,False,False,True,needs_new,
R062,109244,M2-A,False,True,False,needs_new,
R062,37397,M2-B,False,False,True,needs_new,
R063,54016,M2-A,False,True,False,needs_new,
R063,77962,M0|M2-B,True,False,True,carried_m0,D
R063,3544,M2-A,False,True,False,needs_new,
