experiment_id,query_id,query_text,track,source_doc_id,detector_label,retrieval_path,rank,doc_id,bm25_score,headline,news_text_or_snippet,n_hits_returned,top_k_tier,relevance_label
post_phase12_r_dev,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,1,62331,25.27944564819336,عالمی منڈی میں خام تیل کی قیمتیں مستحکم عالمی اسٹاک مارکیٹ میں تیزی,عالمی منڈی میں خام تیل کی قیمتیں مستحکم ہونے پرامریکی اور یورپی مارکیٹوں تیزی گئی جبکہ ایشیائی منڈی میں بھی تیزی کا رجحان دیکھا گیا خام تیل کی قیمتوں میں اضافہ کے باعث امریکی اور یورپی مارکیٹوں میں ایک بار پھر مثبت رجحان دیکھا گیا اس کے علاوہ چین کے معاشی بحران میں کمی کی وجہ سے یورپی اورایشیائی اسٹاک مارکیٹوں میں تیزی کا رجحان دیکھا گیا لندن کے ایف ٹی ایس سی انڈیکس میں ایک سوسولہ پوائنٹس امریکا کے نیسڈیک انڈیکس میں ستاون پوائنٹس جبکہ شنگھائی کمپوزٹ انڈیکس میں نوے پوائنٹس کا اضافہ ریکارڈ کیا گی…,50,top5,
post_phase12_r_dev,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,2,62439,23.00950050354004,پاکستان اسٹاک ایکسچینج میں ایک بارپھرشدید مندی,ایشیائی اسٹاک مارکیٹوں کی مندی نے پاکستان اسٹاک ایکسچینج کو بھی اپنی لییٹ میں لے لیا کاروبار کے اغاز پر ہی ہنڈریڈ انڈیکس دوران ٹریڈنگ سات سو چالیس پوائنٹس نیچے چلا گیا پاکستان اسٹاک ایکسچینج میں صبح سے ہی ایشیائی مارکیٹوں کی مندی کے اثرات دیکھے گئے کاروباری روز کے چوتھے دن انڈیکس کا غاز بھی منفی انداز سے ہوا جس کے بعد مارکیٹ بتیس ہزار کے لیول کو برقرار نہ رکھ سکی اور دوران ٹریڈنگ ہنڈریڈ انڈیکس سات سو نوے پوائنٹس کی کمی کے ساتھ اکتیس ہزار تین سو چونسٹھ کے لیول پر بھی دیکھا گیا ماہرین کے مطابق عا…,50,top5,
post_phase12_r_dev,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,3,62405,22.857900619506836,خام تیل کی قیمتوں میں اضافہ ایشیائی اسٹاک مارکیٹوں میں تیزی,خام تیل کی فی بیرل قیمت چارفیصد بڑھتے ہی ایشیائی اسٹاک مارکیٹ میں مندی کے بادل چھٹ گئے فی بیرل خام تیل بتیس ڈالر کی سطح پر جا پہنچا خام تیل کی قیمت اٹھائیس سے بتیس ڈالر کی سطح پر پہنچ جانے کے بعد یورپ کے ساتھ ایشیائی اسٹاک منڈیوں میں بھی تیزی دیکھی گئی شنگھائی کمپوزٹ انڈیکس اکیس پوائنٹس کے اضافے سے دو ہزار نو سو اڑتیس جبکہ ہینگ سینگ انڈیکس دوسوانسٹھ پوائنٹس بڑھ گئی جاپان کی نکئی انڈیکس میں ایک سو باون پوائنٹس بھارت کی بی ایس ای تھرٹی انڈیکس میں پچاس پوائنٹس اور جکارتہ کمپوزٹ میں بھی اننچاس پوائ…,50,top5,
post_phase12_r_dev,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,4,40694,22.505783081054688,عالمی اسٹاک مارکیٹوں پر چھائے مندی کے بادل پاکستان پر بھی منڈلانے لگے,کراچی 92نیوز ایشیائی مارکیٹوں میں مندی کے بادل گرجتے برستے نظر رہے ہیں جس کا اثر پاکستان اسٹاک مارکیٹ پر بھی پڑ رہا ہے جس کے بعد پی ایس ای ہنڈریڈ انڈیکس ساڑھے سات سو سے زائد پوانٹس گھٹ گیا تفصیلات کے مطابق وال اسٹریٹ کی جانب سے بین الاقوامی مارکیٹ میں تیزی سے گرتی ہوئی تیل کی قیمت اور عالمی معیشت میں سست روی کی پیشگوئی کے بعد ایشیائی اسٹاک مارکیٹوں پر مندی کے سائے چھائے ہوئے ہیں جس کے بعد جاپان کی مارکیٹ 392 فیصد چینی مارکیٹ 109 فیصد ہانگ کانگ 163 فیصد بھارت کی مارکیٹ 094 فیصد جبکہ پاکستان اسٹا…,50,top5,
post_phase12_r_dev,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,5,62180,22.139995574951172,یورپی اور ایشیائی مارکیٹوں میں مندی کے بادل,اوپیک اجلاس اور چین کی شعبہ توانائی کی ترقی سات سال کی کم ترین سطح پر پہنچنے کی خبر نے بیشتر ایشیائی اور یورپی مارکیٹوں کو مندی کی لپیٹ میں لے لیا گزشتہ ہفتے مسلسل تیزی دکھانے والی ایشیا کی اسٹاک مارکیٹیں چین کے شعبہ برائے توانائی کے منفی اعداد شمار پر مندی کا شکار ہوگئیں یورپی اسٹاک مارکیٹوں پر مندی کے بادل چھائے رہے اوپیک ممالک کی جانب سے خام تیل کی پیداوار کو منجمد کرنے جیسی خبروں نے بھی سرمایہ کاروں کو محتاط رویہ اپنانے پر مجبور کیا جاپان کی نکئی انڈیکس ہانگ کانگ کی ہینگ سینگ اور لندن کی ای…,50,top5,
post_phase12_r_dev,R002,مارشل آرٹ کی تربیت میں حملہ کرنے والا روبوٹ,KI,51897,URDU,urdu_bm25,1,51897,33.29970169067383,کھلاڑیوں کی تربیت کے لئے مارشل ارٹ روبوٹ,واشنگٹن 24 ستمبر 2020 باکسنگ اور مارشل ارٹ کے کھلاڑی تربیت کے دوران بھوسے بھرے بیگ کو مکے مارتے رہتے ہیں لیکن اب ایک تربیتی روبوٹ پلٹ کر ان پر وار بھی کرسکتا ہے اس روبوٹ کو مارشل ارٹ کے مشہور کھلاڑی برینٹ ورڈائلیز نے تیار کیا ہے ایک کھلاڑی کے ساتھ مشق کرتے ہوئے ان کی کلائی پر شدید چوٹ ائی جس کے بعد انہوں نے ورزشی تربیت کرانے والے روبوٹ پر کام شروع کردیا اور تربیت میں مدد فراہم کرنے والا قد ادم الہ بنایا ہے اس روبوٹ کی اونچائی 12 انچ ہے جسے دیوار پر نصب کیا جاسکتا ہے لیکن اونچائی کو کم یا زیادہ …,50,top5,
post_phase12_r_dev,R002,مارشل آرٹ کی تربیت میں حملہ کرنے والا روبوٹ,KI,51897,URDU,urdu_bm25,2,9515,20.926517486572266,جیکولین پول ڈانس کے بعد مارشل ارٹس کرتب دکھائیں گی,یہ بھی پڑھیں ریس میں سلمان خان کا مرکزی کردار فائنلمزید پڑھیں ریس تھری کی پہلی جھلک میں جیکولین کی انکھوں کی جھلکبولی وڈ کی انے والی ایکشن سسپنس فلم ریس تھری کی ریلیز میں اگرچہ ابھی کافی وقت ہے تاہم شائقین کو ابھی سے ہی اس فلم کا بے حد انتظار ہےریس تھری میں سلمان خان کے ساتھ دوسری بار جیکولین فرنانڈس ایکشن میں نظر ائیں گیاس بار جیکولین فرنانڈس صرف ایک رومانٹک سی نازک لڑکی کے بجائے ایسی لڑکی کی روپ میں نظر ائیں گی جو فلم میں اپنے حریفوں کو مارشل ارٹس سے مزے چکھاتی ہیںاور اسی لیے فلم کی شوٹنگ سے …,50,top5,
post_phase12_r_dev,R002,مارشل آرٹ کی تربیت میں حملہ کرنے والا روبوٹ,KI,51897,URDU,urdu_bm25,3,59747,20.764192581176758,سعودی عرب میں روبوٹ کو سرکاری ملازم تعینات کردیا گیا,ریاض25 دسمبر 2018 سعودی عرب بھی مصنوعی ذہانت اور ٹیکنالوجی کو سرکاری شعبے میں استعمال کرنے والے ممالک میں شامل ہوگیا سعودی عرب کی جنرل فانڈیشن برائے ٹیکنیکل اور پیشہ وارانہ تربیت کے شعبے میں پہلا روبوٹ تعینات کیا گیا ہےگذشتہ روز روبوٹ کو اس کی ذمہ داری سونپے جانے کے ساتھ اس کا ملازمت کارڈ بھی جاری کردیا گیا روبوٹ کو سرکاری ادارے میں ملازم مقرر کیے جانے کی تقریب کے موقع پر سعودی وزیر تعلیم ڈاکٹر احمد العیسی اور ٹیکنیکل فانڈیشن کے گورنر ڈاکٹر احمد الفہد اور بورڈ کے دیگر ارکان موجود تھے عرب میڈیا …,50,top5,
post_phase12_r_dev,R002,مارشل آرٹ کی تربیت میں حملہ کرنے والا روبوٹ,KI,51897,URDU,urdu_bm25,4,6939,20.18183135986328,شاز خان اپنی اگلی فلم کے لیے کیا کرنے جارہے ہیں,پاکستانی کامیاب فلم پرواز ہے جنون کے اداکار شاز خان اپنی نئی فلم کی تیاری کے لیے کچھ نیا سیکھنے کو تیار ہیںان کی اگلی فلم کا نام دی مارشل ارٹس ہے جس میں وہ خود ایک مارشل ارٹ کا مظاہرہ کرتے نظر ائیں گے اور اس کے لیے وہ زور شور سے فلم کی تیاری کررہے ہیںمزید پڑھیں شاز خان اور زارہ نور عباس لمحے میں ایک ساتھشاز خان کیلی فورنیا میں مارشل ارٹ کی تربیت حاصل کررہے ہیں جبکہ انہیں کوئی اور نہیں بلکہ نامور مارشل ارٹس ایم ایم اے چیمپئن ریفیل کورڈیرو یہ کرتب سکھا رہے ہیں 20 2018 224 برازیل میں 13 سال کے کام…,50,top5,
post_phase12_r_dev,R002,مارشل آرٹ کی تربیت میں حملہ کرنے والا روبوٹ,KI,51897,URDU,urdu_bm25,5,19907,19.6192626953125,انسانوں کی مدد کے بغیر چلنے میں کامیاب ہونے والا روبوٹ تیار,اگر نے ڈزنی اسٹوڈیوز کی مشہور زمانہ انیمیٹڈ فلم بامبی دیکھی ہے تو اس ہرن کی کہانی نے ضرور متاثر کیا ہے اور اب گوگل نے ایسا روبوٹ تیار کیا ہے جو اس کی طرح چلنے کی صلاحیت رکھتا ہے اور بہت زیادہ متاثر کن ہےگوگل کے جارجیا انسٹیٹوٹ ٹیکنالوجی اور کیلیفورنیا یونیورسٹی بارکلے کے محققین نے اس حوالے سے مقالہ شائع کیا ہے جس میں اس روبوٹ کی تیاری میں کامیابی کی تفصیلات بیان کی گئی ہیں جس کو چلنے کی تربیت دینے کے لیے اے ئی ٹیکنالوجی کو استعمال کیا گیاڈیپ رینفورسمنٹ لرننگ نامی اے ئی ٹیکنالوجی کو اس روبوٹ میں…,50,top5,
