query_id,split,script,source_doc_id,query_text,triggered,n_en_hits,spans,oracle_hybrid_miss,bm25_rank,dense_rank,ng3_rank,hybrid_rank,p10b_rank,bm25_hit@50,dense_hit@50,ng3_hit@50,hybrid_hit@1,hybrid_hit@5,hybrid_hit@10,hybrid_hit@50,p10b_hit@1,p10b_hit@5,p10b_hit@10,p10b_hit@50,hybrid_rr,p10b_rr,n_cascade_fill_outside_hybrid50,equals_hybrid_top50,quad23,room_cat1,p10b_recovered_hybrid_miss50,p10b_regressed_hybrid_hit50,p10b_regressed_hybrid_hit5
KN001,train,ROMAN,92506,malaysia air race world championship third round kab shuru hua,0,0,,0,,16,,32,32,0,1,0,0,0,0,1,0,0,0,1,0.03125,0.03125,0,1,0,1,0,0,0
KN002,train,ROMAN,90691,zim t20 mein hosts ko chase ke liye kitna target mila,0,0,,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,1,0,0,0,0
KN004,train,ROMAN,14991,desi ghee sehat ke liye faida mand hai ya nuqsan deh,0,0,,0,1,107,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1.0,1.0,0,1,0,0,0,0,0
KN005,train,ROMAN,64084,iran amreeka tension ke baad local equities opening par kyun rebound hua,0,0,,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,1,0,0,0,0
KN006,train,ROMAN,29860,kolkata ne delhi ko ipl thriller mein kis margin se haraaya,1,1,ipl,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1,0,0,0
KN008,train,ROMAN,47197,teen tennis sensation ne kaunsa canadian hardcourt title jeeta,0,0,,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1,0,0,0
KN010,train,ROMAN,1674,benami accounts walo ke khilaf revenue board ne kya saza tajweez ki,0,0,,1,,466,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1,0,0,0
KN011,train,ROMAN,60226,france ki hydrogen solar wind powered boat ka naam kya hai,0,0,,0,,1,,2,2,0,1,0,0,1,1,1,0,1,1,1,0.5,0.5,0,1,0,1,0,0,0
KN012,train,ROMAN,13580,comedy nights wali dadi wapas kyun nahi ban na chahte,0,0,,0,5,59,,10,10,1,0,0,0,0,1,1,0,0,1,1,0.1,0.1,0,1,0,0,0,0,0
KN013,train,ROMAN,82652,world cup mein pakistan india fixture ke tickets black mein kyun bik rahe,0,0,,0,,4,,8,8,0,1,0,0,0,1,1,0,0,1,1,0.125,0.125,0,1,0,0,0,0,0
