query_id,query,gold_protocol,svm,wordcount,headline_p5,full_p5,headline_ndcg5,full_ndcg5,best_actual,svm_p5,wc_p5,svm_vs_gold,svm_vs_oracle,wc_vs_oracle,gold_vs_oracle,primary,v3_cue_hit,trap_type
H001,"پیٹرول کیوں مہنگا",LONG,LONG,SHORT,0.5,0.3,1.0,1.0,HEADLINE,0.3,0.5,agree,disagree,agree,disagree,E_gold_vs_oracle,1,SHORT_WORDS_LONG_NEED
H002,"شکست کی وجہ",LONG,LONG,SHORT,0.8,0.0,0.865,0.0,HEADLINE,0.0,0.8,agree,disagree,agree,disagree,E_gold_vs_oracle,1,SHORT_WORDS_LONG_NEED
H003,"فلم کیسے ڈوبی",LONG,LONG,SHORT,0.0,0.1,0.0,0.4307,FULL,0.1,0.0,agree,agree,disagree,agree,C_gold_correct_retrieval_poor,1,SHORT_WORDS_LONG_NEED
H004,"سیلاب کا نقصان",LONG,LONG,SHORT,0.4,0.6,0.9558,0.9118,FULL,0.6,0.4,agree,agree,disagree,agree,OK_svm_matches_oracle,1,SHORT_WORDS_LONG_NEED
H005,"ٹیم ہار کا تجزیہ",LONG,SHORT,SHORT,0.5,0.1,0.7608,0.5,HEADLINE,0.5,0.5,disagree,agree,agree,disagree,E_gold_vs_oracle,0,SHORT_WORDS_LONG_NEED
H006,"مہنگائی کے اثرات",LONG,SHORT,SHORT,0.8,0.7,1.0,0.7811,HEADLINE,0.8,0.8,disagree,agree,agree,disagree,E_gold_vs_oracle,0,SHORT_WORDS_LONG_NEED
H007,"فلم فیل کی کہانی",LONG,SHORT,SHORT,0.0,0.0,0.0,0.0,TIE,0.0,0.0,disagree,tie,tie,tie,D_indexes_tied_p5,0,SHORT_WORDS_LONG_NEED
H008,"روپے گراوٹ کے نتائج",LONG,SHORT,SHORT,0.5,0.4,0.8577,1.0,HEADLINE,0.5,0.5,disagree,agree,agree,disagree,E_gold_vs_oracle,0,SHORT_WORDS_LONG_NEED
H009,"petrol kyun mehnga",LONG,LONG,SHORT,0.3,0.3,0.8529,0.6183,HEADLINE,0.3,0.3,agree,disagree,agree,disagree,E_gold_vs_oracle,1,SHORT_WORDS_LONG_NEED
H010,"shikast ki waja",LONG,LONG,SHORT,0.6,0.5,1.0,0.7025,HEADLINE,0.5,0.6,agree,disagree,agree,disagree,E_gold_vs_oracle,1,SHORT_WORDS_LONG_NEED
H011,"film kaise doobi",LONG,LONG,SHORT,0.0,0.0,0.0,0.0,TIE,0.0,0.0,agree,tie,tie,tie,C_gold_correct_retrieval_poor,1,SHORT_WORDS_LONG_NEED
H012,"flood ka nuksan",LONG,LONG,SHORT,0.4,0.5,0.9829,0.6903,FULL,0.5,0.4,agree,agree,disagree,agree,OK_svm_matches_oracle,1,SHORT_WORDS_LONG_NEED
H013,"team haar ka tajzia",LONG,SHORT,SHORT,0.1,0.1,1.0,0.6309,HEADLINE,0.1,0.1,disagree,agree,agree,disagree,E_gold_vs_oracle,0,SHORT_WORDS_LONG_NEED
H014,"mehngai ke asar",LONG,SHORT,SHORT,0.6,0.5,0.8154,1.0,HEADLINE,0.6,0.6,disagree,agree,agree,disagree,E_gold_vs_oracle,0,SHORT_WORDS_LONG_NEED
H015,"film fail ki kahani",LONG,SHORT,SHORT,0.0,0.0,0.0,0.0,TIE,0.0,0.0,disagree,tie,tie,tie,D_indexes_tied_p5,0,SHORT_WORDS_LONG_NEED
H016,"rupay girawut ke nataij",LONG,SHORT,SHORT,0.0,0.0,0.0,0.0,TIE,0.0,0.0,disagree,tie,tie,tie,D_indexes_tied_p5,0,SHORT_WORDS_LONG_NEED
H017,"آج لاہور کا درجہ حرارت کیا ہے",SHORT,SHORT,LONG,0.1,0.2,0.5,1.0,FULL,0.1,0.2,agree,disagree,agree,disagree,E_gold_vs_oracle,1,LONG_WORDS_SHORT_NEED
