query_id,split,query_text,language_type,query_category,source,creation_method,source_doc_id,article_category,word_count,char_len,protocol_label,protocol_route,wordcount_route,headline_p5,headline_ndcg5,headline_hit5,headline_rank,full_p5,full_ndcg5,full_hit5,full_rank,oracle_route,oracle_margin,oracle_primary_metric
QTRN_015,train,سر پر گیند لگنے سے پاکستانی کلب کرکٹر ہلاک کیسے ہوا,urdu,contextual,corpus_derived,how,29239,Sports,11,51,LONG,FULL,FULL,0.2,1.0,1,1,0.0,0.0,0,999,HEADLINE,1.0,ndcg@5_known_item
QTRN_172,train,تیسراٹیسٹ انگلینڈ کو سیریز جیتنے کے لیے وکٹیں,urdu,short,corpus_derived,title_short,52029,Sports,8,45,SHORT,HEADLINE,FULL,0.2,1.0,1,1,0.0,0.0,0,999,HEADLINE,1.0,ndcg@5_known_item
QTRN_045,train,کورونا وائرس امریکا میں Pakistan news update,mixed,ambiguous,corpus_derived,mixed_short,496,Business & Economics,7,44,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_018,train,عروہ فرحان کی شادی Pakistan news update,mixed,ambiguous,corpus_derived,mixed_short,12041,Entertainment,7,39,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.2,1.0,1,1,FULL,1.0,ndcg@5_known_item
QTRN_204,train,جارج کلونی اور جولیا رابرٹس کی منی مونسٹر کےفلم بین کیسے ہوا,urdu,contextual,corpus_derived,how,102848,Entertainment,12,60,LONG,FULL,FULL,0.2,0.3869,1,5,0.0,0.0,0,9,HEADLINE,0.3869,ndcg@5_known_item
QTRN_124,train,ali aur misha ke kis mein adakarh aft amr ne bayan rikard,roman_urdu,short,corpus_derived,title_roman,98276,Entertainment,12,57,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_178,train,rthr ki khlarion ko be rhm karkrdgi ki hdait,roman_urdu,short,corpus_derived,title_roman,37773,Sports,9,44,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_249,train,غیرملکی سرمایہ کاروں کو روپیہ اکانٹس رقم غیر ملکی کرنسی کیسے ہوا,urdu,contextual,corpus_derived,how,38468,Business & Economics,12,64,LONG,FULL,FULL,0.2,1.0,1,1,0.0,0.0,0,999,HEADLINE,1.0,ndcg@5_known_item
QTRN_176,train,کراچی پاکستان کرکٹ ٹیم کے کپتان سرفراز احمد کے نسلی تعصب پر مبنی ریمارکس,urdu,detailed,corpus_derived,lead,83239,Sports,14,72,LONG,FULL,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_047,train,shah rkh ab ktrinh kif ke sath romans krte nzr iin ge,roman_urdu,short,corpus_derived,title_roman,108716,Entertainment,12,53,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
