architecture_family,candidate_architecture,research_problem,closest_prior_work,year,venue,core_mechanism,Roman_Urdu_relevant,Urdu_relevant,cross_script_relevant,candidate_generation_relevant,overlap_with_ULTRA,novelty_gap,methodological_difference,likely_research_contribution,feasibility,IEEE_journal_relevance,rejection_reason,verdict
late_interaction,ColBERT_or_mColBERT_on_RU_news,Token-level MaxSim recovers CG misses global dense misses,ColBERT; ColBERT-X Translate-Distill; Jina-ColBERT-v2; mLateOn,2020-2025,SIGIR/NeuCLIR/MRL,Late interaction multi-vector retrieval,Apply,Yes,Yes,Yes,HIGH (absent from stack but mature elsewhere),Apply multilingual late interaction to RU ExactSource news,None beyond domain/training data,Systems/application paper,Feasible but heavy compute/index,LOW as novel method,Mature architecture family; domain transfer,DOMAIN TRANSFER
learned_sparse,SPLADE_style_learned_expansion,Learned sparse expansion bridges vocab/script mismatch,SPLADE; SPLADE++; Formal TOIS sparse neural IR,2021-2024,SIGIR/TOIS,MLM-based sparse term expansion+weighting,Apply,Partial,Partial,Yes,HIGH,Train SPLADE for Urdu/RU,None beyond language application,Application,Feasible with training data scarcity risk,LOW,Learned sparse is established first-stage class,DOMAIN TRANSFER
doc_side_expansion,Doc2Query_Roman_views_on_Urdu_docs,Generate Roman/English predicted queries on Urdu docs so RU queries match,Doc2Query; Doc2Query--; Doc2Query++ dual-index; multi-view dense docs,2019-2025,arXiv/ECIR/ACL lineage,Document expansion via query prediction,Apply,Yes,Yes,Yes,MEDIUM-HIGH (doc-side views absent; Phase9 is alias not QG),RU/EN Doc2Query on Urdu news,Combination of Doc2Query + script,Application/engineering,Corpus-scale generation costly; hallucination risk,LOW,Classic expansion architecture,DOMAIN TRANSFER
script_gap_neural,transliterate_train_e5_or_ColBERT,Fine-tune retriever on romanized queries vs native docs,Chari et al. Lost in Transliteration,2025,SIGIR,transliterate-train mixture,Direct analog,Yes if Urdu,Yes,Yes,HIGH,Apply Chari recipe to Urdu,None — direct transfer of 2025 method,Replication/extension,Needs large train pairs,LOW-MEDIUM,SIGIR 2025 already defines the architecture,DOMAIN TRANSFER
knowledge_grounded,WP_Wikidata_EL_bridges,External KB generates retrieval bridges for CG misses,Phase9; BLINK; GENRE; JRC-Names-Retrieval,2019-2025,EMNLP/LREC/ULTRA,Alias/EL candidate injection,Yes,Yes,Yes,Yes,TOTAL (Phase9+CG entity gate),None surviving novelty gate,N/A,Closed,N/A,N/A,Entity/KB CG novelty NO-GO; Phase9 weak on B-class,TOO CLOSE TO CLOSED DIRECTION
multi_retriever_fusion,BM25_Dense_NG3_ColBERT_SPLADE_RRF,Union more first-stages to raise 49/80 ceiling,Hybrid RRF; Phase8; multi-retriever IR practice,ongoing,standard IR,Score/rank fusion of known generators,Yes,Yes,Yes,Yes,TOTAL,Larger union without new mechanism,Combination only,Metric engineering,Easy,NONE,Explicitly forbidden combination novelty,COMBINATION ONLY
adaptive_failure_aware,taxonomy_router_to_specialist_CG,Route CG modules by detected failure type,Adaptive-RAG; C1; MoR,2024-2025,NAACL/EMNLP,Query-side routing among tools/retrievers,Yes,Yes,Partial,Indirect,HIGH,C1 showed detectability failure,Too close to closed C1,None,N/A,N/A,Closed direction + crowded agentic RAG,TOO CLOSE TO CLOSED DIRECTION
intermediate_meaning_bridge,RU_latent_then_Urdu_match,Explicit RU surface to latent meaning to Urdu expression pipeline,Multilingual dense e5; Butt transliteration 2025; CLIR translate-train,2020-2025,various,Transliteration and/or multilingual embedding space,Yes,Yes,Yes,Yes,HIGH,Renaming of existing dense+translit stack,No new intermediate formalism,None,N/A,LOW,Already embodied by Dense+translit literature,ALREADY SOLVED
multi_hop_reasoning_CG,LLM_intermediate_reasoning_then_retrieve,Derive bridges via interpretable multi-step reasoning,Adaptive-RAG; IRCoT; agentic RAG SoKs,2023-2026,NAACL/surveys,Chain-of-thought retrieval controllers,No,No,Partial,Yes,LOW,Generic agentic retrieval,Forbidden generic agentic,None,High compute,LOW,Crowded; not RU-specific mechanism,TOO GENERIC
title_body_multi_field,multi_field_late_interaction_news,Separate title/body/entity fields with fine-grained matching,Standard multi-field IR; ColBERT on fields; news IR practice,classic-2025,IR textbooks/SIGIR,Fielded retrieval + interaction,Apply,Yes,Partial,Yes,MEDIUM,Fielded ColBERT/BM25 on news,Engineering variant,Systems,Feasible,LOW,Not a new architecture family,COMBINATION ONLY
roman_urdu_specific_new_formalism,new_RU_architecture_claim,Claim new architecture because RU orthography unique,Butt 2025 RU IR; Gupta MSIR; Chari script gap,2014-2025,SIGIR/ACL workshops,Resource scarcity framing,Yes,Yes,Yes,Yes,HIGH,Low-resource claim as novelty,Forbidden by prior gates,None,N/A,NONE,Resource scarcity ≠ methodological novelty,TOO GENERIC
