query_id,rank,doc_id,A1_label,A2_label,query_text,headline,news_text_or_snippet
U001,5,31389,C,D,آج قومی اسمبلی کا اجلاس ہے کیا,ارکان اسمبلی قومی ٹیم کی ناقص کارکردگی پر برہم,اسلام باد وفاقی وزیر اور قومی اسمبلی کی کے رکن ریاض حسین پیرازادہ نے کمیٹی کے اجلاس میں انگلینڈ میں موجود قومی ٹیم کی ناقص بیٹنگ کارکردگی کو شدید تنقید کا نشانہ بنانے کے ساتھ ساتھ سرکاری اسپورٹس ٹی وی پر بھی ناراضی کا اظہار کیارکن قومی اسمبلی عبدالقاہر خان کی زیر صدارت قومی اسمبلی کی اسٹینڈنگ کمیٹی برائے بین الصوبائی رابطہ کمیٹی کے اجلاس کے دوران ریاض پیرزادہ نے قومی ٹیم کی انگلینڈ کے خلاف جاری ایک روزہ سیریز میں ناقص بیٹنگ کارکردگی کو تنقید کا نشانہ بناتے ہوئے کہا کہ اگر صفر پر ہی ہونا ہے تو م…
U002,2,86468,D,C,aaj pakistan ka cricket match kis se hai,اسپاٹ فکسنگ ٹریبونل میرا کیس بھی سنے دانش کنیریا,اسپاٹ فکسنگ کیس میں تاحیات پابندی کا سامنا کر نے والے لیگ اسپنر دانش کنیریا نے وزیر اعظم نواز شریف سے اپیل کی ہے کہ خالد لطیف اور شرجیل خان کے لیے بنائے گیا ٹریبونل میرا بھی کیس سنے پاکستان کرکٹ بورڈ کے اسپاٹ فکسنگ ٹریبونل میں میرا کیس ری اوپن کیا جائے میرے خلاف جو بھی ثبوت ہیں سامنے لایا جائیں بدھ کو کراچی میں میڈیا سے بات چیت کرتے ہوئے انہوں نے کہا کہ انگلش کرکٹ بورڈ نے میرے خلاف جانبدارانہ فیصلہ کیا جس میں انصاف کے تقاضے پورے نہیں کئے گئے میں پاکستانی کھلاڑی ہوں پی سی بی میرا موقف بھی سنے اس…
U002,5,56320,D,C,aaj pakistan ka cricket match kis se hai,اسپاٹ فکسنگ کیس پی سی بی انٹی کرپشن ٹریبونل کل باقاعدہ سماعت کریگا,پاکستان کرکٹ بورڈ کے انٹی کرپشن ٹریبونل اسپاٹ فکسنگ کیس کی سماعت کل کرے گا اسپاٹ فکسنگ کیس میں معطل شرجیل خان اور خالد لطیف کے خلاف پی سی بی ٹھوس شواہد اور ثبوت پیش کرے گا پاکستان سپر لیگ اسپاٹ فکسنگ کیس میں اینٹی کرپشن ٹربیونل کل باقاعدہ سماعت شروع کرے گا سماعت کے پہلے روز شرجیل خان اپنے وکلا کے ہمراہ پیش ہوں گے جبکہ پاکستان کرکٹ بورڈ معطل کرکٹر کا کٹھا چٹھا کھولے گا ذرائع کے مطابق پی سی بی اینٹی کرپشن ٹربیونل کو بکیز اور کھلاڑیوں کے درمیان ای میل اور ساتھ کھانا کھانے کی فوٹیجز اور میچ فکسنگ ک…
U003,1,71642,A,B,موجودہ وزیراعظم پاکستان کون ہیں,وفاقی کابینہ نے پی ئی اے کے تنظیم نو منصوبے کی منظوری دے دی,اسلام اباد وزیراعظم شاہد خاقان عباسی کی سربراہی میں ہونے والے وفاقی کابینہ کے اجلاس میں پاکستان انٹرنیشنل ایئرلائن پی ئی اے کے تنظیم نو منصوبے کی مںظوری دے دی گئیذرائع کا کہناہےکہ پی ئی اے کاخسارہ تیزی سے بڑھ رہا ہے جس کے بعد فیصلہ کیا گیا ہے کہ پی ئی اے کی مجوزہ نجکاری پلان کے تحت 49 فیصد حصص فروخت کے لئے پیش کئے جائیں گے جبکہ 51 فیصد حصص حکومت کے پاس رہیں گےپی ئی اے فروخت کرنےکا منصوبہ اگلے ہفتےکابینہ کمیٹی میں پیش کیےجانےکا امکان ہے دانیال عزیزوفاقی کابینہ نے کھلے سگریٹ کی فروخت پر بھی پابند…
U003,2,111770,A,D,موجودہ وزیراعظم پاکستان کون ہیں,سوزوکی موٹرز پاکستان میں 45 کروڑ ڈالر کی سرمایہ کاری کریگی اسد عمر,غیر ملکی سرمایہ کاری کے تناظر میں کا دن انتہائی زبردست رہا اسد عمر فوٹو فائل اسلام بادسوزوکی موٹرز نے پاکستان میں 45 کروڑ ڈالر کی سرمایہ کاری کا فیصلہ کیا ہے جب کہ کوکا کولا کمپنی ملک میں 20 کروڑ ڈالر کی سرمایہ کاری کرے گی سرکاری خبر رساں ادارے کے مطابق وزیراعظم عمران خان سے سوزوی موٹرز ارپوریشن ایک وفد نے منگل وزیراعظم سیرٹریٹ میں ملاقات وزیراعظم سے ملاقات رنے والے وفد میں سوزوی گلوبل چیئرمین اوسیمو سوزوی جی ساتو ماسافومی ہرانوں شی جیوتا یزاوا یوسوی اٹو اور شفیق اے شیخ شامل تھےجب کہپاستان میں …
U003,3,111148,A,B,موجودہ وزیراعظم پاکستان کون ہیں,عالمی بینک کا حکومت کی معاشی پالیسیوں پر اعتماد کا اظہار,مختلف منصوبوں میں پاکستان کے ساتھ مل کر کام کرنا چاہتے ہیں وفد عالمی بینک اسلام بادعالمی بینک نے حکومت پاکستان کی موجودہ معاشی پالیسیوں پر اعتماد کا اظہار کیا ہے ایکسپریس نیوزکے مطابق وزیراعظم عمران خان سے عالمی بینک کے اعلی سطحی وفد نے ملاقات کی جس میں امریکا میں ورلڈ بینک کے نمائندے اور پاکستانی ٹیم کے سربراہ سمیت دیگر حکام بھی شریک تھے ذرائع کے مطابق عالمی بینک کے وفد نے حکومت پاکستان کی موجودہ معاشی پالیسیوں پر اعتماد کا اظہار کیا اور وزیراعظم کو ملک میں جاری منصوبوں میں مالی معاونت کی یقین…
U003,5,64070,B,C,موجودہ وزیراعظم پاکستان کون ہیں,کاروباری طبقہ ہی تو مہنگائی کررہا ہے عبدالرزاق داد,کراچی 11 جنوری 2020 وزیراعظم عمران خان کے مشیر برائے صنعت تجارت عبدالرزاق داد نے کہا ہے کہ مہنگائی بڑا مسئلہ ہے مگریہ کرتا کون ہے کاروباری طبقہ ہی تو مہنگائی کررہا ہے کراچی میں تقریب سے خطاب میں عبدالرزاق داد کا کہنا تھا کہ پاکستانیوں کا عالمی وژن نہیں ہے لوگ کہتے ہیں سے فیصد ایکسپورٹ بڑھاکرپ نے کون سا تیر مار لیا ٹیکسٹائل 27 فیصد بڑھی ویلیو ایڈیشن بڑھی ہے مارکیٹ کی صورتحال بہتر ہوئی ہے اور پیداوار میں بھی اضافہ ہوا ہے انہوں نے کہا کہ پاکستان اسمال اینڈ میڈیم انٹرپرائزز ایس ایم ایز کے لیے ایف ب…
U004,2,71216,D,C,mojooda dollar rate pakistan mein kya hai,سعودی عرب نے مزید ایک ارب ڈالر پاکستان کو منتقل کردیے اسٹیٹ بینک,اسلام اباد سعودی عرب نے معاشی پیکج کے تحت پاکستان کو مزید ایک ارب ڈالر منتقل کردیےگزشتہ برس وزیراعظم عمران خان نے سعودی عرب کا دورہ کیا تھا جس میں سعودی عرب کی جانب سے پاکستان کے لیے 12 ارب کے معاشی پیکج کا اعلان کیا گیا تھا اور پیکج کے تحت ارب ڈالر پاکستان کے اکانٹ میں منتقل کیے جانے تھےسعودی عرب کی جانب سے ارب ڈالر کی پہلی قسط 19نومبر اور دوسری قسط 14 دسمبر کو منتقل کی گئیترجمان اسٹیٹ بینک کے مطابق سعودی عرب نے ارب ڈالر کی تیسری قسط کی صورت میں مزید ایک ارب ڈالر پاکستان کو منتقل کردیے ہیں جس …
U004,3,65033,D,C,mojooda dollar rate pakistan mein kya hai,پاکستان کو مزید ایک ارب ڈالر موصول,ابوظہبی 12 مارچ 2019 متحدہ عرب امارت یو اے ای سے قرض کی دوسری قسط کے ایک ارب ڈالر پاکستان کو موصول ہوگئے متحدہ عرب امارات کی جانب سے پاکستان کو ارب ڈالر فراہم کیے جانے ہیں جن میں سے دو ارب ڈالر موصول ہوچکے ہیں جبکہ مزید ایک ارب ڈالر ئندہ ماہ ملنے کا امکان ہے اس کے علاوہ چین سے بھی دو ارب ڈالر اگلے ہفتے ملنے کی توقع ہے یو اے ای سے ایک ارب ڈالر ملنے کے بعد پاکستان کے زر مبادلہ کے ذخائر 15 ارب 96 کروڑ ڈالر ہو گئے ہیں وزارت خزانہ کے مشیر ڈاکٹر خاقان نجیب نے متحدہ عرب امارات سے ایک ارب ڈالر وصول ہون…
U004,4,110135,D,C,mojooda dollar rate pakistan mein kya hai,پاکستان کو ایشیائی ترقیاتی بینک سے 50 کروڑ ڈالر قرض مل گیا,ایک ہفتے میں مرکزی بینک کے ذخائر میں 53 کروڑ 50 لاکھ ڈالر اضافہ ہوا فوٹو فائل کراچیپاکستان کو ایشیائی ترقیاتی بینک سے 50 کروڑ ڈالر کا قرض مل گیا ہے جس کے بعد ملکی زرمبادلہ کے مجموعی ذخائر کی مالیت 15 ارب 57 کروڑ 75 لاکھ ڈالر تک پہنچ گئی اسٹیٹ بینک کی جانب سے جاری بیان کے مطابق پاکستان کو ایشیائی ترقیاتی بینک سے 50 کروڑ ڈالر موصول ہوگئے اگست کو ہفتے کے اختتام پر زرمبادلہ کے سرکاری زخائر میں 53 کروڑ ڈالر کا اضافہ ریکارڈ کیا گیا جس کے بعد ملکی زرمبادلہ کے مجموعی ذخائر کی مالیت 15 ارب 57 کروڑ 75 لا…
