experiment_id,query_id,query_text,source_doc_id,detector_label,retrieval_path,rank,doc_id,bm25_score,n_hits_returned
phase12_new_unseen_evaluation,K001,کراچی کے قریب سمندر سے تیل گیس کے ذخائر,1508,URDU,urdu_bm25,1,1508,43.33885192871094,50
phase12_new_unseen_evaluation,K001,کراچی کے قریب سمندر سے تیل گیس کے ذخائر,1508,URDU,urdu_bm25,2,887,35.24553680419922,50
phase12_new_unseen_evaluation,K001,کراچی کے قریب سمندر سے تیل گیس کے ذخائر,1508,URDU,urdu_bm25,3,64780,32.753135681152344,50
phase12_new_unseen_evaluation,K001,کراچی کے قریب سمندر سے تیل گیس کے ذخائر,1508,URDU,urdu_bm25,4,111523,32.65975570678711,50
phase12_new_unseen_evaluation,K001,کراچی کے قریب سمندر سے تیل گیس کے ذخائر,1508,URDU,urdu_bm25,5,75360,31.017650604248047,50
phase12_new_unseen_evaluation,K001,کراچی کے قریب سمندر سے تیل گیس کے ذخائر,1508,URDU,urdu_bm25,6,111542,30.109834671020508,50
phase12_new_unseen_evaluation,K001,کراچی کے قریب سمندر سے تیل گیس کے ذخائر,1508,URDU,urdu_bm25,7,65246,29.23233413696289,50
phase12_new_unseen_evaluation,K001,کراچی کے قریب سمندر سے تیل گیس کے ذخائر,1508,URDU,urdu_bm25,8,958,28.782215118408203,50
phase12_new_unseen_evaluation,K001,کراچی کے قریب سمندر سے تیل گیس کے ذخائر,1508,URDU,urdu_bm25,9,111568,28.715816497802734,50
phase12_new_unseen_evaluation,K001,کراچی کے قریب سمندر سے تیل گیس کے ذخائر,1508,URDU,urdu_bm25,10,71238,28.493730545043945,50
phase12_new_unseen_evaluation,K001,کراچی کے قریب سمندر سے تیل گیس کے ذخائر,1508,URDU,urdu_bm25,11,64788,28.14708709716797,50
phase12_new_unseen_evaluation,K001,کراچی کے قریب سمندر سے تیل گیس کے ذخائر,1508,URDU,urdu_bm25,12,109662,28.080322265625,50
phase12_new_unseen_evaluation,K001,کراچی کے قریب سمندر سے تیل گیس کے ذخائر,1508,URDU,urdu_bm25,13,64512,27.7623291015625,50
phase12_new_unseen_evaluation,K001,کراچی کے قریب سمندر سے تیل گیس کے ذخائر,1508,URDU,urdu_bm25,14,70787,27.228076934814453,50
phase12_new_unseen_evaluation,K001,کراچی کے قریب سمندر سے تیل گیس کے ذخائر,1508,URDU,urdu_bm25,15,71472,26.929155349731445,50
phase12_new_unseen_evaluation,K001,کراچی کے قریب سمندر سے تیل گیس کے ذخائر,1508,URDU,urdu_bm25,16,71227,26.75390625,50
phase12_new_unseen_evaluation,K001,کراچی کے قریب سمندر سے تیل گیس کے ذخائر,1508,URDU,urdu_bm25,17,65759,26.143226623535156,50
phase12_new_unseen_evaluation,K001,کراچی کے قریب سمندر سے تیل گیس کے ذخائر,1508,URDU,urdu_bm25,18,2066,26.136940002441406,50
phase12_new_unseen_evaluation,K001,کراچی کے قریب سمندر سے تیل گیس کے ذخائر,1508,URDU,urdu_bm25,19,1529,25.723581314086914,50
phase12_new_unseen_evaluation,K001,کراچی کے قریب سمندر سے تیل گیس کے ذخائر,1508,URDU,urdu_bm25,20,1493,25.69318962097168,50
phase12_new_unseen_evaluation,K001,کراچی کے قریب سمندر سے تیل گیس کے ذخائر,1508,URDU,urdu_bm25,21,110092,25.6206111907959,50
phase12_new_unseen_evaluation,K001,کراچی کے قریب سمندر سے تیل گیس کے ذخائر,1508,URDU,urdu_bm25,22,65944,25.496797561645508,50
phase12_new_unseen_evaluation,K001,کراچی کے قریب سمندر سے تیل گیس کے ذخائر,1508,URDU,urdu_bm25,23,110761,25.486265182495117,50
phase12_new_unseen_evaluation,K001,کراچی کے قریب سمندر سے تیل گیس کے ذخائر,1508,URDU,urdu_bm25,24,110769,25.483171463012695,50
