query_id,doc_id,relevance_label,annotator,annotation_date,label_source
R051,28930,C,thesis_author_single,2026-09-05,new_m3e
R051,45571,C,thesis_author_single,2026-09-05,new_m3e
R051,54598,A,thesis_author_single,2026-09-05,new_m3e
R051,79509,D,thesis_author_single,2026-09-05,new_m3e
R051,82525,C,thesis_author_single,2026-09-05,new_m3e
R051,87382,C,thesis_author_single,2026-09-05,new_m3e
R051,88241,D,thesis_author_single,2026-09-05,new_m3e
R052,75,C,thesis_author_single,2026-09-05,new_m3e
R052,38964,A,thesis_author_single,2026-09-05,new_m3e
R052,62458,A,thesis_author_single,2026-09-05,new_m3e
R052,65861,A,thesis_author_single,2026-09-05,new_m3e
R052,71077,A,thesis_author_single,2026-09-05,new_m3e
R053,41109,C,thesis_author_single,2026-09-05,new_m3e
R053,63468,C,thesis_author_single,2026-09-05,new_m3e
R053,75050,C,thesis_author_single,2026-09-05,new_m3e
R053,75058,C,thesis_author_single,2026-09-05,new_m3e
R053,75533,C,thesis_author_single,2026-09-05,new_m3e
R053,76343,C,thesis_author_single,2026-09-05,new_m3e
R054,48092,D,thesis_author_single,2026-09-05,new_m3e
R054,74027,A,thesis_author_single,2026-09-05,new_m3e
R054,74658,C,thesis_author_single,2026-09-05,new_m3e
R054,76189,B,thesis_author_single,2026-09-05,new_m3e
R054,101547,D,thesis_author_single,2026-09-05,new_m3e
R054,109441,B,thesis_author_single,2026-09-05,new_m3e
R054,111342,C,thesis_author_single,2026-09-05,new_m3e
R055,26590,D,thesis_author_single,2026-09-05,new_m3e
R055,27102,D,thesis_author_single,2026-09-05,new_m3e
R056,43935,C,thesis_author_single,2026-09-05,new_m3e
R056,80972,C,thesis_author_single,2026-09-05,new_m3e
R056,81227,C,thesis_author_single,2026-09-05,new_m3e
R056,84596,B,thesis_author_single,2026-09-05,new_m3e
R057,42348,D,thesis_author_single,2026-09-05,new_m3e
R057,46461,D,thesis_author_single,2026-09-05,new_m3e
R057,58670,D,thesis_author_single,2026-09-05,new_m3e
R057,60204,D,thesis_author_single,2026-09-05,new_m3e
R058,20356,C,thesis_author_single,2026-09-05,new_m3e
R059,199,D,thesis_author_single,2026-09-05,new_m3e
R059,246,D,thesis_author_single,2026-09-05,new_m3e
R059,20637,D,thesis_author_single,2026-09-05,new_m3e
R059,60741,D,thesis_author_single,2026-09-05,new_m3e
R059,64789,D,thesis_author_single,2026-09-05,new_m3e
R059,76761,D,thesis_author_single,2026-09-05,new_m3e
R059,109494,D,thesis_author_single,2026-09-05,new_m3e
R059,110731,D,thesis_author_single,2026-09-05,new_m3e
R060,18837,D,thesis_author_single,2026-09-05,new_m3e
R060,30424,D,thesis_author_single,2026-09-05,new_m3e
