set,query_id,script,path,ki_bucket,nat_bucket,source_rank,hit5,success5,labels,n_labels,query_text
K,K001,URDU,urdu_bm25,HIT,,1,True,,,,
K,K002,URDU,urdu_bm25,RANK,,6,False,,,,
K,K003,URDU,urdu_bm25,HIT,,1,True,,,,
K,K004,ROMAN,roman_bm25_method_D,ABSENT,,not_in_top50,False,,,,
K,K005,ROMAN,roman_bm25_method_D,ABSENT,,not_in_top50,False,,,,
K,K006,ROMAN,roman_bm25_method_D,ABSENT,,not_in_top50,False,,,,
K,K007,ROMAN,roman_bm25_method_D,HIT,,4,True,,,,
K,K008,URDU,urdu_bm25,HIT,,1,True,,,,
K,K009,URDU,urdu_bm25,HIT,,4,True,,,,
K,K010,URDU,urdu_bm25,RANK,,49,False,,,,
K,K011,URDU,urdu_bm25,HIT,,1,True,,,,
K,K012,URDU,urdu_bm25,HIT,,1,True,,,,
K,K013,ROMAN,roman_bm25_method_D,ABSENT,,not_in_top50,False,,,,
K,K014,URDU,urdu_bm25,HIT,,1,True,,,,
K,K015,URDU,urdu_bm25,HIT,,1,True,,,,
K,K016,ROMAN,roman_bm25_method_D,ABSENT,,not_in_top50,False,,,,
K,K017,URDU,urdu_bm25,HIT,,2,True,,,,
K,K018,ROMAN,roman_bm25_method_D,ABSENT,,not_in_top50,False,,,,
K,K019,URDU,urdu_bm25,HIT,,1,True,,,,
K,K020,ROMAN,roman_bm25_method_D,ABSENT,,not_in_top50,False,,,,
K,K021,URDU,urdu_bm25,HIT,,2,True,,,,
K,K022,URDU,urdu_bm25,HIT,,1,True,,,,
K,K023,URDU,urdu_bm25,HIT,,1,True,,,,
K,K024,URDU,urdu_bm25,HIT,,1,True,,,,
K,K025,ROMAN,roman_bm25_method_D,ABSENT,,not_in_top50,False,,,,
K,K026,URDU,urdu_bm25,HIT,,1,True,,,,
K,K027,URDU,urdu_bm25,HIT,,2,True,,,,
K,K028,URDU,urdu_bm25,HIT,,1,True,,,,
K,K029,URDU,urdu_bm25,HIT,,1,True,,,,
K,K030,URDU,urdu_bm25,HIT,,1,True,,,,
K,K031,ROMAN,roman_bm25_method_D,RANK,,17,False,,,,
K,K032,URDU,urdu_bm25,HIT,,1,True,,,,
K,K033,ROMAN,roman_bm25_method_D,ABSENT,,not_in_top50,False,,,,
K,K034,URDU,urdu_bm25,HIT,,1,True,,,,
K,K035,URDU,urdu_bm25,HIT,,1,True,,,,
K,K036,URDU,urdu_bm25,HIT,,2,True,,,,
K,K037,ROMAN,roman_bm25_method_D,ABSENT,,not_in_top50,False,,,,
K,K038,URDU,urdu_bm25,HIT,,3,True,,,,
K,K039,URDU,urdu_bm25,HIT,,1,True,,,,
K,K040,URDU,urdu_bm25,HIT,,1,True,,,,
U,U001,URDU,urdu_bm25,,NAT_OK,,,True,ABBBC,,آج قومی اسمبلی کا اجلاس ہے کیا
U,U002,ROMAN,roman_bm25_method_D,,NAT_OK,,,True,ADDDD,,aaj pakistan ka cricket match kis se hai
U,U003,URDU,urdu_bm25,,NAT_OK,,,True,AAACB,,موجودہ وزیراعظم پاکستان کون ہیں
U,U004,ROMAN,roman_bm25_method_D,,NAT_FAIL_ALL_D,,,False,DDDDD,,mojooda dollar rate pakistan mein kya hai
U,U005,URDU,urdu_bm25,,NAT_OK,,,True,AAAAA,,سونے کی قیمت کتنی ہے
U,U006,ROMAN,roman_bm25_method_D,,NAT_FAIL_ALL_D,,,False,DDDDD,,psl points table
U,U007,URDU,urdu_bm25,,NAT_OK,,,True,DBCCC,,کراچی میں رات بجلی کٹے گی
U,U008,ROMAN,roman_bm25_method_D,,NAT_FAIL_ALL_D,,,False,DDDDD,,lahore se islamabad train ticket price
U,U009,URDU,urdu_bm25,,NAT_OK,,,True,CBCCB,,عالمی کپ کرکٹ شیڈول پاکستان
U,U010,ROMAN,roman_bm25_method_D,,NAT_FAIL_ALL_D,,,False,DDDDD,,netflix pakistan subscription charges
U,U011,URDU,urdu_bm25,,NAT_OK,,,True,AAAAA,,وفاقی بجٹ کب پیش ہوگا
U,U012,ROMAN,roman_bm25_method_D,,NAT_OK,,,True,ADDCA,,karachi stock market closing
U,U013,URDU,urdu_bm25,,NAT_OK,,,True,AAAAA,,چاند گرہن کب لگے گا
U,U014,ROMAN,roman_bm25_method_D,,NAT_FAIL_ALL_D,,,False,DDDDD,,5G kab aye ga pakistan
U,U015,URDU,urdu_bm25,,NAT_OK,,,True,CCBDB,,پاکستان میں مہنگائی کیوں بڑھ رہی ہے
U,U016,ROMAN,roman_bm25_method_D,,NAT_FAIL_ALL_D,,,False,DDDDD,,pakistan mein berozgari kyun barh rahi hai
U,U017,URDU,urdu_bm25,,NAT_OK,,,True,BCBCD,,پاکستان کی کرکٹ ٹیم عالمی مقابلوں میں بار بار خراب کارکردگی کیوں دکھاتی ہے
U,U018,ROMAN,roman_bm25_method_D,,NAT_FAIL_NO_AB,,,False,CCCDD,,pakistan mein har saal flood ke baad faslon ka nuqsan itna zyada kyun hota hai
U,U019,URDU,urdu_bm25,,NAT_OK,,,True,BAABA,,سوشل میڈیا کے غلط استعمال سے نوجوانوں کی ذہنی صحت پر کیا فرق پڑتا ہے
U,U020,ROMAN,roman_bm25_method_D,,NAT_FAIL_ALL_D,,,False,DDDDD,,mobile apps phone ki battery kyun jaldi khatam karti hain aur iska hall kya hai
U,U021,URDU,urdu_bm25,,NAT_OK,,,True,CCCBC,,پاکستان کی یونیورسٹیوں میں سائنس کی تحقیق دوسرے ممالک سے کیوں پیچھے رہ گئی ہے
U,U022,ROMAN,roman_bm25_method_D,,NAT_OK,,,True,DCCBB,,internet speed pakistan mein slow kyun rehti hai aur isko kaise behtar kiya ja sakta hai
U,U023,URDU,urdu_bm25,,NAT_OK,,,True,BDBDD,,فلم انڈسٹری پاکستان میں کیوں ترقی نہیں کر پا رہی اور اس کی کیا وجہ ہے
U,U024,ROMAN,roman_bm25_method_D,,NAT_OK,,,True,DBCCC,,drama industry mein original stories kam kyun banti hain aur audience kya chahti hai
U,U025,URDU,urdu_bm25,,NAT_OK,,,True,CCBCC,,کراچی میں روزانہ ٹریفک جام کم کرنے کے لیے کیا اقدامات کیے جا سکتے ہیں
U,U026,ROMAN,roman_bm25_method_D,,NAT_FAIL_ALL_D,,,False,DDDDD,,larkion ki higher education ke liye ghar walon ka support kyun zaroori hota hai
U,U027,URDU,urdu_bm25,,NAT_OK,,,True,BBBBC,,بجلی کے بحران کی وجہ سے چھوٹی صنعتوں کو کیا نقصان ہو رہا ہے
U,U028,ROMAN,roman_bm25_method_D,,NAT_FAIL_ALL_D,,,False,DDDDD,,foreign students pakistan ke universities mein admission kyun kam lete hain aur iski wajah kya hai
U,U029,URDU,urdu_bm25,,NAT_OK,,,True,AAAAA,,محمد رضوان
U,U030,ROMAN,roman_bm25_method_D,,NAT_OK,,,True,AAAAA,,virat kohli
U,U031,URDU,urdu_bm25,,NAT_OK,,,True,ACCAA,,شاہ رخ خان نئی فلم
U,U032,ROMAN,roman_bm25_method_D,,NAT_FAIL_ALL_D,,,False,DDDDD,,mahira khan ka naya drama kab aa raha hai
U,U033,URDU,urdu_bm25,,NAT_OK,,,True,ABDDC,,عمران خان کے تازہ سیاسی بیانات
U,U034,ROMAN,roman_bm25_method_D,,NAT_FAIL_ALL_D,,,False,DDDDD,,wasim akram ki commentary kab start hogi
U,U035,URDU,urdu_bm25,,NAT_FAIL_NO_AB,,,False,CCCCD,,نادیہ خان کے شو میں کون آیا
U,U036,ROMAN,roman_bm25_method_D,,NAT_OK,,,True,CBADA,,nasa mars mission kab launch hoga
U,U037,MIXED,urdu_bm25,,NAT_FAIL_ALL_C,,,False,CCCCC,,بابر اعظم کی PSL میں کارکردگی کیسی رہی
U,U038,MIXED,urdu_bm25,,NAT_FAIL_ALL_C,,,False,CCCCC,,نرگس فخری کی Hollywood فلم کون سی ہے
U,U039,MIXED,urdu_bm25,,NAT_FAIL_ALL_C,,,False,CCCCC,,حریم شاہ کی YouTube ویڈیو کہاں دیکھی جائے
U,U040,MIXED,urdu_bm25,,NAT_FAIL_ALL_D,,,False,DDDDD,,قائد اعظم University میں داخلے کب شروع ہیں
R-KI,R001,URDU,urdu_bm25,RANK,,9,False,,,,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی
R-KI,R002,URDU,urdu_bm25,HIT,,1,True,,,,مارشل آرٹ کی تربیت میں حملہ کرنے والا روبوٹ
R-KI,R003,URDU,urdu_bm25,ABSENT,,,False,,,,سافٹ ویئر کیریئر کے لیے کون سی کوڈنگ زبانیں سیکھنی چاہئیں
R-KI,R004,URDU,urdu_bm25,RANK,,27,False,,,,اسٹیٹ بینک کے ذخائر میں ہفتے کے دوران کتنی کمی ہوئی
R-KI,R005,URDU,urdu_bm25,ABSENT,,,False,,,,بالی ووڈ اداکارہ کا پاکستانی فنکاروں کے کام پر کیا کہنا تھا
R-KI,R006,MIXED,urdu_bm25,HIT,,1,True,,,,پریمیئر لیگ میں سٹی نے بورنemouth کو کتنے گولوں سے ہرایا
R-KI,R007,URDU,urdu_bm25,HIT,,1,True,,,,جدید گیجٹس کی وجہ سے وقت تیزی سے گزرنے کا احساس کیوں
R-KI,R008,URDU,urdu_bm25,HIT,,1,True,,,,ایک عام گوگل تلاش سے ٹرمپ خاندان کی مالی تاریخ سامنے کیسے آئی
R-KI,R009,URDU,urdu_bm25,HIT,,2,True,,,,سیالکوٹ ایئرپورٹ پر بین الاقوامی فلائٹس کا اعتماد کیوں بڑھ رہا ہے
R-KI,R010,URDU,urdu_bm25,HIT,,1,True,,,,پنجاب کے سی این جی اسٹیشن مالکان ایل این جی درآمد کے لیے کیا کر رہے ہیں
R-KI,R011,MIXED,urdu_bm25,RANK,,25,False,,,,رجنی کانت والی فلم نے ریلیز سے پہلے کتna کاروبار کیا
R-KI,R012,MIXED,urdu_bm25,HIT,,1,True,,,,عید پر مٹھائی کی جگہ لوگ ab کya تحفہ dena pasand karte hain
R-KI,R013,URDU,urdu_bm25,HIT,,1,True,,,,ہاکی ورلڈ کپ کا فائنل کن دو ٹیموں کے درمیان ہے
R-KI,R014,URDU,urdu_bm25,HIT,,5,True,,,,پی سی بی قائم مقام چیئرمین کے لیے کن ناموں پر غور ہے
R-KI,R015,URDU,urdu_bm25,HIT,,1,True,,,,صوبوں نے وفاق کو ترقیاتی فنڈز کیوں واپس کیے
R-KI,R016,MIXED,urdu_bm25,ABSENT,,,False,,,,سام سنگ اپنے نئے فلیگ شپ فون کی رونمائی کب San Francisco میں کرے گا
R-KI,R017,URDU,urdu_bm25,HIT,,1,True,,,,عراق نے طلبہ کی نقل روکنے کے لیے امتحانات کے دوران کیا بند کیا
R-KI,R018,URDU,urdu_bm25,RANK,,14,False,,,,کراچی میں پاک فوج کے نام پر سائیکل ریس کا مقصد کیا تھا
R-KI,R019,MIXED,urdu_bm25,HIT,,1,True,,,,اپریل 2019 میں کراچی اسٹاک مارکیٹ کتne پوائنٹس نیچے بند ہوئی
R-KI,R020,URDU,urdu_bm25,HIT,,1,True,,,,قائداعظم ون ڈے کپ کے دوسرے سیمی فائنل میں کس بینک نے جیت حاصل کی
R-KI,R021,MIXED,urdu_bm25,ABSENT,,,False,,,,کے الیکٹرک صارفین کے لیے بجلی یونٹ کتna مہnga hua manzoor
R-KI,R022,MIXED,urdu_bm25,ABSENT,,,False,,,,ملک میں سونے ki فی تولہ qeemat mein kitna izafa hua
R-KI,R023,MIXED,urdu_bm25,HIT,,4,True,,,,فواد چوہدری ne pehla science fair kab aur kahan karne ka elaan kiya
R-KI,R024,MIXED,urdu_bm25,RANK,,39,False,,,,گوگل کی خودکار udan taxi ne New Zealand mein pehli test parwaz kab ki
R-KI,R025,MIXED,urdu_bm25,ABSENT,,,False,,,,تیسرے ون ڈے میں ویسٹ انڈیز ne Pakistan ko jeet ke liye kitna target diya
R-KI,R026,MIXED,urdu_bm25,HIT,,1,True,,,,اقصی علی ne Meesha Shafi aur Ali Zafar jhagra par kya inkshaaf kiya
