query_id,query,script,word_count,trap_type,category,gold_label_A,gold_label_B,notes
T001,ٹیم کیوں ہاری,urdu,3,SHORT_WORDS_LONG_NEED,Sports,LONG,LONG,
T002,ڈالر کیوں گرا,urdu,3,SHORT_WORDS_LONG_NEED,Business & Economics,LONG,LONG,
T003,مہنگائی کیوں بڑھی,urdu,3,SHORT_WORDS_LONG_NEED,Business & Economics,LONG,LONG,
T004,فلم کیوں فلاپ ہوئی,urdu,4,SHORT_WORDS_LONG_NEED,Entertainment,LONG,LONG,
T005,زلزلے سے کتنا نقصان ہوا,urdu,5,SHORT_WORDS_LONG_NEED,Science & Technology,LONG,LONG,
T006,میچ کیسے ہارا,urdu,3,SHORT_WORDS_LONG_NEED,Sports,LONG,LONG,
T007,حکومت مہنگائی کیوں نہیں روکتی,urdu,5,SHORT_WORDS_LONG_NEED,Business & Economics,LONG,LONG,
T008,ڈرامہ کیوں بند ہوا,urdu,4,SHORT_WORDS_LONG_NEED,Entertainment,LONG,LONG,
T009,team kyun haari,roman,3,SHORT_WORDS_LONG_NEED,Sports,LONG,LONG,
T010,dollar kyun gira,roman,3,SHORT_WORDS_LONG_NEED,Business & Economics,LONG,LONG,
T011,mehngai kyun barhi,roman,3,SHORT_WORDS_LONG_NEED,Business & Economics,LONG,LONG,
T012,film kyun flop hui,roman,4,SHORT_WORDS_LONG_NEED,Entertainment,LONG,LONG,
T013,zalzale se kitna nuksan hua,roman,5,SHORT_WORDS_LONG_NEED,Science & Technology,LONG,LONG,
T014,match kaise haara,roman,3,SHORT_WORDS_LONG_NEED,Sports,LONG,LONG,
T015,hukumat mehngai kyun nahi rokti,roman,5,SHORT_WORDS_LONG_NEED,Business & Economics,LONG,LONG,
T016,drama kyun band hua,roman,4,SHORT_WORDS_LONG_NEED,Entertainment,LONG,LONG,
T017,آج پاکستان کا اسکور کیا ہے,urdu,6,LONG_WORDS_SHORT_NEED,Sports,SHORT,SHORT,
T018,آج ڈالر کا ریٹ کیا ہے,urdu,6,LONG_WORDS_SHORT_NEED,Business & Economics,SHORT,SHORT,
T019,کل کراچی میں دھوپ ہوگی کیا,urdu,6,LONG_WORDS_SHORT_NEED,Science & Technology,SHORT,SHORT,
T020,نئے بجٹ میں تعلیم کے لیے کتنی رقم رکھی,urdu,9,LONG_WORDS_SHORT_NEED,Business & Economics,SHORT,SHORT,
T021,پی ایس ایل کا فائنل کب ہے,urdu,7,LONG_WORDS_SHORT_NEED,Sports,SHORT,SHORT,
T022,سونے کی قیمت آج کتنی ہے,urdu,6,LONG_WORDS_SHORT_NEED,Business & Economics,SHORT,SHORT,
T023,نیا فون کب لانچ ہوگا پاکستان,urdu,6,LONG_WORDS_SHORT_NEED,Science & Technology,SHORT,SHORT,
T024,نئے ڈرامے کا ٹریلر کب آیا,urdu,6,LONG_WORDS_SHORT_NEED,Entertainment,SHORT,SHORT,
T025,aaj match ka score kya hai,roman,6,LONG_WORDS_SHORT_NEED,Sports,SHORT,SHORT,
T026,aaj dollar ka rate kya hai,roman,6,LONG_WORDS_SHORT_NEED,Business & Economics,SHORT,SHORT,
T027,kal karachi mein dhup hogi kya,roman,6,LONG_WORDS_SHORT_NEED,Science & Technology,SHORT,SHORT,
T028,education budget mein kitni raqam rakhi gayi,roman,7,LONG_WORDS_SHORT_NEED,Business & Economics,SHORT,SHORT,
T029,PSL ka final kab khela jayega,roman,6,LONG_WORDS_SHORT_NEED,Sports,SHORT,SHORT,
T030,sone ki qeemat aaj kitni hai,roman,6,LONG_WORDS_SHORT_NEED,Business & Economics,SHORT,SHORT,
T031,naya phone kab launch hoga pakistan,roman,6,LONG_WORDS_SHORT_NEED,Science & Technology,SHORT,SHORT,
T032,naye drama ka trailer kab aaya,roman,6,LONG_WORDS_SHORT_NEED,Entertainment,SHORT,SHORT,
T033,کرکٹ میچ,urdu,2,CONTROL_EASY_SHORT,Sports,SHORT,SHORT,
T034,ڈالر ریٹ,urdu,2,CONTROL_EASY_SHORT,Business & Economics,SHORT,SHORT,
T035,cricket score,roman,2,CONTROL_EASY_SHORT,Sports,SHORT,SHORT,
T036,dollar rate,roman,2,CONTROL_EASY_SHORT,Business & Economics,SHORT,SHORT,
T037,پاکستان میں بڑھتی ہوئی مہنگائی اور روزگار کے مسائل پر حکومتی اقدامات کا جائزہ,urdu,14,CONTROL_EASY_LONG,Business & Economics,LONG,LONG,
T038,کرکٹ ورلڈ کپ میں پاکستان ٹیم کی کارکردگی اور آئندہ میچز کا شیڈول کیا ہے,urdu,15,CONTROL_EASY_LONG,Sports,LONG,LONG,
T039,pakistan mein barhti hui mehngai aur rozgar ke masail par hukumat ke iqdamat ka jaiza,roman,15,CONTROL_EASY_LONG,Business & Economics,LONG,LONG,
T040,cricket world cup mein pakistan team ki performance aur agle matches ka schedule kya hai,roman,15,CONTROL_EASY_LONG,Sports,LONG,LONG,
