query_id,split,script,source_doc_id,query_text,query_tokens,n_en_hits,spans,en_titles,ur_titles,expanded_tokens,n_expansion_tokens,bm25_rank,dense_rank,ng3_rank,hybrid_rank,p9_rank,bm25_hit@1,bm25_hit@5,bm25_hit@10,bm25_hit@50,dense_hit@50,ng3_hit@50,hybrid_hit@50,p9_hit@1,p9_hit@5,p9_hit@10,p9_hit@50,bm25_rr,p9_rr,quad23,p9_recovered_quad23,room_cat1,focus_check
KN001,train,ROMAN,92506,malaysia air race world championship third round kab shuru hua,malaysia air race world championship third round kab shuru hua,0,,,,malaysia air race world championship third round kab shuru hua,0,,16,,32,,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0,1,0
KN002,train,ROMAN,90691,zim t20 mein hosts ko chase ke liye kitna target mila,zim t20 mein hosts ko chase ke liye kitna target mila,0,,,,zim t20 mein hosts ko chase ke liye kitna target mila,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0
KN004,train,ROMAN,14991,desi ghee sehat ke liye faida mand hai ya nuqsan deh,desi ghee sehat ke liye faida mand hai ya nuqsan deh,0,,,,desi ghee sehat ke liye faida mand hai ya nuqsan deh,0,1,107,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1.0,1.0,0,0,0,0
KN005,train,ROMAN,64084,iran amreeka tension ke baad local equities opening par kyun rebound hua,iran amreeka tension ke baad local equities opening par kyun rebound hua,0,,,,iran amreeka tension ke baad local equities opening par kyun rebound hua,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0
KN006,train,ROMAN,29860,kolkata ne delhi ko ipl thriller mein kis margin se haraaya,kolkata ne delhi ko ipl thriller mein kis margin se haraaya,1,ipl,Indian Premier League,انڈین پریمیئر لیگ | آئي پي ايل | آئی پی ایل | اۤئي پي ايل,kolkata ne delhi ko ipl thriller mein kis margin se haraaya andin primiir lig aai p al aaii pi ail ai p al,12,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,1,1
KN008,train,ROMAN,47197,teen tennis sensation ne kaunsa canadian hardcourt title jeeta,teen tennis sensation ne kaunsa canadian hardcourt title jeeta,0,,,,teen tennis sensation ne kaunsa canadian hardcourt title jeeta,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,1,0
KN010,train,ROMAN,1674,benami accounts walo ke khilaf revenue board ne kya saza tajweez ki,benami accounts walo ke khilaf revenue board ne kya saza tajweez ki,0,,,,benami accounts walo ke khilaf revenue board ne kya saza tajweez ki,0,,466,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,1,0
KN011,train,ROMAN,60226,france ki hydrogen solar wind powered boat ka naam kya hai,france ki hydrogen solar wind powered boat ka naam kya hai,0,,,,france ki hydrogen solar wind powered boat ka naam kya hai,0,,1,,2,,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0,1,0
KN012,train,ROMAN,13580,comedy nights wali dadi wapas kyun nahi ban na chahte,comedy nights wali dadi wapas kyun nahi ban na chahte,0,,,,comedy nights wali dadi wapas kyun nahi ban na chahte,0,5,59,,10,5,0,1,1,1,0,0,1,0,1,1,1,0.2,0.2,0,0,0,0
KN013,train,ROMAN,82652,world cup mein pakistan india fixture ke tickets black mein kyun bik rahe,world cup mein pakistan india fixture ke tickets black mein kyun bik rahe,0,,,,world cup mein pakistan india fixture ke tickets black mein kyun bik rahe,0,,4,,8,,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0,0,0
KN014,train,ROMAN,79754,mobile slow charge hone ki user side ghalti kya ho sakti hai,mobile slow charge hone ki user side ghalti kya ho sakti hai,1,ghalti,Ghalti,غلطی 2016ء (اے پلس ٹی وی) | غلطي 2016ء (اے پلس ٹي وي),mobile slow charge hone ki user side ghalti kya ho sakti hai ghlti 2016 ae pls ti oi ghlt 2016 ae pls t o,12,44,16,,3,,0,0,0,1,1,0,1,0,0,0,0,0.022727,0.0,0,0,0,0
KN015,train,ROMAN,22450,viral maths puzzle ne internet users ko kyun confuse kiya,viral maths puzzle ne internet users ko kyun confuse kiya,0,,,,viral maths puzzle ne internet users ko kyun confuse kiya,0,,9,,18,,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0,0,0
KN016,train,ROMAN,100673,priyanka ke african kids se hair compliment exchange kis tour par hua,priyanka ke african kids se hair compliment exchange kis tour par hua,0,,,,priyanka ke african kids se hair compliment exchange kis tour par hua,0,,1,,1,,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0,0,0
