token,freq_train
ki,27
mein,26
ke,22
se,15
ka,13
ko,11
aur,7
ne,7
pakistan,7
par,7
nahi,5
karkrdgi,4
jeet,4
krne,4
khlarion,3
shah,3
ge,3
de,3
cricket,3
economy,3
bad,3
kilie,3
hai,3
qomi,3
bhi,3
jari,3
ali,2
adakarh,2
rkh,2
ab,2
mrad,2
pakstani,2
ti,2
20,2
chori,2
shaib,2
kar,2
tiks,2
lie,2
biti,2
salgrh,2
bank,2
arb,2
dollar,2
ga,2
dish,2
marof,2
hsin,2
aalmi,2
market,2
ahmd,2
mhmd,2
fonz,2
fridi,2
match,2
moqa,2
film,2
lahore,2
fistiol,2
kam,2
zindagi,2
kmi,2
aalan,2
taitl,2
liya,2
chin,2
li,2
sri,2
trin,2
io,2
ae,2
ai,2
salanh,2
niozi,2
lind,2
kal,2
pak,2
bl,2
on,2
misha,1
kis,1
aft,1
amr,1
bayan,1
rikard,1
rthr,1
be,1
rhm,1
hdait,1
ktrinh,1
kif,1
sath,1
romans,1
krte,1
nzr,1
iin,1
rza,1
fnkaron,1
prstar,1
chiirmin,1
pi,1
si,1
bi,1
qzafi,1
astidim,1
nie,1
anklozhr,1
afttah,1
dosra,1
oist,1
andiz,1
kikhlaf,1
tas,1
kr,1
batting,1
aotar,1
dairiktr,1
skrpt,1
alzam,1
akhtr,1
sltan,1
rawalpindi,1
aikspris,1
bnane,1
khoahsh,1
snat,1
jali,1
akants,1
astamal,1
lge,1
aishoria,1
bita,1
katn,1
kindi,1
dikh,1
aishiaii,1
trqiati,1
10,1
amdad,1
aslam,1
abad,1
ionaiitd,1
oabsth,1
jnobi,1
afriqa,1
pisr,1
dil,1
astin,1
aidilid,1
tist,1
diod,1
oarnr,1
lboshan,1
snchriz,1
294,1
rnz,1
shrakt,1
oomnz,1
team,1
fainl,1
aj,1
bngla,1
mdmqabl,1
ho,1
aroh,1
glokar,1
frhan,1
said,1
rshth,1
azdoaj,1
bndh,1
atarchrhao,1
dhchke,1
lg,1
skte,1
hain,1
stak,1
mndi,1
ghre,1
badl,1
chhagie,1
orld,1
kp,1
aajaz,1
aamr,1
hoale,1
khdshat,1
shiami,1
sste,1
pish,1
sains,1
fkshn,1
hali,1
ood,1
mooi,1
saiiko,1
gormin,1
aik,1
nojoan,1
dine,1
shhrh,1
afaq,1
shale,1
riliz,1
43,1
sal,1
important,1
raz,1
sonakshi,1
sif,1
kolkth,1
blt,1
raja,1
sho,1
tng,1
msrof,1
mki,1
arthrroze,1
skht,1
trinng,1
mtasr,1
batoni,1
robot,1
khla,1
jane,1
tiar,1
shaar,1
fraz,1
hm,1
bchhre,1
brs,1
bit,1
gie,1
rozh,1
miozk,1
ghaz,1
kuch,1
raton,1
nind,1
krskti,1
borha,1
triqon,1
asmart,1
bitri,1
brhaiin,1
aid,1
din,1
riloe,1
kraion,1
40,1
fisd,1
jokooch,1
chhta,1
strilin,1
aopn,1
na,1
snsnati,1
mastrz,1
tins,1
ti20,1
mulk,1
nawaz,1
karachi,1
mntkhb,1
bhtr,1
mqablh,1
krin,1
thri,1
di,1
ainimitd,1
kamidi,1
flmdi,1
nt,1
jabka,1
naya,1
trilr,1
antr,1
94,1
rope,1
98,1
pise,1
blnd,1
sth,1
astak,1
100andiks,1
49,1
hzar,1
hd,1
abor,1
krgia,1
donki,1
kng,1
joani,1
phir,1
ni,1
saodi,1
rqom,1
mntqli,1
amrikh,1
miga,1
kon,1
akhttam,1
pzir,1
sjad,1
mnaia,1
laiio,1
jshn,1
khlaf,1
koii,1
karroaii,1
horhi,1
shhriar,1
haki,1
loss,1
pnjab,1
bhr,1
ioniorsl,1
nmbr,1
fislh,1
nis,1
karniol,1
tiarian,1
zor,1
oshor,1
ohid,1
iad,1
nmk,1
zriae,1
msnoai,1
barish,1
bhart,1
foji,1
dste,1
tainat,1
aqtsadi,1
form,1
srmaih,1
qrib,1
aie,1
ahsn,1
aqbal,1
orldkp,1
2015,1
lnka,1
332,1
oaii,1
faii,1
sirf,1
internet,1
hi,1
chlaie,1
sikiorti,1
riil,1
astit,1
ankm,1
trmimi,1
asmbli,1
mnzor,1
flmon,1
news,1
schn,1
pareshan,1
kiya,1
rnbir,1
slman,1
jgh,1
le,1
slamti,1
mlki,1
ghra,1
talq,1
rmi,1
chif,1
haris,1
shil,1
bitsmin,1
amam,1
alhq,1
drap,1
asno,1
bord,1
kras,1
orldkpaspin,1
amroizntain,1
sab,1
brtri,1
bnglh,1
fis,1
bk,1
misjng,1
aips,1
pabndi,1
brqrar,1
brtanih,1
jon,1
doran,1
birozgari,1
shrh,1
azhr,1
bhtrin,1
prazm,1
mkh,1
mkrmh,1
aslami,1
binkari,1
kanfrns,1
sraha,1
jata,1
sit,1
prhadsh,1
afsosnak,1
oaqah,1
shadi,1
krinh,1
trjihat,1
bdl,1
giin,1
