experiment_id,query_id,query_text,detector_label,retrieval_path,rank,doc_id,bm25_score,headline,news_text_or_snippet,n_hits_returned,relevance_label,query_asks_today
phase10b_frozen_dump,H001,پیٹرول کیوں مہنگا,URDU,urdu_bm25,1,77997,18.600357055664062,پیٹرول سستا ڈیزل مہنگا کرنے کی سمری وزارت پیٹرولیم کے حوالے,اسلام باد پیٹرول سستا ڈیزل مہنگا کرنے کی تجویز کی سمری وزارت پیٹرولیم کے حوالے کردی گئی اوگرا اور تیل کمپنیوں نے ئندہ ہفتے سے ملک میں پیٹرولیم قیمتوں میں ردوبدل کی سمری وزارت پیٹرولیم کو بھجوادی ہے اس میں پیٹرول سستا اور ڈیزل مہنگا کرنے کی تجویز دی گئی ہے ذرائع نے جیونیوز کو بتایا ہے کہ سمری میں پیٹرول فی لیٹر روپیہ پیسہ سستا اور ڈیزل روپیہ 16 پیسے مہنگا کرنے کی تجویز دی گئی ہے سمری میں مٹی کا تیل روپیہ 92 پیسے اور لائٹ ڈیزل روپیہ 23 پیسے فی لیٹر مہنگا کرنے کی تجویز دی گئی ہے پیٹرول سستا ہونے س…,50,C,0
phase10b_frozen_dump,H001,پیٹرول کیوں مہنگا,URDU,urdu_bm25,2,77073,18.078067779541016,سے پیٹرول218 روپے مہنگا ڈیزل 146روپے فی لیٹر سستا,اسلام بادج سے اوگرا نے پیٹرول 2روپے18پیسے مہنگا جبکہ ڈیزل ایک روپے 46پیسے فی لیٹر کر دیا ہے پیٹرولیم مصنوعات کی قیمتوں میں ردوبدل کا نوٹیفکیشن جاری ہوگیا جاری کردہ نوٹیفکیشن کے مطابق نئی قیمتوں کا اطلاق سے شروع ہوگیا ہے جس کے تحت پیٹرول مہنگا جبکہ ڈیزل کو سستا کردیا گیا ہے,50,C,0
phase10b_frozen_dump,H001,پیٹرول کیوں مہنگا,URDU,urdu_bm25,3,71574,17.808759689331055,پیٹرول ایک روپیہ 70 پیسے مہنگا ہو گیا,اسلام باد حکومت نے ائل اینڈ گیس ریگولیٹری اتھارٹی اوگرا کی پیٹرول روپے 22 پیسے فی لیٹر مہنگا کرنے کی تجویز مسترد کرتے ہوئے فی لیٹر پیٹرول کی قیمت میں ایک روپیہ 70 پیسے اضافہ کردیاوزارت خزانہ کی جانب سے جاری نوٹیفکیشن کے مطابقپیٹرول کی نئی قیمت 87 روپے 70 پیسے فی لیٹر مقرر کی گئی ہےڈیزل روپے 31 پیسے فی لیٹر مہنگا ہونے کے بعدڈیزل کی نئی قیمت 98 روپے 76 پیسے فی لیٹر تک پہنچ گئی ہےمٹی کے تیل کی قیمت میں روپے 41 پیسے فی لیٹر اضافہ کیا گیا ہے جس کے بعد اس کی نئی قیمت 79 روپے 87 پیسے فی لیٹر ہوگئی ہےل…,50,C,0
phase10b_frozen_dump,H001,پیٹرول کیوں مہنگا,URDU,urdu_bm25,4,77562,17.47979736328125,قیمتوں میں رد بدل پیٹرول اور مٹی کا تیل مہنگا ڈیزل سستا ہونیکا امکان,اسلام باد پیٹرول اور مٹی کا تیل مہنگا جبکہ ڈیزل سستا ہونے کا امکان ہے ذرائع کا کہنا ہے کہ پیٹرول کی قیمت میں ایک روپیہ پیسے مٹی کا تیل 85 پیسے لائٹ ڈیزل 62 پیسے اور ہائی اوکٹین ڈھائی روپے فی لیٹر مہنگا ہو سکتا ہے ڈیزل کی قیمت میں 30 پیسے فی لیٹر کمی متوقع ہے ذرائع کے مطابق اوگرا کی طرف سے 20 جنوری کو وزارت پیٹرولیم کو سمری بجھوائی جائے گی اور 22 جنوری کو قیمتوں میں ردوبدل کیا جائے گا,50,C,0
phase10b_frozen_dump,H001,پیٹرول کیوں مہنگا,URDU,urdu_bm25,5,72766,17.281679153442383,پیٹرول روپے ڈیزل روپے 70 پیسے مہنگا,حکومت نے یکم دسمبر سے پیٹرول اور ڈیزل مہنگا کردیاوفاقی وزیرخزانہ اسحاق ڈار نے اس حوالے سے اعلان کیا ہے وزیر خزانہ اسحاق ڈار کہتے کہ اوگرا نے پیٹرول کی قیمت میں 6روپے 24 پیسے اضافے کی تجویز دی تھی ماہ سے پیٹرولیم مصنوعات کی قیمتوں میں اضافہ نہیں کیا گیا تھا ان کا کہنا ہے کہ اج رات 12 بجے سےپیٹرول روپے اورڈیزل روپے 70 پیسے مہنگاکردیا ہے جبکہ مٹی کے تیل اورلائٹ ڈیزل کی قیمتیں برقرار رہیں گی حکومت نے یکم دسمبر سے پیٹرول اور ڈیزل مہنگا کردیاوفاقی وزیرخزانہ اسحاق ڈار نے اس حوالے سے اعلان کیا ہے وزیر …,50,C,0
phase10b_frozen_dump,H002,شکست کی وجہ,URDU,urdu_bm25,1,88102,7.296616554260254,غیر متوقع شکست ہے رمیز راجہ,کرکٹ کے راجا رمیز راجا کہتے ہیں 100 رنز کی لیڈ بہتر ہوتی ہے تاہم یہ ایک غیر متوقع شکست ہے رمیز راجا کا کہنا تھا کہ جب پرفارمنس کی ضرورت تھی تو کھلاڑی پریشر میں اگئے جو کہ تیسرے ٹیسٹ میں پاکستان کی شکست کی وجہ بنا جیو سے خصوصی بات چیت کرتے ہوئے سوئنگ کے سلطان وسیم اکرم کا کہنا تھا کہ اس وقت ٹیم کو ایک ال راونڈر کی بہت ضرورت ہے کرکٹ کے راجا رمیز راجا کہتے ہیں 100 رنز کی لیڈ بہتر ہوتی ہے تاہم یہ ایک غیر متوقع شکست ہے رمیز راجا کا کہنا تھا کہ جب پرفارمنس کی ضرورت تھی تو کھلاڑی پریشر میں اگئے جو کہ …,50,B,0
phase10b_frozen_dump,H002,شکست کی وجہ,URDU,urdu_bm25,2,58142,7.270432949066162,ٹی 20 سیریز میں شکست کی وجہ منصوبہ بندی کا فقدان تھا محمد صف,فاسٹ بولر محمد اصف نے کہا ہے کہ نیوزی لینڈ سے سیریز میں شکست کی وجہ منصوبہ بندی کا فقدان تھا مین بولرز کی موجودگی میں بھی کوئی پلاننگ نظر نہیں ائی حیدراباد میں قومی ون ڈے ٹورنامنٹ میچ کے بعد محمد اصف کا اب تک سے خصوصی بات کرتے ہوئے کہنا تھا کہ قومی ٹیم کی نیوزی لینڈ سے ٹی ٹوئنٹی سیریز میں شکست کی وجہ منصوبہ بندی کا فقدان تھا ان کا کہنا تھا کہ نیوزی لینڈ کی پچز میں موجود باونس کو مدنظر رکھتے ہوئے کھیلنا چاہئے تھا جبکہ میچ میں بھی کوئی پلاننگ نظر نہیں ائی تاہم مین بولرز کی موجودگی میں ایک سو چھیا…,50,B,0
phase10b_frozen_dump,H002,شکست کی وجہ,URDU,urdu_bm25,3,35782,7.188662052154541,خراب کارکردگی پر حفیظ مستعفی,لاہور پاکستان ٹی ٹوئنٹی ٹیم کے کپتان محمد حفیظ نے عالمی ٹی ٹوئنٹی کے دوران ناقص کارکردگی کی ذمہ داری قبول کرتے ہوئے استعفی دے دیا ہےمنگل کے روز ویسٹ انڈیز نے عالمی ٹی ٹوئنٹی کے ایک اہم میچ میں پاکستان کو یک طرفہ مقابلے کے بعد 84 رنز کے بھاری مارجن سے شکست دے کر سیمی فائنل میں جگہ بنائی تھیناقص کارکردگی کے پیش نظر پاکستان کرکٹ بورڈ کے چیئرمین نجم سیٹھی نے ٹیم انتظامیہ کو طلب کیا تھامنفی سوچ شکست کی وجہ بنی فریدیچیئرمین سے ملاقات کے بعد میڈیا سے گفتگو کرتے ہوئے حفیظ کا کہنا ہے کہ ہار جیت کھیل کا …,50,C,0
phase10b_frozen_dump,H002,شکست کی وجہ,URDU,urdu_bm25,4,90485,7.106419086456299,اولمپک کوالیفائنگ راونڈ میں شکستشہناز شیخ نےرپورٹ پیش کردی,کراچیپاکستان ہاکی ٹیم کے کوچ شہناز شیخ نے ہاکی میں بدترین شکست کی رپورٹ تحقیقاتی کمیٹی کے سامنے پیش کردیرپورٹ میں شکست کی بڑی وجہ مالی مسائل قرار دیا ہےپاکستان ہاکی ٹیم کے چیف کوچ شہناز شیخ نے وطن واپسی کے بعد 20صفحات پر مشتمل رپورٹ تیارکی اور اج تحقیقاتی کمیٹی کے سامنے پیش کردیرپورٹ میں ہاکی ٹیم کی شکست کی بڑی وجہ کھلاڑیوں کے مالی مسائل قرار دیا گیارپورٹ میں کہا گیا چیمپئنز ٹرافی میں سلور میڈل لینے کے بعد مسائل نے سر اٹھانا شروع کیاکھلاڑیوں کی توجہ کھیل کے بجائے ڈیلی الاونس اور سینٹرل کنٹریکٹ …,50,B,0
phase10b_frozen_dump,H002,شکست کی وجہ,URDU,urdu_bm25,5,57625,7.095634937286377,فٹنس مسائل ٹی 20 ورلڈ کپ میں شکست کی وجہ بنے شہر یار خان,چیئرمین پی سی بی شہر یارخان کا کہنا ہےکہ کھلاڑیوں کے فٹنس مسائل ٹی ٹونٹی ورلڈ کپ میں شکست کی وجہ بنے ایبٹ باد کیمپ میں کھلاڑیوں کی فیلڈنگ اورفٹنس بہتربنائیں گے لاہورمیں میڈیا سےگفتگو کرتے ہوئے چیئرمین پی سی بی شہریارخان نےکہاکہ ٹی ٹوئنٹی ورلڈ کپ میں فٹنس مسائل کی وجہ سے ٹیم کو ناکامی کا سامنا کرنا پڑا فٹنس اور فیلڈنگ تمام کھلاڑیوں کے لیے ضروری ہے ٹیم کی فیلڈنگ بہتر ہوگی تو کارکردگی بہتر ہوگی ایبٹ باد میں کیمپ فٹنس مسائل دور کرنے کے لئے لگا رہے ہیں انہوں نے کہا کہ سولہ ریجن میں اسکول کی سطح پر ٹ…,50,B,0
