train_token,freq_train,edit_distance,dict_key
krne,4,2,karna
krne,4,2,ke
krne,4,2,ne
shah,3,2,gham
shah,3,2,ghar
shah,3,2,hai
shah,3,2,khan
shah,3,2,sab
qomi,3,2,roti
jari,3,2,garmi
jari,3,2,hai
jari,3,2,haris
jari,3,2,jana
jari,3,2,jao
bad,3,1,bada
bad,3,2,aaj
bad,3,2,aao
bad,3,2,ab
bad,3,2,aj
trin,2,2,din
trin,2,2,hain
trin,2,2,mein
trin,2,2,run
trin,2,2,thi
sri,2,2,bhi
sri,2,2,hai
sri,2,2,hi
sri,2,2,hui
sri,2,2,ki
shaib,2,2,hai
shaib,2,2,hain
shaib,2,2,sab
shaib,2,2,sharif
rkh,2,2,ka
rkh,2,2,ke
rkh,2,2,ki
rkh,2,2,ko
rkh,2,2,raha
pakstani,2,2,pakistan
pak,2,1,par
pak,2,2,aaj
pak,2,2,aao
pak,2,2,ab
pak,2,2,aj
mrad,2,2,imran
mrad,2,2,madad
mrad,2,2,mat
moqa,2,2,hoga
moqa,2,2,mosam
marof,2,2,karo
lind,2,2,din
lind,2,2,lena
lind,2,2,liya
lind,2,2,win
lie,2,2,din
lie,2,2,hi
lie,2,2,ke
lie,2,2,ki
lie,2,2,liya
kmi,2,1,ki
kmi,2,2,bhi
kmi,2,2,hai
kmi,2,2,hi
kmi,2,2,hui
kar,2,1,ka
kar,2,1,kal
kar,2,1,kam
kar,2,1,karo
kar,2,1,par
hsin,2,1,hain
hsin,2,2,din
hsin,2,2,hai
hsin,2,2,hi
hsin,2,2,hui
fridi,2,1,afridi
fonz,2,2,four
dish,2,2,din
dish,2,2,diya
dish,2,2,dost
chori,2,2,chota
chin,2,2,bhi
chin,2,2,din
chin,2,2,hain
chin,2,2,hi
chin,2,2,khan
biti,2,2,bhi
biti,2,2,bijli
biti,2,2,roti
arb,2,1,ab
arb,2,2,aaj
arb,2,2,aao
arb,2,2,aj
arb,2,2,ana
ali,2,2,aaj
ali,2,2,aao
ali,2,2,ab
ali,2,2,aj
ali,2,2,ana
ahmd,2,2,army
aalmi,2,2,garmi
aalan,2,2,adalat
aalan,2,2,bayan
zriae,1,2,price
zor,1,2,aur
zor,1,2,bol
zor,1,2,do
zor,1,2,four
zor,1,2,ho
tng,1,2,ana
tng,1,2,na
tng,1,2,ne
tng,1,2,ny
tng,1,2,tha
tist,1,2,dost
tins,1,2,din
tins,1,2,win
tiar,1,2,ghar
tiar,1,2,haar
tiar,1,2,par
tiar,1,2,team
tiar,1,2,tha
thri,1,1,thi
thri,1,2,bhi
thri,1,2,hai
thri,1,2,hi
thri,1,2,hui
tas,1,2,aaj
tas,1,2,aao
tas,1,2,ab
tas,1,2,aj
tas,1,2,hai
talq,1,2,kal
sth,1,2,ptv
sth,1,2,sab
sth,1,2,se
sth,1,2,six
sth,1,2,sy
stak,1,2,sab
sste,1,2,se
sste,1,2,vote
sraha,1,1,raha
sraha,1,2,drama
snat,1,2,ana
snat,1,2,mat
snat,1,2,na
snat,1,2,raat
snat,1,2,sab
sltan,1,2,multan
skte,1,2,ke
skte,1,2,se
skte,1,2,vote
skht,1,2,sehat
sjad,1,2,jao
sjad,1,2,sab
sjad,1,2,sadr
sit,1,1,six
sit,1,2,din
sit,1,2,hi
sit,1,2,ki
sit,1,2,mat
sif,1,1,sirf
sif,1,1,six
sif,1,2,din
sif,1,2,hi
sif,1,2,imf
shrh,1,2,sirf
sho,1,1,ho
sho,1,2,aao
sho,1,2,bhi
sho,1,2,do
sho,1,2,geo
shil,1,2,bhi
shil,1,2,hi
shil,1,2,khel
shil,1,2,phir
shil,1,2,six
shadi,1,2,hai
shadi,1,2,sadr
shadi,1,2,sardi
shadi,1,2,sharif
shaar,1,1,haar
shaar,1,2,ghar
shaar,1,2,sadr
schn,1,2,acha
sath,1,2,mat
sath,1,2,match
sath,1,2,sab
sath,1,2,sadr
saodi,1,1,sardi
saodi,1,2,sadr
sal,1,1,kal
sal,1,1,sab
sal,1,2,aaj
sal,1,2,aao
sal,1,2,ab
sains,1,2,hain
said,1,2,hai
said,1,2,hain
said,1,2,sab
said,1,2,sadr
said,1,2,sardi
rza,1,2,ana
rza,1,2,aya
rza,1,2,azam
rza,1,2,ka
rza,1,2,kya
rthr,1,2,raha
rthr,1,2,tha
rthr,1,2,thi
rthr,1,2,thy
rozh,1,2,roti
rope,1,2,roti
rope,1,2,vote
rnz,1,2,ana
rnz,1,2,na
rnz,1,2,ne
rnz,1,2,ny
rnz,1,2,run
rmi,1,2,army
rmi,1,2,bhi
rmi,1,2,garmi
rmi,1,2,hai
rmi,1,2,hi
rhm,1,2,bhi
rhm,1,2,gham
rhm,1,2,hi
rhm,1,2,ho
rhm,1,2,kam
raz,1,2,aaj
raz,1,2,aao
raz,1,2,ab
raz,1,2,aj
raz,1,2,hai
raja,1,1,raha
raja,1,2,aaj
raja,1,2,aj
raja,1,2,ana
raja,1,2,aya
pzir,1,1,phir
pzir,1,2,par
pzir,1,2,wazir
pisr,1,2,par
pisr,1,2,phir
pisr,1,2,psl
pish,1,2,psl
pise,1,2,price
pise,1,2,psl
pise,1,2,se
pabndi,1,2,pani
ood,1,2,bol
ood,1,2,do
ood,1,2,doodh
ood,1,2,flood
ood,1,2,ho
oist,1,2,dost
oist,1,2,out
ohid,1,2,bhi
ohid,1,2,hi
ohid,1,2,phir
ohid,1,2,thi
oarnr,1,2,karna
oaii,1,2,hai
oaii,1,2,hain
oaii,1,2,nahi
oaii,1,2,pani
nzr,1,2,aur
nzr,1,2,na
nzr,1,2,ne
nzr,1,2,ny
nzr,1,2,par
nmk,1,2,imf
nmk,1,2,na
nmk,1,2,ne
nmk,1,2,ny
nmk,1,2,pm
nis,1,2,din
nis,1,2,hi
nis,1,2,ki
nis,1,2,na
nis,1,2,ne
nind,1,2,din
nind,1,2,win
nie,1,1,ne
nie,1,2,din
nie,1,2,hi
nie,1,2,ke
nie,1,2,ki
mooi,1,2,roti
mndi,1,2,india
mnaia,1,2,india
mnaia,1,2,naya
mlki,1,2,ki
mlki,1,2,mulk
mki,1,1,ki
mki,1,2,bhi
mki,1,2,hai
mki,1,2,hi
mki,1,2,hui
mkh,1,2,ka
mkh,1,2,ke
mkh,1,2,ki
mkh,1,2,ko
mkh,1,2,mat
misha,1,2,masla
miga,1,2,diya
miga,1,2,hoga
miga,1,2,kiya
miga,1,2,liya
miga,1,2,manga
lnka,1,2,ana
lnka,1,2,ka
lnka,1,2,lena
lnka,1,2,liya
lnka,1,2,na
lge,1,2,geo
lge,1,2,ke
lge,1,2,lo
lge,1,2,ne
lge,1,2,se
krte,1,2,ke
krte,1,2,vote
krin,1,2,din
krin,1,2,hain
krin,1,2,khan
krin,1,2,ki
krin,1,2,mein
kras,1,2,ka
kras,1,2,kal
kras,1,2,kam
kras,1,2,khan
kras,1,2,kya
kon,1,1,ko
kon,1,2,bol
kon,1,2,din
kon,1,2,do
kon,1,2,ho
koii,1,2,ki
koii,1,2,ko
koii,1,2,roti
kng,1,2,ana
kng,1,2,ka
kng,1,2,kal
kng,1,2,kam
kng,1,2,ke
kis,1,1,ki
kis,1,2,din
kis,1,2,hi
kis,1,2,ka
kis,1,2,kaisa
kindi,1,2,india
kif,1,1,ki
kif,1,2,din
kif,1,2,hi
kif,1,2,imf
kif,1,2,ka
khlaf,1,2,khan
khla,1,2,ka
khla,1,2,kal
khla,1,2,khan
khla,1,2,khel
khla,1,2,khelna
katn,1,2,hain
katn,1,2,ka
katn,1,2,kal
katn,1,2,kam
katn,1,2,karna
jon,1,2,bol
jon,1,2,din
jon,1,2,do
jon,1,2,ho
jon,1,2,jana
joani,1,2,jana
joani,1,2,pani
jgh,1,2,jao
jata,1,1,jana
jata,1,2,ana
jata,1,2,atta
jata,1,2,aya
jata,1,2,bada
jane,1,1,jana
jane,1,2,ana
jane,1,2,bank
jane,1,2,game
jane,1,2,jao
jali,1,2,hai
jali,1,2,jana
jali,1,2,jao
jali,1,2,kal
jali,1,2,nahi
jabka,1,2,jana
iin,1,1,din
iin,1,1,win
iin,1,2,hain
iin,1,2,hi
iin,1,2,imf
iad,1,2,aaj
iad,1,2,aao
iad,1,2,ab
iad,1,2,aj
iad,1,2,bada
hzar,1,1,haar
hzar,1,2,azam
hzar,1,2,ghar
hzar,1,2,hai
hzar,1,2,par
hoale,1,2,goal
hdait,1,2,hai
hdait,1,2,hain
hali,1,1,hai
hali,1,2,haar
hali,1,2,hain
hali,1,2,haris
hali,1,2,hi
haki,1,1,hai
haki,1,2,haar
haki,1,2,hain
haki,1,2,haris
haki,1,2,hi
gormin,1,2,garmi
giin,1,2,din
giin,1,2,hain
giin,1,2,mein
giin,1,2,win
gie,1,2,din
gie,1,2,game
gie,1,2,geo
gie,1,2,ghee
gie,1,2,hi
ghre,1,1,ghee
ghre,1,2,game
ghre,1,2,gham
ghre,1,2,ghar
ghra,1,2,bura
ghra,1,2,gaya
ghra,1,2,geya
ghra,1,2,gham
ghra,1,2,ghar
ghaz,1,1,gham
ghaz,1,1,ghar
ghaz,1,2,ghee
ghaz,1,2,goal
ghaz,1,2,hai
frhan,1,2,khan
form,1,2,film
form,1,2,four
foji,1,2,four
foji,1,2,roti
flmon,1,2,flood
fislh,1,2,film
fisd,1,2,film
fis,1,2,din
fis,1,2,film
fis,1,2,hi
fis,1,2,ki
fis,1,2,six
fainl,1,2,fazal
fainl,1,2,hain
faii,1,2,hai
faii,1,2,hain
faii,1,2,nahi
faii,1,2,pani
dste,1,2,dost
dste,1,2,se
dste,1,2,vote
drap,1,2,drama
dosra,1,2,dost
doran,1,2,imran
diod,1,2,din
diod,1,2,diya
diod,1,2,do
diod,1,2,doodh
dine,1,1,din
dine,1,2,dena
dine,1,2,diya
dine,1,2,ne
dine,1,2,win
dil,1,1,din
dil,1,2,bol
dil,1,2,diya
dil,1,2,do
dil,1,2,film
dikh,1,2,din
dikh,1,2,diya
chif,1,2,bhi
chif,1,2,hi
chif,1,2,phir
chif,1,2,thi
chhta,1,1,chota
brs,1,2,bhi
brs,1,2,bol
brs,1,2,bura
borha,1,2,bura
bord,1,2,bol
bord,1,2,bura
bndh,1,2,bada
bnane,1,2,bank
blt,1,2,bhi
blt,1,2,bol
blt,1,2,lo
blt,1,2,mat
blt,1,2,out
blnd,1,2,bank
bitri,1,2,bijli
bita,1,2,atta
bita,1,2,bada
bita,1,2,bura
bita,1,2,diya
bita,1,2,kiya
bit,1,2,bhi
bit,1,2,bol
bit,1,2,din
bit,1,2,hi
bit,1,2,ki
bhtr,1,2,bhi
bhtr,1,2,ghar
bhtr,1,2,phir
bhr,1,1,bhi
bhr,1,2,aur
bhr,1,2,bol
bhr,1,2,bura
bhr,1,2,ghar
bhart,1,2,ghar
bdl,1,1,bol
bdl,1,2,bada
bdl,1,2,bhi
bdl,1,2,do
bdl,1,2,kal
badl,1,1,bada
badl,1,2,bank
badl,1,2,bol
badl,1,2,kal
badl,1,2,sadr
azhr,1,2,acha
azhr,1,2,aur
azhr,1,2,azam
azhr,1,2,wazir
astak,1,2,atta
asno,1,2,aao
asno,1,2,ana
aslam,1,2,awam
aslam,1,2,azam
aslam,1,2,masla
aroh,1,2,aao
aroh,1,2,army
aroh,1,2,karo
aotar,1,2,actor
aotar,1,2,atta
antr,1,2,actor
antr,1,2,ana
antr,1,2,atta
antr,1,2,aur
ankm,1,2,ana
ankm,1,2,awam
ankm,1,2,azam
ankm,1,2,bank
andiz,1,2,india
amr,1,1,aur
amr,1,2,aaj
amr,1,2,aao
amr,1,2,ab
amr,1,2,aj
amdad,1,2,madad
amam,1,1,awam
amam,1,1,azam
amam,1,2,aaj
amam,1,2,aao
amam,1,2,ana
alzam,1,1,azam
alzam,1,2,awam
alhq,1,2,acha
akhtr,1,2,fakhar
aik,1,2,aaj
aik,1,2,aao
aik,1,2,ab
aik,1,2,aj
aik,1,2,ana
aie,1,2,aaj
aie,1,2,aao
aie,1,2,ab
aie,1,2,aj
aie,1,2,ana
aid,1,2,aaj
aid,1,2,aao
aid,1,2,ab
aid,1,2,aj
aid,1,2,ana
ahsn,1,2,khan
afttah,1,2,atta
aft,1,2,aaj
aft,1,2,aao
aft,1,2,ab
aft,1,2,aj
aft,1,2,ana
afriqa,1,2,afridi
afaq,1,2,aaj
afaq,1,2,aao
afaq,1,2,ana
afaq,1,2,awam
afaq,1,2,aya
abor,1,2,aao
abor,1,2,ab
abor,1,2,actor
abor,1,2,aur
abor,1,2,babar
abad,1,2,aaj
abad,1,2,aao
abad,1,2,ab
abad,1,2,ana
abad,1,2,awam
aamr,1,2,aaj
aamr,1,2,aao
aamr,1,2,army
aamr,1,2,aur
aamr,1,2,awam
aajaz,1,2,aaj
aajaz,1,2,nawaz
