query_id,query_text,classification,confidence,institutional_surface_in_query,expected_document_surface,mechanism_explanation,candidate_generation_status,mechanism_confirmed,notes
KN002,zim t20 mein hosts ko chase ke liye kitna target mila,B,high,,,sports team/country abbr ZIM; T20 event — not institutional org alias,MISS_TOP50_BND,FALSE,query-first prelim then gold verify for A candidates; gold doc id not exported
KN005,iran amreeka tension ke baad local equities opening par kyun rebound hua,B,high,,,country names Iran/US + markets — geo/entity not institutional alias,MISS_TOP50_BND,FALSE,query-first prelim then gold verify for A candidates; gold doc id not exported
KN006,kolkata ne delhi ko ipl thriller mein kis margin se haraaya,B,high,,,IPL sports league + city teams — not gov/intl institutional descriptive alias target,MISS_TOP50_BND,FALSE,query-first prelim then gold verify for A candidates; gold doc id not exported
KN008,teen tennis sensation ne kaunsa canadian hardcourt title jeeta,B,high,,,tennis person/title — person/event entity,MISS_TOP50_BND,FALSE,query-first prelim then gold verify for A candidates; gold doc id not exported
KN010,benami accounts walo ke khilaf revenue board ne kya saza tajweez ki,A,high,revenue board,فیڈرل بورڈ اف ریونیو / ایف بی ار,CONFIRMED: revenue board ↔ فیڈرل بورڈ اف ریونیو,MISS_TOP50_BND,TRUE,query-first prelim then gold verify for A candidates; gold doc id not exported
KN018,aladdin kahani kisi haqeeqi shakhs par mabni hai ya sirf fable hai,G,high,,,fiction/folklore Aladdin — other,MISS_TOP50_BND,FALSE,query-first prelim then gold verify for A candidates; gold doc id not exported
KN020,cpec joint cooperation committee ka session kis shehar mein chal raha tha,A,high,cpec,اقتصادی راہداری,CONFIRMED: cpec ↔ اقتصادی راہداری,MISS_TOP50_BND,TRUE,query-first prelim then gold verify for A candidates; gold doc id not exported
KN021,jungle book live action ne india box office par kya record banaya,B,high,,,film title Jungle Book — entertainment entity,MISS_TOP50_BND,FALSE,query-first prelim then gold verify for A candidates; gold doc id not exported
KN022,shahid mira sangeet se pehle shaadi ki tayyariyan kab khatam huin,B,high,,,person names wedding — person entity,MISS_TOP50_BND,FALSE,query-first prelim then gold verify for A candidates; gold doc id not exported
KN024,west indies ke khilaf dubai day night series pakistan ka kaunsa milestone test hai,B,high,,,cricket teams/series — sports entity,MISS_TOP50_BND,FALSE,query-first prelim then gold verify for A candidates; gold doc id not exported
KN025,adb country director ne pm se mil kar investment ke bare mein kya kaha,A,high,adb,ایشیائی ترقیاتی بینک,CONFIRMED: adb ↔ ایشیائی ترقیاتی بینک,MISS_TOP50_BND,TRUE,query-first prelim then gold verify for A candidates; gold doc id not exported
KN026,salman ki wrestler film ka pehla poster kis director ki movie ka hai,B,high,,,person/film product,MISS_TOP50_BND,FALSE,query-first prelim then gold verify for A candidates; gold doc id not exported
KN027,chameleon satellite minutes mein naya mission kyun assume kar sakte hain,E,med,,,tech product chameleon satellite — rare lexical/product,MISS_TOP50_BND,FALSE,query-first prelim then gold verify for A candidates; gold doc id not exported
KN028,state bank ke mutabiq external debt burden mein kitni percent kami hui,C,high,state bank,اسٹیٹ بینک (script of same EN name),REJECTED A: state bank↔اسٹیٹ بینک same English name in Urdu script; miss also external debt↔غیر ملکی قرض VOCAB,MISS_TOP50_BND,FALSE,query-first prelim then gold verify for A candidates; gold doc id not exported
KN032,umar akmal par fixing case mein kitne saal ki pabandi lagi,B,high,,,person Umar Akmal,MISS_TOP50_BND,FALSE,query-first prelim then gold verify for A candidates; gold doc id not exported
KN036,aglay das mahine mein local oil gas output mein kya izafa verqai hai,C,high,,,macro oil/gas output paraphrase — semantic/vocab,MISS_TOP50_BND,FALSE,query-first prelim then gold verify for A candidates; gold doc id not exported
KN037,nayi photo app chehre tabdeel karne ke ilawa kya karti hai,B,high,,,photo app product,MISS_TOP50_BND,FALSE,query-first prelim then gold verify for A candidates; gold doc id not exported
KN041,caretaker finance minister ne cpec projects mukammal karne ka kya wazheh kiya,A,high,cpec,اقتصادی راہداری,CONFIRMED: cpec ↔ اقتصادی راہداری,MISS_TOP50_BND,TRUE,query-first prelim then gold verify for A candidates; gold doc id not exported
KN042,current account deficit ki raftaar slow kyun hui SBP ke mutabiq,A,high,SBP,اسٹیٹ بینک,CONFIRMED: SBP ↔ اسٹیٹ بینک expansion,MISS_TOP50_BND,TRUE,query-first prelim then gold verify for A candidates; gold doc id not exported
KN044,twitter ka naya feature facebook snapchat se muqabla kyun karta hai,B,high,,,social platforms Twitter/Facebook product,MISS_TOP50_BND,FALSE,query-first prelim then gold verify for A candidates; gold doc id not exported
KN047,fbr aur sindh revenue board ne sales tax input par kya deal ki,D,high,fbr; sindh revenue board,ایف بی / سندھ ریونیو بورڈ,REJECTED A: fbr as letter-name ایف بی; sindh revenue board as سندھ ریونیو بورڈ = same EN words in Urdu script — Phase-7/script not descriptive alias,MISS_TOP50_BND,FALSE,query-first prelim then gold verify for A candidates; gold doc id not exported
KN051,gmail ke naye interface ko purane layout jaisa kaise banaya ja sakta hai,B,high,,,Gmail product UI,MISS_TOP50_BND,FALSE,query-first prelim then gold verify for A candidates; gold doc id not exported
KN054,kangana ke bayan par momina iram ne kya jawab diya,B,high,,,person names Kangana/Momina,MISS_TOP50_BND,FALSE,query-first prelim then gold verify for A candidates; gold doc id not exported
KN093,imf pakistan representative ne exchange rate flexibility kyun zaroori qaraar di,D,high,imf,ئی ایم ایف (letter-name),REJECTED A: imf only as letter-name ئی ایم ایف; no descriptive بین الاقوامی مالیاتی فنڈ — Phase-7-like,MISS_TOP50_BND,FALSE,query-first prelim then gold verify for A candidates; gold doc id not exported
KN095,sri lanka ne india ke khilaf test series ke liye kitne players naamzad kiye,B,high,,,cricket team selection,MISS_TOP50_BND,FALSE,query-first prelim then gold verify for A candidates; gold doc id not exported
KN102,ek hafte facebook band rakhne se mood aur sleep par kya asar bataya gaya,B,high,,,Facebook product study,MISS_TOP50_BND,FALSE,query-first prelim then gold verify for A candidates; gold doc id not exported
