query_id,split,protocol_label,protocol_route,oracle_route,agree,wordcount_route,query_category,language_type
QTRN_001,train,SHORT,HEADLINE,HEADLINE,1,FULL,short,urdu
QTRN_002,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_003,dev,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_004,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_005,train,LONG,FULL,MIXED,0,FULL,detailed,urdu
QTRN_006,train,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_007,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_008,train,LONG,FULL,MIXED,0,FULL,contextual,urdu
QTRN_009,train,SHORT,HEADLINE,MIXED,0,FULL,ambiguous,mixed
QTRN_010,internal_val,SHORT,HEADLINE,HEADLINE,1,FULL,short,urdu
QTRN_011,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_012,internal_val,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_013,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_014,dev,LONG,FULL,HEADLINE,0,FULL,detailed,urdu
QTRN_015,train,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_016,internal_val,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_017,train,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_018,train,SHORT,HEADLINE,FULL,0,FULL,ambiguous,mixed
QTRN_019,train,SHORT,HEADLINE,HEADLINE,1,FULL,short,urdu
QTRN_020,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_021,train,LONG,FULL,MIXED,0,FULL,contextual,urdu
QTRN_022,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_023,train,LONG,FULL,HEADLINE,0,FULL,detailed,urdu
QTRN_024,dev,LONG,FULL,MIXED,0,FULL,contextual,urdu
QTRN_025,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_026,internal_val,LONG,FULL,MIXED,0,FULL,contextual,urdu
QTRN_027,train,SHORT,HEADLINE,MIXED,0,FULL,ambiguous,mixed
QTRN_028,internal_val,SHORT,HEADLINE,MIXED,0,FULL,short,urdu
QTRN_029,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_030,train,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_031,internal_val,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_032,train,LONG,FULL,FULL,1,FULL,detailed,urdu
QTRN_033,dev,LONG,FULL,MIXED,0,FULL,contextual,urdu
QTRN_034,dev,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_035,train,LONG,FULL,MIXED,0,FULL,contextual,urdu
QTRN_036,train,SHORT,HEADLINE,MIXED,0,FULL,ambiguous,mixed
QTRN_037,internal_val,SHORT,HEADLINE,HEADLINE,1,FULL,short,urdu
QTRN_038,dev,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_039,dev,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_040,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_041,train,LONG,FULL,MIXED,0,FULL,detailed,urdu
QTRN_042,train,LONG,FULL,MIXED,0,FULL,contextual,urdu
QTRN_043,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_044,dev,LONG,FULL,MIXED,0,FULL,contextual,urdu
QTRN_045,train,SHORT,HEADLINE,MIXED,0,FULL,ambiguous,mixed
QTRN_046,internal_val,SHORT,HEADLINE,HEADLINE,1,FULL,short,urdu
QTRN_047,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_048,train,LONG,FULL,MIXED,0,FULL,contextual,urdu
QTRN_049,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_050,train,LONG,FULL,MIXED,0,FULL,detailed,urdu
QTRN_051,internal_val,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_052,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_053,train,LONG,FULL,FULL,1,FULL,contextual,urdu
QTRN_054,dev,SHORT,HEADLINE,MIXED,0,FULL,ambiguous,mixed
QTRN_055,train,SHORT,HEADLINE,HEADLINE,1,FULL,short,urdu
QTRN_056,dev,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_057,train,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_058,train,SHORT,HEADLINE,MIXED,0,HEADLINE,short,roman_urdu
QTRN_059,internal_val,LONG,FULL,HEADLINE,0,FULL,detailed,urdu
QTRN_060,train,LONG,FULL,MIXED,0,FULL,contextual,urdu
QTRN_061,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_062,train,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_063,train,SHORT,HEADLINE,HEADLINE,1,FULL,ambiguous,mixed
QTRN_064,train,SHORT,HEADLINE,HEADLINE,1,FULL,short,urdu
QTRN_065,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_066,train,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_067,internal_val,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_068,train,LONG,FULL,MIXED,0,FULL,detailed,urdu
QTRN_069,train,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_070,internal_val,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_071,train,LONG,FULL,FULL,1,FULL,contextual,urdu
QTRN_072,train,SHORT,HEADLINE,MIXED,0,FULL,ambiguous,mixed
QTRN_073,train,SHORT,HEADLINE,MIXED,0,FULL,short,urdu
QTRN_074,train,SHORT,HEADLINE,HEADLINE,1,FULL,short,roman_urdu
QTRN_075,train,LONG,FULL,MIXED,0,FULL,contextual,urdu
QTRN_076,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_077,train,LONG,FULL,MIXED,0,FULL,detailed,urdu
QTRN_078,train,LONG,FULL,MIXED,0,FULL,contextual,urdu
QTRN_079,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_080,train,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_081,train,SHORT,HEADLINE,FULL,0,FULL,ambiguous,mixed
QTRN_082,train,SHORT,HEADLINE,HEADLINE,1,FULL,short,urdu
QTRN_083,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_084,train,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_085,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_086,internal_val,LONG,FULL,MIXED,0,FULL,detailed,urdu
QTRN_087,train,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_088,internal_val,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_089,internal_val,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
