query_id,split,cohort,current_hit5_dense,current_hit5_hybrid,current_hit5_any_expert,bm25_gold_rank,ng3_gold_rank,dense_gold_rank,hybrid_gold_rank,union_bnd_best_rank,bm25_hit50,ng3_hit50,dense_hit50,hybrid_hit50,complementarity_hit50,complementarity_hit5,primary_failure_category,secondary_mechanism,candidate_generation_status,ranking_status,cg_recoverability_class,notes
KN001,train,original,0,0,0,,,16,32,16,0,0,1,1,DENSE,none,RANKING_FAILURE,ordering_within_existing_pool,in_pool,below_top5,ranking_headroom,best_bnd_rank=16
KN002,train,original,0,0,0,,,,,,0,0,0,0,none,none,CANDIDATE_GENERATION_FAILURE,entity_name,absent,n/a,uncertain,c2a_label=B;confirmed=FALSE
KN004,train,original,0,1,1,1,1,107,1,1,1,1,0,1,BM25+NG3,BM25+NG3,SUCCESS,,in_pool,already_top5,already_success,any_expert_hit5
KN005,train,original,0,0,0,,,,,,0,0,0,0,none,none,CANDIDATE_GENERATION_FAILURE,entity_name,absent,n/a,uncertain,c2a_label=B;confirmed=FALSE
KN006,train,original,0,0,0,,,,,,0,0,0,0,none,none,CANDIDATE_GENERATION_FAILURE,entity_name,absent,n/a,uncertain,c2a_label=B;confirmed=FALSE
KN008,train,original,0,0,0,,,,,,0,0,0,0,none,none,CANDIDATE_GENERATION_FAILURE,entity_name,absent,n/a,uncertain,c2a_label=B;confirmed=FALSE
KN010,train,original,0,0,0,,,466,,,0,0,0,0,none,none,CANDIDATE_GENERATION_FAILURE,acronym_institution,absent,n/a,plausibly_recoverable,c2a_label=A;confirmed=TRUE
KN011,train,original,1,1,1,,,1,2,1,0,0,1,1,DENSE,DENSE,SUCCESS,,in_pool,already_top5,already_success,any_expert_hit5
KN012,train,original,0,0,1,5,,59,10,5,1,0,0,1,BM25,BM25,SUCCESS,,in_pool,already_top5,already_success,any_expert_hit5
KN013,train,original,1,0,1,,,4,8,4,0,0,1,1,DENSE,DENSE,SUCCESS,,in_pool,already_top5,already_success,any_expert_hit5
KN014,train,original,0,1,0,44,,16,3,16,1,0,1,1,BM25+DENSE,none,RANKING_FAILURE,ordering_within_existing_pool,in_pool,below_top5,ranking_headroom,best_bnd_rank=16
KN015,train,original,0,0,0,,,9,18,9,0,0,1,1,DENSE,none,RANKING_FAILURE,ordering_within_existing_pool,in_pool,below_top5,ranking_headroom,best_bnd_rank=9
KN016,train,original,1,1,1,,,1,1,1,0,0,1,1,DENSE,DENSE,SUCCESS,,in_pool,already_top5,already_success,any_expert_hit5
KN017,train,original,1,1,1,,5,1,2,1,0,1,1,1,NG3+DENSE,NG3+DENSE,SUCCESS,,in_pool,already_top5,already_success,any_expert_hit5
KN018,train,original,0,0,0,,,,,,0,0,0,0,none,none,CANDIDATE_GENERATION_FAILURE,other,absent,n/a,uncertain,c2a_label=G;confirmed=FALSE
KN019,train,original,1,0,1,,,5,9,5,0,0,1,1,DENSE,DENSE,SUCCESS,,in_pool,already_top5,already_success,any_expert_hit5
KN020,train,original,0,0,0,,,110,,,0,0,0,0,none,none,CANDIDATE_GENERATION_FAILURE,acronym_institution,absent,n/a,plausibly_recoverable,c2a_label=A;confirmed=TRUE
KN021,train,original,0,0,0,,,167,,,0,0,0,0,none,none,CANDIDATE_GENERATION_FAILURE,entity_name,absent,n/a,uncertain,c2a_label=B;confirmed=FALSE
KN022,train,original,0,0,0,,,,,,0,0,0,0,none,none,CANDIDATE_GENERATION_FAILURE,entity_name,absent,n/a,uncertain,c2a_label=B;confirmed=FALSE
KN023,train,original,0,1,1,3,3,,5,3,1,1,0,1,BM25+NG3,BM25+NG3,SUCCESS,,in_pool,already_top5,already_success,any_expert_hit5
KN024,train,original,0,0,0,,,204,,,0,0,0,0,none,none,CANDIDATE_GENERATION_FAILURE,entity_name,absent,n/a,uncertain,c2a_label=B;confirmed=FALSE
KN025,train,original,0,0,0,,,301,,,0,0,0,0,none,none,CANDIDATE_GENERATION_FAILURE,acronym_institution,absent,n/a,plausibly_recoverable,c2a_label=A;confirmed=TRUE
KN026,train,original,0,0,0,,,,,,0,0,0,0,none,none,CANDIDATE_GENERATION_FAILURE,entity_name,absent,n/a,uncertain,c2a_label=B;confirmed=FALSE
KN027,train,original,0,0,0,,,196,,,0,0,0,0,none,none,CANDIDATE_GENERATION_FAILURE,lexical_mismatch,absent,n/a,likely_intrinsically_difficult,c2a_label=E;confirmed=FALSE
KN028,train,original,0,0,0,,,523,,,0,0,0,0,none,none,CANDIDATE_GENERATION_FAILURE,semantic_paraphrase,absent,n/a,likely_intrinsically_difficult,c2a_label=C;confirmed=FALSE
