experiment_id,query_id,split,script,detector,path,intent_type,source_doc_id,rank,miss50,hit@5,qtoks
R2-B0,KN001,train,ROMAN,ROMAN,roman,event,92506,,1,0,malaysia air race world championship third round kab shuru hua
R2-B0,KN002,train,ROMAN,ROMAN,roman,factoid,90691,,1,0,zim t20 mein hosts ko chase ke liye kitna target mila
R2-B0,KN003,train,URDU,URDU,urdu,explanatory,17150,3,0,1,تھیٹر کے عالمی دن پر ثقافت کے فروغ کیوں ضروری سمجھا جاتا ہے
R2-B0,KN004,train,ROMAN,ROMAN,roman,topical,14991,1,0,1,desi ghee sehat ke liye faida mand hai ya nuqsan deh
R2-B0,KN005,train,ROMAN,ROMAN,roman,event,64084,,1,0,iran amreeka tension ke baad local equities opening par kyun rebound hua
R2-B0,KN006,train,ROMAN,ROMAN,roman,factoid,29860,,1,0,kolkata ne delhi ko ipl thriller mein kis margin se haraaya
R2-B0,KN007,train,URDU,URDU,urdu,event,70358,1,0,1,وفاقی ادارے ٹڈی دل کو کھاد میں کیسے تبدیل کرنے جا رہے ہیں
R2-B0,KN008,train,ROMAN,ROMAN,roman,entity_person,47197,,1,0,teen tennis sensation ne kaunsa canadian hardcourt title jeeta
R2-B0,KN009,train,URDU,URDU,urdu,explanatory,21892,1,0,1,برقی رو انسانی جسم کے لیے کیوں جان لیوا بن جاتی ہے
R2-B0,KN010,train,ROMAN,ROMAN,roman,event,1674,,1,0,benami accounts walo ke khilaf revenue board ne kya saza tajweez ki
R2-B0,KN011,train,ROMAN,ROMAN,roman,factoid,60226,,1,0,france ki hydrogen solar wind powered boat ka naam kya hai
R2-B0,KN012,train,ROMAN,ROMAN,roman,entity_person,13580,5,0,1,comedy nights wali dadi wapas kyun nahi ban na chahte
R2-B0,KN013,train,ROMAN,ROMAN,roman,event,82652,,1,0,world cup mein pakistan india fixture ke tickets black mein kyun bik rahe
R2-B0,KN014,train,ROMAN,ROMAN,roman,explanatory,79754,44,0,0,mobile slow charge hone ki user side ghalti kya ho sakti hai
R2-B0,KN015,train,ROMAN,ROMAN,roman,topical,22450,,1,0,viral maths puzzle ne internet users ko kyun confuse kiya
R2-B0,KN016,train,ROMAN,ROMAN,roman,entity_person,100673,,1,0,priyanka ke african kids se hair compliment exchange kis tour par hua
R2-B0,KN017,train,ROMAN,ROMAN,roman,factoid,19341,,1,0,boom supersonic passenger prototype kab unveil hua
