# PROVENANCE: DERIVED / CURRENT-STATE. This is NOT the original historical Phase 2 label audit.
# It did not exist in repo history. It is a FRESH re-application of Rules 1-4 from
"# docs/labeling_guidelines.md against the CURRENT data/training_queries_real.py (n=409),"
# generated in this audit session. The original historical audit's per-query decisions
"# (which 36 were flagged ambiguous, which 7 were flipped) are NOT recoverable from this"
# repository -- those were human judgments never committed anywhere. See
# label_audit_8_manual_review.csv for that gap documented explicitly.

query,actual_label_in_training_data,rule_based_outcome_TODAY,rule_agrees_with_actual_label
کرکٹ میچ,short,SHORT (Rule2: bare entity/phrase),True
عالمی بینک,short,SHORT (Rule2: bare entity/phrase),True
پاکستان ٹیم,short,SHORT (Rule2: bare entity/phrase),True
ڈالر قیمت,short,SHORT (Rule2: bare entity/phrase),True
اسٹاک مارکیٹ,short,SHORT (Rule2: bare entity/phrase),True
وزیراعظم تقریر,short,SHORT (Rule2: bare entity/phrase),True
فلم اداکار,short,SHORT (Rule2: bare entity/phrase),True
موبائل فون,short,SHORT (Rule2: bare entity/phrase),True
کھیل نتیجہ,short,SHORT (Rule2: bare entity/phrase),True
سیاست خبر,short,SHORT (Rule2: bare entity/phrase),True
پیٹرول قیمت,short,SHORT (Rule2: bare entity/phrase),True
بجلی بل,short,SHORT (Rule2: bare entity/phrase),True
یونیورسٹی داخلہ,short,SHORT (Rule2: bare entity/phrase),True
ہسپتال علاج,short,SHORT (Rule2: bare entity/phrase),True
موسم بارش,short,SHORT (Rule2: bare entity/phrase),True
عدالت فیصلہ,short,SHORT (Rule2: bare entity/phrase),True
فوج آپریشن,short,SHORT (Rule2: bare entity/phrase),True
انتخابات نتیجہ,short,SHORT (Rule2: bare entity/phrase),True
روپیہ گراوٹ,short,SHORT (Rule2: bare entity/phrase),True
تعلیمی پالیسی,short,SHORT (Rule2: bare entity/phrase),True
کراچی خبر,short,SHORT (Rule2: bare entity/phrase),True
لاہور ٹریفک,short,SHORT (Rule2: bare entity/phrase),True
اسلام آباد موسم,short,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
پشاور دھماکہ,short,SHORT (Rule2: bare entity/phrase),True
کوئٹہ واقعہ,short,SHORT (Rule2: bare entity/phrase),True
آئی ایم ایف قرض,short,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
سینیٹ اجلاس,short,SHORT (Rule2: bare entity/phrase),True
قومی اسمبلی,short,SHORT (Rule2: bare entity/phrase),True
صدر پاکستان,short,SHORT (Rule2: bare entity/phrase),True
چیف جسٹس,short,SHORT (Rule2: bare entity/phrase),True
آرمی چیف,short,SHORT (Rule2: bare entity/phrase),True
پی ٹی آئی,short,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
مسلم لیگ,short,SHORT (Rule2: bare entity/phrase),True
پیپلز پارٹی,short,SHORT (Rule2: bare entity/phrase),True
جے یو آئی,short,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
سونا قیمت,short,SHORT (Rule2: bare entity/phrase),True
چینی مہنگی,short,SHORT (Rule2: bare entity/phrase),True
آٹا بحران,short,SHORT (Rule2: bare entity/phrase),True
گیس لوڈ شیڈنگ,short,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
انٹرنیٹ بندش,short,SHORT (Rule2: bare entity/phrase),True
سی پیک منصوبہ,short,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
ایٹمی پروگرام,short,SHORT (Rule2: bare entity/phrase),True
خارجہ پالیسی,short,SHORT (Rule2: bare entity/phrase),True
امریکہ تعلقات,short,SHORT (Rule2: bare entity/phrase),True
چین دوستی,short,SHORT (Rule2: bare entity/phrase),True
بھارت کشیدگی,short,SHORT (Rule2: bare entity/phrase),True
افغانستان سرحد,short,SHORT (Rule2: bare entity/phrase),True
ایران تجارت,short,SHORT (Rule2: bare entity/phrase),True
سعودی عرب,short,SHORT (Rule2: bare entity/phrase),True
یورپ ویزہ,short,SHORT (Rule2: bare entity/phrase),True
ٹیکس محصول,short,SHORT (Rule2: bare entity/phrase),True
بجٹ خسارہ,short,SHORT (Rule2: bare entity/phrase),True
مہنگائی شرح,short,SHORT (Rule2: bare entity/phrase),True
بیروزگاری اعداد,short,SHORT (Rule2: bare entity/phrase),True
زراعت فصل,short,SHORT (Rule2: bare entity/phrase),True
کپاس پیداوار,short,SHORT (Rule2: bare entity/phrase),True
گندم درآمد,short,SHORT (Rule2: bare entity/phrase),True
