query_id,query,script,word_count,trap_type,category,gold_label_student,notes
H001,پیٹرول کیوں مہنگا,urdu,3,SHORT_WORDS_LONG_NEED,Business & Economics,LONG,
H002,شکست کی وجہ,urdu,3,SHORT_WORDS_LONG_NEED,Sports,LONG,
H003,فلم کیسے ڈوبی,urdu,3,SHORT_WORDS_LONG_NEED,Entertainment,LONG,
H004,سیلاب کا نقصان,urdu,3,SHORT_WORDS_LONG_NEED,Science & Technology,LONG,
H005,ٹیم ہار کا تجزیہ,urdu,4,SHORT_WORDS_LONG_NEED,Sports,LONG,
H006,مہنگائی کے اثرات,urdu,3,SHORT_WORDS_LONG_NEED,Business & Economics,LONG,
H007,فلم فیل کی کہانی,urdu,4,SHORT_WORDS_LONG_NEED,Entertainment,LONG,
H008,روپے گراوٹ کے نتائج,urdu,4,SHORT_WORDS_LONG_NEED,Business & Economics,LONG,
H009,petrol kyun mehnga,roman,3,SHORT_WORDS_LONG_NEED,Business & Economics,LONG,
H010,shikast ki waja,roman,3,SHORT_WORDS_LONG_NEED,Sports,LONG,
H011,film kaise doobi,roman,3,SHORT_WORDS_LONG_NEED,Entertainment,LONG,
H012,flood ka nuksan,roman,3,SHORT_WORDS_LONG_NEED,Science & Technology,LONG,
H013,team haar ka tajzia,roman,4,SHORT_WORDS_LONG_NEED,Sports,LONG,
H014,mehngai ke asar,roman,3,SHORT_WORDS_LONG_NEED,Business & Economics,LONG,
H015,film fail ki kahani,roman,4,SHORT_WORDS_LONG_NEED,Entertainment,LONG,
H016,rupay girawut ke nataij,roman,4,SHORT_WORDS_LONG_NEED,Business & Economics,LONG,
H017,آج لاہور کا درجہ حرارت کیا ہے,urdu,7,LONG_WORDS_SHORT_NEED,Science & Technology,SHORT,
H018,سونے کی فی تولہ قیمت آج کتنی ہے,urdu,8,LONG_WORDS_SHORT_NEED,Business & Economics,SHORT,
H019,ایشیا کپ فائنل کب کھیلا جائے گا,urdu,7,LONG_WORDS_SHORT_NEED,Sports,SHORT,
H020,نیا آئی فون پاکستان میں کب آیا,urdu,7,LONG_WORDS_SHORT_NEED,Science & Technology,SHORT,
H021,آج کراچی میں زیادہ سے زیادہ حرارت,urdu,7,LONG_WORDS_SHORT_NEED,Science & Technology,SHORT,
H022,پاکستان کا اگلا کرکٹ میچ کس ملک سے,urdu,8,LONG_WORDS_SHORT_NEED,Sports,SHORT,
H023,پیٹرول کی موجودہ قیمت فی لیٹر پاکستان,urdu,7,LONG_WORDS_SHORT_NEED,Business & Economics,SHORT,
H024,آج سٹاک ایکسچینج کتنے پوائنٹ پر,urdu,6,LONG_WORDS_SHORT_NEED,Business & Economics,SHORT,
H025,aaj lahore ka temperature kya hai,roman,6,LONG_WORDS_SHORT_NEED,Science & Technology,SHORT,
H026,sone ki tola qeemat aaj kitni hai,roman,7,LONG_WORDS_SHORT_NEED,Business & Economics,SHORT,
H027,Asia cup final kab khela jayega,roman,6,LONG_WORDS_SHORT_NEED,Sports,SHORT,
H028,naya iphone pakistan mein kab aaya,roman,6,LONG_WORDS_SHORT_NEED,Science & Technology,SHORT,
H029,aaj karachi max temperature kitna raha,roman,6,LONG_WORDS_SHORT_NEED,Science & Technology,SHORT,
H030,pakistan agla cricket match kis mulk se,roman,7,LONG_WORDS_SHORT_NEED,Sports,SHORT,
H031,petrol ki mojooda qeemat per litre pakistan,roman,7,LONG_WORDS_SHORT_NEED,Business & Economics,SHORT,
H032,aaj stock exchange kitne points par,roman,6,LONG_WORDS_SHORT_NEED,Business & Economics,SHORT,
H033,ڈیزل ریٹ,urdu,2,CONTROL_EASY_SHORT,Business & Economics,SHORT,
H034,سونا ریٹ,urdu,2,CONTROL_EASY_SHORT,Business & Economics,SHORT,
H035,football score,roman,2,CONTROL_EASY_SHORT,Sports,SHORT,
H036,diesel rate,roman,2,CONTROL_EASY_SHORT,Business & Economics,SHORT,
H037,ملک میں پٹرول ڈیزل اور بجلی کے نرخ بڑھنے سے ٹرانسپورٹ اور گھریلو بجٹ پر پڑنے والے بوجھ کا تفصیلی جائزہ,urdu,21,CONTROL_EASY_LONG,Business & Economics,LONG,
H038,قومی کرکٹ ٹیم کی حالیہ شکست کے بعد سلیکٹرز کی حکمت عملی اور کھلاڑیوں کی فارم پر ایک گہری نظر,urdu,20,CONTROL_EASY_LONG,Sports,LONG,
H039,petrol diesel aur bijli ke rates barhne se transport aur gharailu budget par parne wale bojh ka tafseeli jaiza,roman,19,CONTROL_EASY_LONG,Business & Economics,LONG,
H040,qaumi cricket team ki haaliya shikast ke baad selectors ki hikmat e amli aur players ki form par ek gehri nazar,roman,21,CONTROL_EASY_LONG,Sports,LONG,
