query_id,query_text,detector_label,retrieval_path,rank,doc_id,headline,news_text_or_snippet,n_hits_returned_phase9,ranks_2_to_5_recovered
H001,پیٹرول کیوں مہنگا,URDU,urdu_bm25,1,77997,پیٹرول سستا ڈیزل مہنگا کرنے کی سمری وزارت پیٹرولیم کے حوالے,اسلام باد پیٹرول سستا ڈیزل مہنگا کرنے کی تجویز کی سمری وزارت پیٹرولیم کے حوالے کردی گئی اوگرا اور تیل کمپنیوں نے ئندہ ہفتے سے ملک میں پیٹرولیم قیمتوں میں ردوبدل کی سمری وزارت پیٹرولیم کو بھجوادی ہے اس میں پیٹرول سستا اور ڈیزل مہنگا کرنے کی تجویز دی گئی ہے ذرائع نے جیونیوز کو بتایا ہے کہ سمری میں پیٹرول فی لیٹر روپیہ پیسہ سستا اور ڈیزل روپیہ 16 پیسے مہنگا کرنے کی تجویز دی گئی ہے سمری میں مٹی کا تیل روپیہ 92 پیسے اور لائٹ ڈیزل روپیہ 23 پیسے فی لیٹر مہنگا کرنے کی تجویز دی گئی ہے پیٹرول سستا ہونے س…,50,0
H002,شکست کی وجہ,URDU,urdu_bm25,1,88102,غیر متوقع شکست ہے رمیز راجہ,کرکٹ کے راجا رمیز راجا کہتے ہیں 100 رنز کی لیڈ بہتر ہوتی ہے تاہم یہ ایک غیر متوقع شکست ہے رمیز راجا کا کہنا تھا کہ جب پرفارمنس کی ضرورت تھی تو کھلاڑی پریشر میں اگئے جو کہ تیسرے ٹیسٹ میں پاکستان کی شکست کی وجہ بنا جیو سے خصوصی بات چیت کرتے ہوئے سوئنگ کے سلطان وسیم اکرم کا کہنا تھا کہ اس وقت ٹیم کو ایک ال راونڈر کی بہت ضرورت ہے کرکٹ کے راجا رمیز راجا کہتے ہیں 100 رنز کی لیڈ بہتر ہوتی ہے تاہم یہ ایک غیر متوقع شکست ہے رمیز راجا کا کہنا تھا کہ جب پرفارمنس کی ضرورت تھی تو کھلاڑی پریشر میں اگئے جو کہ …,50,0
H003,فلم کیسے ڈوبی,URDU,urdu_bm25,1,101957,جیکی شروف پاکستانی فلم میں کام کرنے کیلئے رضامند,بھارتی اداکار جیکی شروف ہدایتکار جمشید جان محمد کی نئی انے والی فلم جوانی لے ڈوبی میں اہم کردار ادا کریں گے جو ان کا کسی بھی پاکستانی فلم میں پہلا کام ہوگا فلم سوال سات سو کروڑ ڈالرکا کی کامیابی کے بعد فلم کے ہدایتکار جمشید جان محمد نہایت پر امید ہیں اور اپنی دوسری فلم کی تیاریوں میں مصروف ہیں جس کے لیے وہ ان دنوں ممبئی میں مقیم ہیں جہاں انہوں نے جیکی شروف سمیت متعدد اداکاروں سے فلم میں کام کے لیے رابطہ کیا ہے ہدایتکار جمشید جان محمد کی پیش کش پر بولی وڈ اداکار جیکی شروف نے فلم جوانی لے ڈوبی می…,50,0
H004,سیلاب کا نقصان,URDU,urdu_bm25,1,76782,پنجاب میں سیلاب سے 2ارب روپے کی فصلوں کو نقصان پہنچا,لاہورصوبہ پنجاب میں حالیہ بارشوں اور سیلاب سے چاول کپاس اور سبزیوں کی فصلیں بری طرح متاثر ہوئی ہیں مجموعی نقصان کا اندازہ ارب روپے لگایا جا رہا ہے صدر پنجاب واٹر کونسل حامد ملہی کے مطابق حالیہ بارش اور سیلاب نے پنجاب میں زرعی شعبے کو بری طرح متاثر کیا ہے چاول کی 25 فی صد فصل جبکہ کپاس کی ایک لاکھ ایکڑ پر کھڑی فصل تباہ ہوگئی ان کے مطابق نقصانات کا مجموعی اندازہ ارب روپے تک پہنچ گیا ہےحامد ملہی کا کہنا تھا کہ حکومت نے 2010 کے سیلاب سے کوئی سبق نہیں سیکھا اور ندی نالوں کے پشتے اور بند کو بروقت مضب…,50,0
H005,ٹیم ہار کا تجزیہ,URDU,urdu_bm25,1,90969,شہریوں نے ناکام کھلاڑیوں کے پتلے الٹے لٹکا دیے,کراچیکپتان مصباح الحق فاسٹ بولر وہاب ریاض اور وکٹ کیپر بیٹسمین سرفراز احمد کے گلے میں ہار ناکام کھلاڑیوں کے پتلے الٹے لٹکا دیے گئے کراچی میں کرکٹ کے مداحوں نے بھرپور تجزیہ کر کے اپنی ٹیم کے ہیرو اور ولن طے کر دیے ورلڈ کپ میں پاکستان کی شکست کے بعد ارام باغ میں انوکھا احتجاج کیا گیاجہاں پتلوں کو جلا یانہیں گیا بلکہ جن کھلاڑیوں نے خراب کھیل پیش کیا انہیں الٹا لٹکا دیا گیا ان میں ناصر جمشید بوم بوم شاہد افریدی سابق کپتان یونس خان اور کوچ وقار یونس اور چیف سلیکٹر معین خان کے پتلے شامل ہیں ورلڈ کپ م…,50,0
H006,مہنگائی کے اثرات,URDU,urdu_bm25,1,109027,پاکستان میں مہنگائی کم ہوگی اورمعیشت میں بہتری توقعات سے بڑھ کر ہے ائی ایم ایف,مہنگائی میں ڈالر کے ایکس چینج ریٹ کے اثرات کم ہونا شروع ہوئے ہیں ائی ایم ایف فوٹو فائل اسلام بادئی ایم ایف ہیڈ کا کہنا ہے کہ مہنگائی میں ڈالر کے ایکس چینج ریٹ کے اثرات کم ہونا شروع ہوئے ہیں پاکستان میں مہنگائی کم ہوجائے گی پاکستان اورئی ایم ایف کے درمیان مذاکرات کااعلامیہ جاری کردیا گیا جس میں ئی ایم ایف مشن ہیڈ کا کہنا ہے کہ پاکستان سے مذاکرات تعمیری اور مثبت رہے پاکستان نے اصلاحات پر عمل درامد کیا پاکستان کی معیشت میں بہتری توقعات سے بڑھ کر ہے ئی ایم ایف اعلامیے کے مطابق مہنگائی میں ڈالر کے ا…,50,0
H007,فلم فیل کی کہانی,URDU,urdu_bm25,1,106692,ہالی ووڈ کی تھری ڈی اینیمیٹڈ کامیڈی فلمفری برڈزکا ٹریلر جاری,نیویارک این جی ٹیہالی وو کی نئی تھری ڈی اینیمیٹڈ کامیڈی فلمفری برڈزکا ٹریلر جاری کردیاگیاہدایتکار جمی ہیورڈ کی اس فلم کی کہانی امریکی صدر سے تھینکس گیونگ ڈے کے موقع پر جان بخشی ملنے والے فیل مرغٹرکی ریگی اور اسکے ساتھی جیک کے گرد گھومتی ہے جو گورنمنٹ لیب سے ٹائم مشین چراکر ماضی میں جاتے ہیں تاکہ فیل مرغ کو روایتی چھٹیوں پر کھانوں کا مینیو بننے سے بچاسکیںکریگ میزن اورڈیوڈ ئی اسٹرن کے تحریر کردہ اس فلمی اسکرین پلے کو اس جوڑی نے خود اسکاٹ موزےئر کیساتھ ملکر مشترکہ طور پر پروڈیوس کیا ہے جس میں اہم …,50,0
H008,روپے گراوٹ کے نتائج,URDU,urdu_bm25,1,76784,بھارتی روپے کی شرح تبادلہ تاریخ کی کم ترین سطح پر 6405روپے فی ڈالر,نئی دہلی بھارتی کرنسی روپیہ ڈالر کے مقابلے میں مسلسل گراوٹ کا شکار ہے منگل کے روز شرح تبادلہ تاریخ کی کم ترین سطح 6405روپے فی ڈالر تک پہنچ گئی رواں برس روپیہ ڈالر کے مقابلے میں 16فیصد کر گرچکا ہے جبکہ ماہرین اقتصادیات کا کہنا ہے کہ مرکز بنک کی جانب سے قومی کرنسی کو مستحکم کرنے والے حالیہ اقدامات کے کوئی خاطر خواہ نتائج کی توقع نہیںانہوں نے کہا کہ ترقی پزیر ممالک کی کرنسیوں میں گراوٹ کی وجہ امریکی فیڈرل ریزروز کے رول بیک کے امکانات بھی ہیں جس کے باعث سرمایہ کار اب مغربی ممالک کے بجائے ترقی پزیر …,50,0
H009,petrol kyun mehnga,ROMAN,roman_bm25_method_D,1,63501,پشاور میں پیٹرول پمپوں پر پیٹرول نایاب,پشاور جون 2020 حکومت کی جانب سے پیٹرول کو سستا کرنے کے اعلان کو ایک ہفتہ گزر گیا مگر نہ پیٹرول سستا ہوا اور ہی کرائے کم ہوئے جس کے باعث عوام پیٹرول پمپوں پر ٹھوکریں کھانے پر مجبور ہیں حکومت کی جانب سے پیٹرول کی قیمتوں میں ایک ہفتہ قبل دی جانے والی کمی کی خوشخبری صرف اعلانات تک محدود ہو گئی پیٹرول پمپ مافیا نے پیٹرولیم مصنوعات کی قیمتوں میں کمی کے ثمرات عوام تک پہنچنے سے قبل ہی اس کی قلت پیدا کر کے شہریوں کی مشکلات میں مزید اضافہ کردیا شہری کہتے ہیں مافیا نے پیٹرول غائب کر کے ہمیں نئی مشکل میں ڈ…,50,0
H010,shikast ki waja,ROMAN,roman_bm25_method_D,1,71030,پیٹرولیم مصنوعات کی قیمتوں میں ردو بدل کی سمری ارسال,اسلام اباد اوگرا نے یکم جولائی سے پیٹرولیم مصنوعات کی قیمتوں میں ردو بدل کی سمری پٹرولیم ڈویژن کو ارسال کردیذرائع کے مطابق اوگرا کی جانب سے پیٹرول کی قیمت میں 77 پیسے فی لیٹر کمی کی سفارش کی گئی اور اس طرح پیٹرول کی نئی قیمت 111 روپے 91 پیسے مقرر کرنے کی سفارش کی گئی ہےاس کے علاوہ مٹی کے تیل کی قیمت میں روپے 94 پیسے کمی کی سفارش کی گئی ہے جب کہ لائٹ ڈیزل ائل کی قیمت میں 26 پیسے اور ڈیزل کی قیمت میں روپے 30 پیسے اضافے کی سفارش کی گئی ہےپٹرولیم مصنوعات کی قیمتوں کاحتمی فیصلہ وزارت خزانہ وزیراعظم …,50,0
