query_id,split,query_text,source_doc_id,gold_rank,miss_side,primary,entity_type,norm_status,query_form,gold_form,evidence
KN001,train,malaysia air race world championship third round kab shuru hua,92506,,MISS,ROOM,,NONE,,,Query English tokens (world championship race malaysia) vs gold Method D headline orld chmpin ris koalalmpor. Character-table romanization of Urdu, not a closed spelling alias.
KN002,train,zim t20 mein hosts ko chase ke liye kitna target mila,90691,,MISS,ENT,event,NONE,,,Query zim t20 vs gold zmbaboe / ti tointi. Event-name romanization; overlap is only function words ke ko mein.
KN005,train,iran amreeka tension ke baad local equities opening par kyun rebound hua,64084,,MISS,NEIGH,,NONE,,,Query is Iran-US / equities rebound; gold headline is Pakistan stock-exchange open. Topically related market news; not a spelling variant of the same need.
KN006,train,kolkata ne delhi ko ipl thriller mein kis margin se haraaya,29860,,MISS,ROOM,,NONE,,,kolkata vs kolkth; delhi vs dhli; ipl vs aii pi ail. Same entities under character-table / letter-split indexing.
KN008,train,teen tennis sensation ne kaunsa canadian hardcourt title jeeta,47197,,MISS,ROOM,,NONE,,,title vs taitl; player name fully character-mapped in gold. Not dictionary aliases.
KN010,train,benami accounts walo ke khilaf revenue board ne kya saza tajweez ki,1674,,MISS,ROOM,,REJECTED_NOT_PRIMARY,kya,kiya,FBR indexed as aif bi ar; board vs bord; be nami vs benami. Content mismatch dominates. kya/kiya is a function-word sibling only.
KN011,train,france ki hydrogen solar wind powered boat ka naam kya hai,60226,,MISS,ROOM,,NONE,,,france vs frans; hydrogen vs haiidrojn; solar vs shmsi toanaii. English query vs Urdu character table.
KN013,train,world cup mein pakistan india fixture ke tickets black mein kyun bik rahe,82652,,MISS,ROOM,,NONE,,,world vs orld; tickets vs tkt; black vs blik; india vs bhart. pakistan matches; distinctive English tokens do not.
KN014,train,mobile slow charge hone ki user side ghalti kya ho sakti hai,79754,44,RANK,RANK,,REJECTED_NOT_PRIMARY,kya,kiya,Gold in Top-50 at 44 via mobile/hone/ki/hai. Distinctive charge/ghalti/slow/user fail to match charj/ojh. Ranking issue. kya/kiya not why it missed Top-5.
KN015,train,viral maths puzzle ne internet users ko kyun confuse kiya,22450,,MISS,VOCAB,,NONE,,,Gold is a maths-question headline (riazi soal). Query puzzle/viral/confuse are different lexemes; not spelling variants.
KN016,train,priyanka ke african kids se hair compliment exchange kis tour par hua,100673,,MISS,ENT,person,NONE,,,priyanka vs prianka. Person-name romanization; remaining query is English paraphrase of the gold.
KN017,train,boom supersonic passenger prototype kab unveil hua,19341,,MISS,VOCAB,,NONE,,,Zero token overlap. Gold describes a faster-than-sound aircraft in Urdu; query uses English product vocabulary (boom supersonic prototype unveil).
KN018,train,aladdin kahani kisi haqeeqi shakhs par mabni hai ya sirf fable hai,17943,,MISS,ROOM,,NONE,,,aladdin vs alh din; kahani vs khani; haqeeqi vs hqiqi; shakhs vs shkhs. Chat Roman vs vowel-stripped document romanization of the same Urdu words. Not dictionary aliases.
KN019,train,jlo ne 50 saal ki umar mein fitness kaise maintain ki,5092,,MISS,ENT,person,NONE,,,Query acronym jlo vs gold jinifr lopiz. Person mention does not match; 50/ki/mein overlap is not distinctive.
KN020,train,cpec joint cooperation committee ka session kis shehar mein chal raha tha,60895,,MISS,VOCAB,,NONE,,,Gold uses Urdu CPEC paraphrase (aqtsadi rahdari / mshtrkh taaon kmiti) without query tokens cpec/joint/committee/session.
KN021,train,jungle book live action ne india box office par kya record banaya,13065,,MISS,ROOM,,REJECTED_NOT_PRIMARY,kya,kiya,jungle vs jngl; book vs bk. india matches. live action/box office/record absent. kya/kiya incidental.
KN022,train,shahid mira sangeet se pehle shaadi ki tayyariyan kab khatam huin,14664,,MISS,ENT,person,NONE,,,shahid vs shahd; shaadi vs shadi. Person/event name under character table. mira matches.
KN024,train,west indies ke khilaf dubai day night series pakistan ka kaunsa milestone test hai,31154,,MISS,ROOM,,NONE,,,dubai vs dbii; test vs tist. pakistan matches; west indies/day night/milestone unmatched.
